,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
41,3,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",free,A. costly,B. captive,C. contained,D. paying,E. caught
42,1,What kind of driving leads to accidents?,driving,A. stressful,B. dangerous,C. fun,D. illegal,E. deadly
43,2,What is eating too much dinner likely to result in?,eating dinner,A. tiredness,B. living longer,C. stomach ache,D. illness,E. acid reflux
44,4,What is a person chatting with friends likely hoping to accomplish?,chatting with friends,A. gathering of information,B. communication,C. feel relaxed,D. kill boredom,E. social bonding
45,3,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",sunshine,A. disneyland,B. snow,C. windowsill,D. street,E. summer
46,2,"A fox was thirsty searching for water during the drought, where was he?",fox,A. painting,B. hen house,C. california,D. virginia,E. movie hall
47,4,What might be the result of a season of successful skiing?,skiing,A. finish line,B. broken bones,C. broken legs,D. chapped lips,E. healthy body
48,3,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",distance,A. near,B. closeness,C. here,D. proximity,E. this
49,1,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",eating lunch,A. gain weight,B. late for work,C. heartburn,D. bad breath,E. early for work
50,0,"The evacuation became mandatory, so what came on the TV?",mandatory,A. advisory,B. mandate,C. soap opera,D. elective,E. optional
51,0,The person gave a good hands on what to show how to do the work?,person,A. demonstration,B. garage,C. building,D. barn,E. synagogue
52,0,Where would you see some people doing jumping jacks?,people,A. military base,B. opera,C. water fountain,D. bus stop,E. church
53,2,"The body guard was good at his duties, he made the person who hired him what?",person,A. better job,B. irritated,C. feel safe,D. save money,E. headache
54,2,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",learning language,A. better communication,B. overthinking,C. frustration,D. misunderstandings,E. headaches
55,3,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",killing people,A. going to jail,B. going to prison,C. beat him up,D. get arrested,E. die
56,2,Where is there usually a fiddle playing?,fiddle,A. music store,B. dance hall,C. orchestra,D. symphony,E. tennessee
57,1,What is the only was to recover from exhaustion?,exhaustion,A. mediate,B. have rest,C. stay in bed,D. run out of steam,E. go to sleep
58,0,What would you do if you want to be able to earn money?,money,A. apply for job,B. stand in line,C. take care of proposals,D. pass course,E. play the lottery
59,0,What is a grumpy person likely to have?,person,A. headache,B. understand themselves,C. compliments,D. own house,E. happiness
60,4,What do drugs do?,drugs,A. damage,B. cloud mind,C. lower i.q,D. cause illness,E. cause accidents
61,2,A beaver can destroy a machines functionality if they build their dam in this?,beaver,A. strip club,B. pocket,C. millpond,D. ontario,E. lake or river
62,0,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",booze,A. reach tentative agreement,B. suicide,C. examine thing,D. commit murder,E. stay in bed
63,0,Where could a fungus grow and not be disturbed by sunlight?,fungus,A. under rocks,B. manhattan,C. toenails,D. grocery store,E. fallen tree
64,0,Can you name a good reason for attending school?,attending school,A. get smart,B. boredom,C. colds and flu,D. taking tests,E. spend time
65,1,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,fiddle,A. alabama,B. tennessee,C. violin case,D. music store,E. bow and strings
66,3,"Though she made the cut years ago, its figurative scars would never what?",cut,A. joining,B. put together,C. stitch,D. heal,E. paste
67,1,What does sex often make happen in people?,sex,A. making love,B. feel good,C. happyness,D. wonderful thing,E. cloud judgment
68,4,Where would you see people in uniform playing with a ball?,ball,A. hole,B. television,C. sporting goods store,D. pool table,E. sporting event
69,2,What kind of place could have a seafood restaurant?,seafood restaurant,A. new york,B. coastal cities,C. city,D. coastal cities,E. boston
70,2,Who was the head of the branch yelling at?,head,A. owner,B. foot,C. subordinate,D. base,E. point
71,1,"He made another call, he did this all day hoping people would what well to his offer?",call,A. hang up,B. respond,C. contact,D. answer,E. attracting ducks
72,1,"She needs to visit a bookshop after buying the latest fashion, where should she look?",bookshop,A. student union,B. mall,C. department store,D. library,E. town or city
73,3,Where could you see an advertisement while reading news?,advertisement,A. television,B. bus,C. email,D. web page,E. la ville
74,1,What is required to be good at playing tennis?,playing tennis,A. tennis racket,B. skill,C. competition,D. tennis court,E. legs
75,3,What state is the John Davis  Lodge toll road found in?,toll road,A. new jersey,B. eastern united states,C. good repair,D. connecticut,E. arizona
76,0,"The man went to clown college, he had always want to run away with the what?",clown,A. circus,B. carnival,C. surprise,D. spoons,E. party
77,0,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",reduce,A. gain weight,B. augment,C. dispare,D. make larger,E. expand
78,0,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,losing consciousness,A. death,B. coma,C. peace,D. forgetfulness,E. loss of life
79,3,"If someone is aloof and self-important, what is their experience when meeting people?",meeting people,A. stress,B. nervousness,C. smile,D. being bored,E. making new friends
80,1,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",metal rod,A. factory,B. construction site,C. engine,D. insides of skyscraper's walls,E. shops
81,2,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,communicating,A. static,B. train of thought.,C. progress,D. transfer of information,E. collaboration
82,2,When you play around with your dog they will have?,dog,A. alive,B. health,C. fun,D. playing dead,E. black
83,4,Where would a person keep a book while it's being read?,book,A. closet,B. library of congress,C. classroom,D. in bed,E. desk
84,0,"The student needed to  get some new pencils, where did he go?",pencils,A. store,B. classroom,C. backpack,D. cabinet,E. teacher
85,0,"She loved buying products, she was driven by her what to shop more than any practical needs?",buying products,A. desire,B. money,C. time,D. credit,E. spending money
86,1,How does getting paid feel?,getting paid,A. income tax,B. satisfaction,C. sorrow,D. ocean,E. bill collectors to happy
87,3,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",possible,A. no go,B. unlikely,C. unable,D. cant do,E. impossibility
88,4,Where can meat last a long time?,meat,A. backery,B. ham sandwich,C. fridge,D. butcher shop,E. freezer
89,1,What group of musicians will include someone playing the cello?,cello,A. ocean,B. symphony,C. band,D. music store,E. music shop
90,3,Where do bees congregate with red flowerS?,bee,A. trash can,B. honey,C. bouquet of flowers,D. rose garden,E. field of flowers
91,0,What is someone who gets angry after getting drunk likely to participate in?,getting drunk,A. violence,B. falling down,C. vomiting,D. vomiting,E. lower standards
92,2,"The teacher told all the students that listening was key, it was the main way they would gain what?",listening,A. empathy,B. anxiety,C. knowlege,D. falling down,E. hear things
93,0,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,dream,A. reality,B. imagination,C. dreamworker,D. nightmare,E. awake
94,3,The city's community garden was demolished for yet another what?,garden,A. wasteland,B. ocean,C. desert,D. parking lot,E. flowers
95,3,WHat do cats get into when they are ripping things apart?,cat,A. dog's mouth,B. floor,C. garage,D. trouble,E. nature
96,1,What is a good result of losing weight?,losing weight,A. increased energy,B. healthier,C. loose skin,D. beauty,E. death
97,3,A person lived in my what?,person,A. demonstration,B. conference,C. building,D. garage,E. mouth
98,1,"The skin was cut while chopping onions, where was this skin likely cut?",skin,A. good health,B. finger,C. meat,D. body,E. own family
99,2,What might you feel after doing housework for hours?,doing housework,A. anger,B. not boredom,C. stress,D. boredom,E. anxiety
100,2,"The accountant used a calculator regularly, he kept one at home and one at the what?",calculator,A. desk drawer,B. desktop,C. office,D. wristwatch,E. city hall
101,4,At the end of your meal what will a waiter do?,waiter,A. serve food,B. eat,C. set table,D. serve meal,E. present bill
102,0,"If you aren't glad, unhappy or gloomy, what illness may you have?",glad,A. depressed,B. downcast,C. angry,D. unhappy,E. sorrowful
103,0,You can hear testimony of how spirituality changes lives when you do what?,hear testimony,A. go to church,B. appear in court,C. watch soap operas,D. paying attention,E. go into court
104,3,"It was a great rest, she had never felt this much what in the morning?",rest,A. active,B. hunger,C. in motion,D. wakefulness,E. lay down
105,2,Which region has the most famous temple?,temple,A. jerusalem,B. jewish community,C. middle east,D. city,E. mosque
106,3,Where would you find a bee gathering pollen?,bee,A. united states,B. sky,C. court,D. field of flowers,E. orchard
107,3,Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,folding chair,A. roof,B. school,C. beach,D. closet,E. garage
108,0,"If you're speaking to a lawyer about getting a divorce, what relationship status are you trying to end?",getting divorce,A. being married,B. sisters,C. marriage,D. two people,E. lawyer
109,2,How do geese normally get from place to place?,geese,A. carried by people,B. guard house,C. fly,D. follow ultralight airplane,E. group together
110,4,John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,punching,A. hostility,B. anger,C. nose,D. fists,E. hands
111,4,"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?",small dog,A. living room,B. dog park,C. basket,D. small apartment,E. big house
112,0,WHat leads to someone's death when they are very depressed?,death,A. suicide,B. overdosing,C. sadness,D. murder,E. cyanide
113,3,"She was sick and staying in bed the day of the event, unfortunately this meant she was what?",staying in bed,A. resting,B. sleep more,C. bed sores,D. missing out,E. comfort
114,3,Where would a lizard surprise a person?,lizard,A. new mexico,B. forrest,C. dessert,D. garden,E. creek
115,1,"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?",food,A. picnic,B. friend's house,C. table,D. space shuttle,E. fairgrounds
116,0,Who is likely yo have a caring heart?,heart,A. person,B. species,C. artichoke,D. all mammals,E. live animal
117,0,"I'm looking for alcohol and fried foods, any suggestions?",alcohol,A. pub,B. plane,C. beer,D. store,E. fraternity house
118,4,"If I had a jar which was likely to spoil if left out, where would I want to put it?",jar,A. kitchen cupboard,B. pantry,C. grocery store,D. pantry,E. refrigerator
119,1,Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,blowfish,A. books,B. france,C. fish market,D. atlantic ocean,E. cuba
120,1,What will happen to skin pinched in something?,skin,A. feel cold,B. feel pressure,C. feel bumpy,D. itches,E. feel clammy
121,3,"Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.",kite,A. child's hand,B. the last straw,C. hobby shop,D. end of line,E. toy store
122,4,"The man uses grooming before a job interview, what is he trying to portray?",grooming,A. looking good,B. beauty,C. tardiness,D. handsomeness,E. neatness
123,2,Where would there be many people sitting in chair and listening to religious speech?,chair,A. auditorium,B. office,C. synagogue,D. confession,E. church
124,3,Where is a tabby cat likely to be happiest?,tabby cat,A. box,B. home,C. alley,D. lap,E. barn
125,2,East coast areas such as Florida are found where?,coast,A. florida,B. denmark,C. united states,D. map,E. california
126,2,"To learn must have the right book, to work efficiently what must one have?",learn,A. improve yourself,B. become knowledgeable,C. have tools,D. persistence,E. have more knowledge
127,2,What is a mobile launching platform found in the ocean?,launching platform,A. launch pad,B. circus,C. aircraft carrier,D. large open area,E. space station
128,0,There weren't potatoes but actually a snake in his what?,snake,A. burlap sack,B. hot country,C. purse,D. pet shops,E. deep grass
129,2,What could listening to music cause you to be?,listening to music,A. happy,B. smile,C. calm,D. entertainment,E. relaxation
130,2,"If you want to make a big splash in a river with a rock, from where should you throw it?",rock,A. mountains countryside,B. ground,C. bridge,D. mountain range,E. surface of earth
131,1,What is committing perjury likely to lead to?,committing perjury,A. shame,B. arrest,C. embarrassment,D. go to jail,E. tension
132,1,"The new play was the go to performance of the year, all the crowds would stand and what?",go to performance,A. admiration,B. applaud,C. make reservations,D. experience,E. sleep
133,3,"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?",apple tree,A. park,B. coloring book,C. garden center,D. math problem,E. gravity
134,1,Where are people likely to find food?,people,A. opera,B. supermarket,C. building,D. conference,E. apartment
135,4,What might a kid do with his friend before going to play?,going to play,A. laugh,B. sit,C. being entertained,D. math,E. meet
136,1,What is a person who is well educated?,person,A. illiterate,B. knowledgable,C. own house,D. have enough food,E. meet expectations
137,0,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?",alcoholic,A. prison,B. bridge,C. locked up,D. homeless shelter,E. neighbor's house
138,3,Where do you buy tickets at a ticket booth for games/,ticket booth,A. train station,B. cathedral,C. metro station,D. fairgrounds,E. amusement park
139,3,A soccer field that is not contained in a building would be where?,soccer field,A. playground,B. mexico,C. town,D. outside,E. world cup
140,2,Letters are sometimes delivered by hand through one of these.,letters,A. mail box,B. suitcase,C. front door,D. bowl,E. post office
141,2,John came to see Sam and Sam kicked him out.  Sam didn't like company.  He prefered what?,company,A. you,B. abbreviation,C. solitude,D. loneliness,E. alone
142,0,"If somebody likes temperatures cool, they might have more than one electric fan where?",electric fan,A. home,B. hardware store,C. home,D. hot room,E. office
143,4,"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?",losing consciousness,A. injury,B. death,C. playing uno,D. coma,E. falling down
144,0,"The president had to make a decision regarding the hate attack on his country, what did he do?",hate,A. wage war,B. fight enemy,C. kill,D. destroy enemy,E. attacked his country
145,0,What's it called when you have seen something through an eyepiece?,eyepiece,A. sights,B. optical illusion,C. optical telescope,D. light microscope,E. binocular
146,4,"He had done a great job with the scary decorations, they were completely what?",great,A. terrible,B. little,C. halloween,D. small,E. horrible
147,3,"If you did well on the test, you might get an A as a what?",test,A. see work,B. practice,C. quiz,D. school grade,E. homework
148,4,If you tell you boss your suffering from boredom they'll likely tell you to get back to what?,boredom,A. dream,B. fiddle,C. watch film,D. see new,E. work
149,2,What is a good result of jogging?,jogging,A. insect repellent,B. heart attacks,C. improved health,D. shin splints,E. being tired
150,0,What is done to wood to attach something to it?,wood,A. nailed,B. carved,C. polished,D. eat cake,E. petrify
151,2,Where is a fox likely to be caught?,fox,A. tennessee,B. inside joke,C. grassy field,D. the forrest,E. england
152,4,Where do you put a new dining table?,dining table,A. cafeteria,B. arranging papers,C. in the park,D. formal dining room,E. house
153,1,"Sometimes fighting inflation isn't even what, because it is so negligible?",fighting inflation,A. economic instability,B. not noticeable,C. spend more,D. rising interest rates,E. boring
154,2,What is likely to have more than one level in a city?,level,A. carpenter's shop,B. video game,C. garage,D. total number,E. building
155,1,Where is likely to have a lot of fire extinguishers?,fire extinguisher,A. garage,B. hospital,C. boat,D. house,E. doll house
156,2,Where would someone learn to play an upright piano?,upright piano,A. music room,B. music store,C. music class,D. medium,E. house
157,2,What is necessary for learning by yourself?,learning,A. exposure,B. patience,C. study,D. cooperation,E. thought
158,1,"John and Jane were a couple.  They were dating for a while and wanted to be together for even longer. For this reason, they did what?",couple,A. make sex,B. plan to marry,C. dance,D. electrical circuit,E. row about
159,2,What emotion does getting paid lead to?,getting paid,A. sorrow,B. paying bills,C. happiness,D. frustration,E. spending money
160,2,Who is likely going in to a market?,going to market,A. stress,B. food,C. that you,D. spending money,E. walking
161,0,What is a characteristic of thin glass?,glass,A. break easily,B. shattering,C. melt,D. bend,E. hold water
162,4,What do you get for not moving your car during the required time?,moving car,A. towed,B. accidents,C. driving,D. getting tired,E. ticket
163,3,"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?",pavement,A. a bed of nails,B. town,C. attractive consistent look,D. city block,E. ground
164,4,Where would you be able to hear a bassoon played in an unpleasing fashion?,bassoon,A. orchestra,B. baritone woodwind sound,C. symphony,D. play music,E. high school band
165,0,John loved competing because he was very competitive.  He liked being about to divide people into what categories?,competing,A. winners and losers,B. perform better,C. might win,D. losses,E. enemies
166,4,The game was on sale.  I got it then because it was usually what?,sale,A. buying,B. purchase,C. overpriced,D. way to much,E. expensive
167,0,What could a massive building be if it is not constructed well?,massive,A. insubstantial,B. massless,C. dwarf,D. inconsequential,E. good
168,0,Where could a printer be used by thousands of people?,printer,A. school,B. home office,C. people store,D. print shop,E. newspaper office
169,1,What could prevent someone from buying chistmas presents?,buying christmas presents,A. happiness,B. lack of money,C. stress,D. relief,E. exhiliration
170,1,What is the hope of playing sports without competition?,playing sports,A. running,B. have fun,C. balls touch,D. winning,E. get tired
171,1,"They moved out of the city to have a master bedroom, what kind of home did they seek?",master bedroom,A. large house,B. suburban home,C. big house,D. old house,E. keeping personal objects
172,1,What could you add a line to?,line,A. bus stop,B. graph,C. post office,D. grass,E. play
173,0,Joe bought a ficus.  He thought it would look good in what part of his home?,ficus,A. family room,B. tropical forest,C. flower garden,D. movie theater,E. hair salon
174,2,"Sarah wanted to by a new rug.  Ink spilled onto her old one.  Really, she didn't know what that thing had an inkwell in the first place.  What piece of furniture might have been on her run?",rug,A. front of door,B. bedroom,C. desk,D. table,E. living room
175,4,"When people discover something new while chatting with friends, why are they likely to continue talking?",chatting with friends,A. agreement,B. to fill their time,C. discomfort,D. misunderstanding,E. learning about
176,4,How can one's views change after learning about science?,learning about science,A. appreciation of nature,B. become educated,C. excitement,D. increased knowledge,E. see things differently
177,0,"Traveling underwater has many dangers, such as low visibility causing what?",traveling,A. disorientation,B. due to,C. meeting new people,D. getting somewhere,E. relocation
178,2,Where are people likely to stand at an intersection?,intersection,A. cars,B. city street,C. street corner,D. fork in road,E. at a red light
179,1,Janet knew she was dying from her injuries because she could feel herself doing what?,dying,A. sleeping longer,B. getting cold,C. death and decay,D. change of color,E. stop breathing
180,2,"An expressway can suffer from traffic, this traffic gets worse the closer you get to any what?",expressway,A. michigan,B. map,C. american city,D. rest stops,E. country
181,1,Where are there more telephone booths?,telephone booth,A. gas stations,B. city,C. london,D. train station,E. airport
182,2,"John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?",away,A. present,B. stay here,C. closer,D. available,E. come here
183,1,"James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?",acoustic guitar,A. house,B. music shop,C. studio,D. storage,E. closet
184,1,What can someone feeling happiness fall into?,happiness,A. lead to laughter,B. love,C. laughter,D. smiles,E. tears
185,1,How might a person address someone who is leaving?,person,A. further cause,B. wave goodbye,C. attempt suicide,D. insulting them,E. thank god
186,0,What does a chef do when working in the evening?,chef,A. cook dinner,B. study french cooking,C. taste sauce,D. prepare food,E. thin sauce
187,1,What would happen to a person if his or her money is stolen?,person,A. complete sentence,B. feel angry,C. drink tea,D. cross street,E. park
188,3,"The people in class were instructed to brainstorm ideas, how would they use their minds for this?",people,A. shake hands,B. control events,C. talk to each other,D. think creatively,E. dress themselves
189,2,Someone lacking immortality will one day be?,immortality,A. kick the bucket,B. mortal,C. dead,D. can die,E. dying
190,4,"After his mother saw his report card he knew he was going to be doing housework, what could have prevented this?",doing housework,A. sneezing,B. fatigue,C. house clean,D. feeling satisfied,E. getting good grades
191,1,Glass that hasn't been treated to be extra strong is what?,strong,A. weak,B. fragile,C. forceless,D. regular,E. flimsy
192,2,If you've thrown a rod you've done damage to what?,rod,A. fishing camp,B. hardware store,C. engine,D. your spine,E. sporting goods store
193,1,What enables most people to transport themselves?,people,A. helicopter,B. own cars,C. speak words,D. believe in god,E. dance together
194,1,What do people in the same family often share?,people,A. brown hair,B. names,C. two eyes,D. will,E. brains
195,4,What is an area with no grass where I can get things to sell at a roadside stand?,grass,A. surface of earth,B. rest area,C. supermarket,D. state park,E. garden
196,2,Where do kids find fish in their backyards?,fish,A. boat,B. ocean,C. pond,D. end of line,E. ocean
197,0,Where must one wear a white shoe?,shoe,A. wedding,B. tennis,C. closet,D. left foot,E. house
198,4,"James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?",print,A. cursive writing,B. hand writing,C. store bought,D. online media,E. hand written
199,0,"They checked the weather one more time during the flight, they were on their way to paradise and wanted it to what?",weather,A. look beautiful,B. be happy,C. change quickly,D. occur here,E. surprise us
200,0,What are you hoping to achieve when talking to someone?,talking,A. communicating with others,B. hurt feelings,C. dry mouth,D. intimacy,E. changing behavior
201,0,What place of work might you find a hairpin?,hairpin,A. hair salon,B. hair of woman,C. barber shop,D. pincushion,E. woman's hair
202,3,What can go on a football field?,football field,A. oklahoma,B. university,C. college campus,D. players,E. yard
203,3,What has a master of their craft done about that craft?,master,A. drill,B. committed murder most vile,C. bargemaster,D. learn,E. understand
204,4,If your watching television and accomplish nothing what have you done?,watching television,A. getting fat,B. get fat,C. typing words,D. falling asleep,E. wasted time
205,2,"He was in a cabin in the woods, through the window he saw a fox where?",fox,A. indiana,B. england,C. outside,D. on the wall,E. picture
206,4,"The hippy wanted peace with all humans, he had strong what for them all?",all humans,A. names,B. words,C. naval,D. bladders,E. feelings
207,4,"He was a very sharp engineer, but when it came to the details his calculations could were often what?",sharp,A. complimentary,B. inelegant,C. ocean,D. dull,E. inaccurate
208,3,In the middle of the day what will someone do because of being hungry?,being hungry,A. cook dinner,B. make bread,C. eat in restaurant,D. have lunch,E. make bread
209,1,"John enjoyed his time visiting the museum.  He wanted to spend more time there, so that he could study the exhibits more.   He was a very academic person and loved doing what?",visiting museum,A. tired feet,B. gaining knowledge,C. back pain,D. being bored,E. pondering
210,1,What will telling many people about an embarrassing situation lead to?,telling many people about,A. notoriety,B. emotional distress,C. riot,D. bad dreams,E. annoyance
211,3,"The electric motor powered many important things, including one if almost every house. Name this item?",electric motor,A. electric locomotive,B. electric typewriter,C. multi-coloured walrus,D. electric refrigerator,E. electric drill
212,2,Where can peanut butter be stored?,peanut butter,A. container,B. supermarket,C. pantry,D. sandwich,E. jar
213,1,Where would you play a board game with your family?,board game,A. toy store,B. home,C. school,D. toy shop,E. shelf
214,4,James needed a garage because he spent a lot of money on what?,garage,A. bike,B. downtown,C. building,D. tool storage,E. car
215,1,"If I am a person, I have a unique ability to do what?",person,A. cross street,B. stand upright,C. speak spanish,D. speak chinese,E. further education
216,3,"Two friends wanted to spend a quiet evening together, what did they go see?",friends,A. wedding,B. friend's house,C. internet cafe,D. movie,E. restaurant
217,1,"If an animal is tired, what is it likely to do?",animals,A. bite,B. lie down,C. keep alive,D. need to eat,E. go to sleep
218,2,Where would you sit in a chair to watch four-legged animals complete?,chairs,A. bookstore,B. house,C. race track,D. friend's house,E. building
219,3,If you were looking for a lemur where would you find it?,lemur,A. russia,B. at home,C. hole,D. field,E. heaven
220,4,John ran out of pencils.  Where did  he go to get more?,pencil,A. desk drawer,B. cup,C. pencil case,D. shelf,E. office depot
221,1,When would you be able to see your reflection in a piece of wood?,wood,A. burned,B. polished,C. carved,D. composted,E. nailed
222,4,What emotion do people expressing themselves show when they trip in front of a crowd and break their leg?,expressing yourself,A. communication,B. suffering,C. pain,D. laughter,E. embarrassment
223,3,"He waited for his friend at the squash court, but he was worried his friend thought he meant the at the other end of the public what?",squash court,A. country club,B. rich person's house,C. pool,D. park,E. fitness center
224,3,When you plant a garden you can harvest what to eat?,plant,A. flower,B. animal,C. flower petals,D. vegetable,E. alive
