,Unnamed: 0,Unnamed: 0.1,sentence1,sentence2,hyp1,hyp2,label
257,16988,16988,Fred liked mystery novels.,Fred told his friends he was taking a break from mystery novels.,He couldn't help but continue reading all the novels.,He was getting burnt out on the novels.,1
1370,62991,62991,Larry was offered a job in a different city.,He moved and had new experiences.,"Larry was scared, but he turned it down.","Larry was scared, but he did it!.",1
597,15615,15615,Sammy decides to go sledding on a weekend day.,When he gets home he warms up with a cup of hot chocolate.,It was very hot outside.,It was very cold outside.,1
452,66064,66064,Everyone said that Cecil was a good cook.,Cecil considers his restaurant a success.,Cecil decided to cook at home.,Cecil decided to cook in a restaurant.,1
3874,169123,169123,Nick and his friends were bored one summer day.,Nick and his friends went back home and played video games instead.,Nick and his friends went outside and started playing.,Nick and his friends went outside but it started raining.,1
1181,156577,156577,The girl was nervous.,A producer contacted her after an soon she was professional.,But the girl was worried of being selected.,But the girl was confident of being selected.,1
2351,62583,62583,David notices that many birds gather outside his window.,David decides to feed the birds every morning.,David hates the birds outside.,David likes the birds outside.,1
91,129015,129015,Lisa loved wearing a lot of makeup.,"She called herself Polly, and no one discovered her secret for months.",She never did drag shows.,She did drag shows frequently.,1
1384,103416,103416,Bay took a pop quiz in math.,"Unfortunately, Bay was stuck with the failing grade.",Bay didn't pay attention in Turkish baths.,Bay didn't pay attention in class.,1
746,44204,44204,Mary liked to go fishing.,She had caught a five foot shark.,mary drove to the river.,Mary walked to a river.,1
2000,144546,144546,There was a curious scene on the playground.,Their blockade saved it from the other kids it until it flew away.,Some kids wanted to care for a bird and other kids helped them take the bird.,"Some kids wanted to bother a bird that was in the playground, but some kids blocked their way.",1
3270,89683,89683,Jack bought a sampler to produce hip hop beats.,Jack brought the new records home and made music with them all night.,Jack would be lazy.,Jack would be productive.,1
3265,78011,78011,We had to go to a black section of town for a seminar.,"We were shocked, and told her not to say that again.",I said a very racist comment as we drove through the town.,My mother said a very racist comment as we drove through the town.,1
51,68614,68614,Eric sat at his desk and feel sleepy.,The doctor gave Eric some pills and said he would be fine.,Eric went to the patient.,Eric went to the doctor.,1
2445,63561,63561,Jimmy saw his dad drink coffee every morning.,It was the worse thing he had ever tasted!,His dad's coffee tried Jimmy.,Jimmy tried his dad's coffee.,1
889,99607,99607,Jay hung out with his friends sister.,It was a fun time.,They spent a lot of time separated.,They spent a lot of time together.,1
3313,14524,14524,Sally and Sam decided to go to the beach.,Sam and Sally swam in the ocean all day.,Sally and Sam found the water boiling and uncrowded.,Sally and Sam found the water very pleasant and uncrowded.,1
1686,73362,73362,I went to sleep with gum in my mouth.,My friends at school laughed at my weird hair.,I woke up and found it on the floor.,I woke up with it in my hair.,1
3065,85753,85753,Lucinda loved to go swimming.,Lucinda decided to stick to swimming in her pool the rest of the year.,Lucinda did not know how to swim.,Lucinda went swimming in the ocean.,1
1011,122086,122086,Chris was a homeowner.,He decided to buy a motorized mower and was much happier.,He didn't have any grass in home.,He didn't have any mover in home.,1
4563,128802,128802,Samantha had a headache because of caffeine withdrawals.,She made herself a big cup of coffee when she got home.,Samantha did not need to make any coffee for herself.,Samantha's behavior was rude and careless. She decided to give in.,1
4285,120726,120726,Ella went to study in England for a semester.,"At the end of the semester, Ella drank as much tea as any Brit!",She was introduced to beer by her new professor.,Ella was introduced to tea by her new professor.,1
905,83657,83657,David was going through a rough time.,"The police prevent him from killing himself, saving his life.",David was standing on the little bridge contemplating jumping off.,David was standing on the tall bridge contemplating jumping off.,1
3074,102497,102497,"My cousin, Mitzi, always kept her shoes on when we were kids.","In the blink of an eye, seven of Mitzi's piggies said their goodbyes.",She has no feet.,Mitzi was in an accident and her feet were ran over by a lawn mower.,1
1149,74304,74304,Terry was a ravenous consumer of meat.,"Soon enough, he adjusted to the vegetarian diet and loved it!",Terry decided to eat meat weekly.,Terry decided to become a vegetarian.,1
3637,22840,22840,Judith was making spaghetti.,Judith quickly wiped the sauce up but it was all ruined.,Judith dropped the pot of brownies on the ground.,Judith dropped the pot of spaghetti on the ground.,1
1791,78339,78339,"Although he worked there six months, this was a new job for Charles.",But the paychecks bounced.,The company did not pay well.,The company payed too well.,1
1922,112654,112654,Jesse had just started fifth grade.,Jesse was picked on by the other boys in school.,Jesse was strong and handsome compared to other boys.,Jesse was small and nerdy compared to other boys.,1
3494,62983,62983,Larry was offered a job in a different city.,He moved and had new experiences.,"He thought about it, and decided to take a raincheck.",He thought about it and decided to take it.,1
2002,2597,2597,"One day, police were investigating a crime scene.",The police put on a community event to raise money.,The criminal needed money for funerals.,Victim needed money for funerals.,1
4883,80707,80707,Thomas is starting his first job at McDonald's,He decided that he's going to start a lawn-mowing business instead.,Thomas thinks that McDonald's pays more than enough.,Thomas finds that Mcdonald's doesn't pay enough.,1
4889,79294,79294,Sally didn't have any clean clothes to wear.,She put on fresh clothes and went out with her friends after.,Sally decided to take a trip to the beauty salon.,Sally decided to take a trip to the laundry mat.,1
2989,159780,159780,I went to the playground when I was young.,I had to get a bright green cast.,I didnt try to do the monkey bars by myself.,I tried to do the monkey bars by myself.,1
3470,104007,104007,Amy was in London for a week.,She ended up having to sit inside the bus.,Amy could've gotten and Uber or a Lyft.,"Amy needed to travel to Glastonbury for a festival. Because of the commotion, there were very few Uber and Lyft drivers able to drive her two hours to her location.",1
3834,67085,67085,Cad had worn contacts all through high school.,"In fact, many girls told him how cute he looked in his glasses!",He decided to give blindness a try.,He decided to give glasses a try.,1
4926,56020,56020,"Growing up, Matt was never the most confident guy.",Matt was miserable at the turn of events.,Matt was asked to accept more money at work.,Matt was asked to speak in public for work.,1
4718,150289,150289,Thomas had been feeling under the radar lately.,He was diagnosed with diabetes after gaining forty pounds.,Thomas ate a lot of healthy fruits and vegetables to feel better.,Thomas ate a lot of sugar to feel better.,1
858,806,806,Justin's apartment reeked.,Soon the cinnamon smell was floating through the house.,Justin went to the store about garlic to cook.,Justin went to the store and bought incense.,1
2810,101195,101195,Jasmine's favorite holiday is Christmas.,Jasmine gave her wishlist to Santa and smiled.,"Jasmine couldn't wait to go see her mom ."".",Jasmine couldn't wait to go see Santa .,1
1622,153299,153299,Johnny had never had much at home.,Johnny was so happy to receive a new toy on Christmas.,He longed for horses other kids had.,He longed for toys other kids had.,1
596,46765,46765,Jesse liked to write.,He now gets paid to write them.,Jesse loves books and went to college to learn to burn them.,Jesse loves books and went to college to learn to write.,1
624,18349,18349,We went camping this weekend.,My favorite part of camping was sleeping under the stars.,We put down a tent but decided to sleep outside.,we put up a tent but decided to sleep outside.,1
3977,166705,166705,Tom and Cindy were eating marshmallows.,Tom enjoyed the roasted marshmallows.,Tome burned his marshmallow and Cindy gave him hers.,Tom roasted his marshmallow much more evenly than Cindy.,1
3362,30851,30851,The taxi stopped at the front of my house.,"I was told that the school was on the other side, when it wasn't.",I could not find the diner.,I could not find the school.,1
2747,164773,164773,Johnny wanted a change from his big city life in Boston.,Johnny was happy to be in a small town.,johhny packed up his belongings and moved to new york city.,Johnny packed up his belongings and moved to the country.,1
2286,59049,59049,Trip loved watermelon.,Trip stopped eating watermelon completely.,Trip choked on a seed.,Trip choked on a seed but spit it up easily.,0
260,21660,21660,Ryan was insecure about his intelligence.,"And eventually, he had no motivation to attempt any of his goals.",Ryan's father told him he would amount to something.,Ryan's father told him he would amount to nothing.,1
1213,136140,136140,Andrea wanted her son to experience his first carnival.,"As the ride began to spin, the boy looked at Andrea with terror.",Andrea bought tickets for their first taxi ride.,"Andrea, bought tickets for their first rollercoaster ride.",1
2419,4311,4311,Patricia's favorite toy was her set of interlocking blocks.,Patricia would later become a mechanical engineer.,Patricia played with her friends every day that she could.,Patricia played with them every day she could.,1
4054,110837,110837,Tina saw on the television that it would be raining on Easter Day.,The kids rejoiced in a quick egg hunt right before it started pouring.,Tin let the kids play in the soaking rain.,tina rounded up the kids to play before it started raining.,1
1708,48209,48209,Timmy hates carrots.,Timmy is very happy.,Timmy got carrot cake instead.,Timmy got green beans instead.,1
2811,17643,17643,There once was a man named John.,John was an outstanding worker.,John got promoted after working at the office for 1 week.,John got demoted after working at the office for 1 week.,0
1843,103424,103424,Bay took a pop quiz in math.,"Unfortunately, Bay was stuck with the failing grade.",Bay passed the test.,Bay did not pass the test.,1
4172,106230,106230,Steve wanted a job!,"He was so happy to receive his first paycheck, he almost cried!",Steve decided not to go door to door to look for jobs.,"Steve mailed many resumes, and knocked on lots of doors, and was finally hired.",1
146,72392,72392,Jane was experiencing her first pregnancy.,"She decided to buy the shoes, upon the recommendations of the agent.",Jane looked for shoes but couldn't find any she wanted.,Jane looked for ways to handle the extra stress.,1
1821,111518,111518,Terrell was a terrible bowler.,Now Terrell was not as terrible as he was when he started.,Terrell never practiced or asked anyone for help.,Terrel learned from a teacher.,1
1485,148061,148061,Jordyn and Jackie are best friends.,Their children are now best friends.,they both are single and have no family.,Jordyn and Jackie both have kids.,1
4932,137822,137822,Elena was a little person and was very insecure.,He brought a full-sized woman to his company's holiday party.,Elena was a huge person and was very insecure.,She really liked a man at work but he wouldn't acknowledge her.,1
4423,125930,125930,Amy wanted to learn to play lacrosse.,Amy played like a pro on her very first try!,Amy was determined to fail.,Amy was determined to do well.,1
1895,111430,111430,Nina was throwing a party for the first day of summer.,Nina was glad that the forecast had been wrong.,The weatherman didn't say it was going to rain.,The weatherman said it was going to rain.,1
3349,78023,78023,Sally began a new job at the local sandwich shop.,They eventually became best friends.,Gloria was trained by Sally on her first day.,"Sally , was trained by Gloria on her first day.",1
4318,3387,3387,Ed went on a hiking trip.,Ed decided to head back before he became lost.,Ed never tried walking off the trail.,Ed tried walking off the trail.,1
1763,86114,86114,Ted had a mouse infestation problem.,"When finished, Ted felt satisfied with his work.",Ted set traps all over.,Ted removed traps all over.,0
101,52329,52329,Maria was snowboarding with friends.,They had to stop the lift and help her get down.,Maria enjoyed being up on the mountain.,Maria was scared of heights.,1
3267,144695,144695,Mike was into photography.,Mike was thrilled and uses the camera every chance he gets.,Mike's sister bought him a camera for his birthday but it broke.,Mike's sister bought him a camera for his birthday.,1
200,49843,49843,Tim had a soccer match.,"However, they were happy they had fun.",tims team won the game.,Tim's team lost the game.,1
1433,64644,64644,Ricard thought space was cool.,On that morning he unwrapped one.,"Ricard asked for a spaceship, but was rejected a wrapped package.",Ricard asked for a spaceship and received a wrapped package.,1
718,11224,11224,Ron could not sleep because he heard a whining cat in his backyard.,Ron was glad he had sympathy for cat the previous night.,The noise was a stray rat.,The noise was a stray cat.,1
967,135694,135694,Tommy loved to play video games.,Tommy is going to be so excited when he opens it on Christmas morning!,Tommy's parents have him a lump of coal for Christmas.,Tommy's parents got him a new game for Christmas.,1
2722,39424,39424,"Jen was excited to go the the beach, but she just had knee surgery.","She dug a deep hole for her feet, used it like a step, and was fine.",She decided to go to the doctor.,She decided to go anyway and figured out a way to rest her knee.,1
1934,90324,90324,Jenny was at a dinner party.,Jenny decided to leave the party early without telling anyone.,Jenny had a wonderful time and completely enjoyed herself.,Jenny had a bad time and didn't enjoy herself.,1
1445,164804,164804,Pat loved classic cars.,It didn't matter thought Pat got his truck.,Pat found a car on sale that was brand new.,Pat found a car on sale that was not classic.,1
1345,137002,137002,We had dinner in Brooklyn tonight.,Everyone ordered and enjoyed chicken and waffles.,We found a sushi place we'd never tried before.,We found a place we'd never tried before and went.,1
2049,107122,107122,We went to the carnival every year when I was younger.,My fish always died within a few days.,We buy fish sandwiches at the carnival.,We buy fishes at the carnival.,1
4759,111573,111573,There was a boy who was packing his lunch.,He was happy that she picked up some bananas.,The mom called the boy to get her fruit from the store.,The boy called his mom to get fruit from the store.,1
4950,93636,93636,Tj heard about the water crisis in Michigan.,Tj was relieved to see that his water was clean.,TJ checked his garage.,Tj checked his water.,1
4052,73851,73851,I got a call from the hospital.,The doctor diagnosed me with leukemia.,It was a wrong number.,It wasn't a good call.,1
4369,8120,8120,Rita genuinely believed that there were forty-nine states in the USA.,"Her friends dropped it after a while, but it's still unbelievable.",Rita tried to show her friends she was right.,Rita's friends tried to show her she was wrong.,1
3503,148365,148365,"I liked Will Smith, the actor, when he was a young battle rapper.","He brightly smiled and said, I'm not Will Smith.",I saw someone who looked like Tom Hanks.,I saw someone who looked like him.,1
3425,70589,70589,Rob liked to make waffles.,Rob finished it in the oven and ate it with a frown.,Rob got the waffles well done.,Rob didn't get the waffles done enough.,1
4730,153661,153661,"Needing money, Joan got a job as a waitress.",Joan decided it was time to start competing like the other girls.,"Joan saved her hair clippings, then realized she was falling behind.","Joan saved her tips, then realized she was falling behind.",1
4823,168839,168839,Avery had just moved into a new house.,"Soon enough, she had completely forgotten about it.",Avery hated her old house.,Avery missed her old house.,1
2610,31824,31824,A man desired to learn how to build websites.,"Upon simply trying to build websites from scratch, he improved.",The man watched videos and did research on building websites.,The man was too lazy to learn and gave up.,0
928,15133,15133,Johnny's only plan for a career was to be an athlete.,Johnny couldn't go pro and didn't have the drive to find a job.,johnny liked to play.,Johnny didn't have a backup plan.,1
368,156377,156377,I stroked the paintbrush across the canvas.,When I looked at my creation I was proud.,We finished our first colorful and group painting.,I finished my first colorful and solo painting.,1
4679,92832,92832,Last night I was drinking wine with my friends.,I was very disappointed but I cleaned it up.,My friend spill their drink on the carpet.,I spill my drink on the carpet.,1
954,166775,166775,Jane loved jumping on the trampoline in her backyard.,Jane wasn't allowed to jump on the trampoline until she recovered.,but she bought a new trampoline.,but one time she fell.,1
4364,169220,169220,Danny got down on one knee.,"To be kind, she told him she needed some time to think.",Danny proposed to his girlfriend's jacket.,Danny proposed to his girlfriend.,1
2759,105170,105170,My daughter played soccer when she was 10.,Her coach was very impressed.,My daughter missed a goal.,My daughter made a goal.,1
3771,93490,93490,Glen needed groceries but his car was at the mechanic's.,Glen finally made it home and rested for a long time.,Glen took the bus but it didn't take much longer.,Glen took the bus but it took much longer.,1
1640,99657,99657,I didn't have references for work.,My parents put a good word in for me but I didn't get the job.,My parents had to look for someone to reference them.,I had to look for someone to reference me.,1
3035,106597,106597,Becca just got done making muffins.,Her tongue was numb for several hours.,Becca ate a muffing after letting it cool.,Becca ate a muffin without letting it cool.,1
3316,161683,161683,Tim hated fish.,"After that, Tim loved fish.",Tim was very allergic to fish.,His sister convinced him to try her special salmon.,1
4444,34047,34047,Two friends were talking to each other on the phone.,He hung up the phone and pouted.,Tim's enemy Stan told an offensive joke that offended Tim.,Tim's friend Stan told an offensive joke that offended Tim.,1
4674,150113,150113,Alfred invited a few friends over to go fishing.,Alfred and his friends had to call off their plans for the day.,The weather forecast called for sunshine all day.,The weather forecast called for rain all day.,1
1533,102402,102402,Ali was a ballerina and loved dancing.,"Sure enough, after two months her foot was as good as new!",Ali sprained her wrist but the doctor said she would be fine.,Ali sprained her foot but the doctor said she would be fine.,1
2467,158122,158122,It had been a long day.,She was glad she took this time to unwind.,It was an even longer night.,So she took a long bath to relax.,1
1030,28986,28986,Ella is a toddler who likes to play ball.,"At the end of the month, Ella could kick, throw, AND catch the ball.",She can't.,Ella's Dad helped her learn ball handling skills.,1
2507,93754,93754,Larry wanted to add spark to his relationship.,She left him and began her career as a pornstar.,Larry encouraged his wife to tighten up and show less of her body in public.,He encouraged his timid wife to loosen up and show off her body more in public.,1
355,27840,27840,Christian wanted to learn to bake.,He put the cake in the oven to bake and it came out great.,Christian followed the directions for a cake mix.,Christian followed the directions for a cake mix but forgot eggs.,0
3341,162576,162576,"Theo loved cherries, but her mom could rarely afford them.",Theo was able to eat cherries all summer long!,Theo got a job and earned enough to buy her mom a house.,Theo got a job and earned enough to buy them.,1
1045,95439,95439,It was a very hot summer day.,He felt much better!,Tom got a glass of coffee.,Tom got a glass of water.,1
225,88818,88818,Chad wanted to replace the granite on his island in the kitchen.,Chad decided he would purchase the reclaimed wood counter top.,Replacing it with new granite was cheap.,Replacing it with new granite was too expensive.,1
4899,9657,9657,When Kris was young he scared his parents.,They now tell his kids this story to remind him.,Kris's parents said he thought it was funny.,Kris's parents said he would never live it down.,1
2263,119971,119971,I saw a commercial on tv for peanut butter bits.,I was thrilled.,They looked so bad I went right to the store.,They looked so good I went right to the store.,1
1471,56416,56416,Timmy was watching the morning news.,His teacher showed the news segment in class afterwards.,Timmy told his mother about it.,Timmy told his teacher about it.,1
1707,127949,127949,Anna wanted to go to the beach.,Anna and her friends loved their day at the beach!,anna had no friends.,Anna invited several friends.,1
145,114371,114371,Mario and his friends always loved going to the movies.,The movie was amazing and they had a great time.,They decided to not go to the movies anymore.,They decided to go to the movies on a tuesday.,1
1752,101612,101612,Lana called me to hang out.,"Considering that we're good friend, I decided to ask her out.",I had a really big crush on Sarah.,I had a really big crush on Lana.,1
2731,8679,8679,My son was murdered.,I felt happy that the justice system was on my side.,My murdered son was tried and sentenced after death.,My son's murderer was tried and sentenced to death.,1
1442,67033,67033,George loved to go on hikes in the morning.,He began to take pictures so he could share it with family.,The sunrise was so ugly he wished he had someone to hate it with.,the sunrise was so beautiful he wished he had someone to share it with.,1
1054,61418,61418,Jack got up in the morning.,That was how jack spent his day.,Jack picked a show to make fun of on TV.,Jack picked a show to binge watch on TV.,1
2021,32940,32940,Jessica loves to eat sushi.,They all loved the sushi Jessica made.,Jessica loves it so much she became a sushi chef.,Jessica loves it so much she became an italian chef.,0
3476,95971,95971,Timmy was allergic to peanuts.,Timmy had an allergic reaction and almost died.,"Unknowingly, Timmy ate a peanut butter anti-confection.","Unknowingly, Timmy ate a peanut butter cookie.",1
2314,160393,160393,One night I was feeling pretty down.,I instantly felt hopeful in-spite of what was happening.,I started to drink beer.,I started to pray.,1
3469,118032,118032,Ricky was on a road trip.,Ricky had to push his car for 20 minutes to the nearest gas station.,Ricky checked the gauge and got some fuel.,Ricky didn't check the gauge and ran out of fuel.,1
3527,90205,90205,Jay loved race cars.,They had a lot of fun watching the race car championships together.,Jay went to see race cars with a enemy.,Jay went to see race cars with a friend.,1
522,10556,10556,Tim had a problem.,This helped him pay all of his bills on time.,The money manager solved the problem by hiring Tim.,Tim solved his problem by hiring a money manager.,1
731,98586,98586,Ken was sad to learn that his favorite restaurant had closed for good.,He was happy to find it was even better than his former favorite.,Ken found that it would never open again.,Ken found they had moved to a new location.,1
525,56434,56434,A young boy named Tim wanted to sit and look at a picture book.,"Realizing his mistake, he ran to tell his parents about the accident.",Tim got the right book.,Tim got the wrong book.,1
1333,11139,11139,Ed likes to buy vintage records.,"He won't say what they cost him, though.",Ed buys only new records.,Ed buys them on eBay.,1
2102,6231,6231,Jane went to her aunt's funeral.,It was too emotionally draining.,The party lasted 6 hours.,The funeral lasted 6 hours.,1
1373,15485,15485,Pete was fat.,After a year Pete was very thin.,Pete ate out every day.,Pete worked out every day.,1
826,73374,73374,Prima was very old fashioned.,Prima was delighted with how the courtship was going.,Prima met a man that was new age.,Prima met a man that was also old fashioned.,1
1501,145195,145195,Fred had recently taken up running.,His first day wearing them he even was able to run an extra mile.,Fred finally bought some new books.,Fred finally bought some new running shoes.,1
3422,136242,136242,Robert got a great job offer to do government roofing,"Robert then went to work, and worked harder than ever",Robert found out it was the US Capitol dome.,Robert lost out it was the US Capitol dome.,0
3408,6896,6896,Tory purchased the most perfect crystal earrings.,She was sure she wouldn't be disappointed again.,The crystals turned out to be real.,The crystals turned out to be fake.,1
2077,145867,145867,Daddy took us to the woods to camp.,We had a wonderful time camping.,We didn't catch any dinner and had no food.,We made s'mores and caught fish for dinner.,1
2757,30040,30040,Hank was invited to a friend's party.,"Hank met a new friend, named Jon, at the party.",Hank was from Mars and didn't know any humans.,Hank didn't know anyone else at the party.,1
2765,90053,90053,Amber was really stressed out.,They made her very relaxed!,Amber decided to go to a tattoo parlor.,Amber decided to go to a massage parlor.,1
984,34037,34037,Matthew lived in Canada.,"Luckily, he managed to avoid it.",There wasn't a snowstorm on his way home.,There was a huge snowstorm on his way home.,1
1295,51822,51822,I ran into my crush the other day.,I am happy I got to talk to him at all!,He and I talked for a long time.,He couldn't talk for long.,1
3535,86115,86115,Ted had a mouse infestation problem.,"When finished, Ted felt satisfied with his work.",Ted set traps all over.,Ted set a table for them all over.,0
