,Unnamed: 0,Unnamed: 0.1,sentence1,sentence2,hyp1,hyp2,label
3314,66303,66303,A woman spent all her pay on lottery scratch-offs.,Hope can be dangerously addictive.,She never though the next ticket would be the one.,She always though the next ticket would be the one.,1
2048,142943,142943,Jake wanted to surprise his girlfriend.,They both appreciated each other's thoughtfulness.,Jake's girlfriend broke up with him.,Jake's girlfriend wanted to surprise Jake.,1
426,40952,40952,Dave is a rock star.,His road crew built him a throne to sit on for the rest of the tour.,Everyone hates Dave.,Everyone loved Dave.,1
4563,128802,128802,Samantha had a headache because of caffeine withdrawals.,She made herself a big cup of coffee when she got home.,Samantha did not need to make any coffee for herself.,Samantha's behavior was rude and careless. She decided to give in.,1
2270,1307,1307,Finally school was out for the summer.,"I thought they were joking, but they weren't unfortunately.",My parents told me were going to Hawaii on vacation.,"However, my parents told me I had to attend summer school.",1
2498,150180,150180,Hank dreamed of being successful.,But he had no motivation to make his dreams a reality.,He figured out exactly where to start.,He could not figure out where to start.,1
90,156763,156763,Jeff wanted to play football his senior year but was too skinny.,He made the team and scored a bunch of touchdowns for the team.,Jeff decided to play with a local hockey team instead.,Jeff decided to play with a local amateur team instead.,1
1036,49407,49407,Laura lost her son in a car accident.,The therapist explained that her feelings were normal.,Laura was so happy she went to see a therapist.,she was very sad so she went to see a therapist.,1
4000,141678,141678,I went to the bus stop to get my kids.,My kids were waiting for me at home when I walked in the door.,My kids were still at the bus stop.,My kids weren't at the bus stop.,1
3147,67067,67067,Rick liked eating chocolate oatmeal.,The taste was worth the price.,Rick stole the ribeye steak.,Rich went to the whole food to purchase some oatmeal.,1
525,56434,56434,A young boy named Tim wanted to sit and look at a picture book.,"Realizing his mistake, he ran to tell his parents about the accident.",Tim got the right book.,Tim got the wrong book.,1
4530,90111,90111,Nell was excited to choose toys from the yearly Christmas catalog.,Nell's mom quickly tried to steer her daughter to the white dolls.,Nell wanted a white doll.,Nell wanted an action figure.,1
1030,28986,28986,Ella is a toddler who likes to play ball.,"At the end of the month, Ella could kick, throw, AND catch the ball.",She can't.,Ella's Dad helped her learn ball handling skills.,1
4096,48050,48050,Bill needed to find some friends to relax with.,Bill finally found lots of people he could hang out with.,He joined a club at school and avoided people.,He joined a club at school to meet people.,1
4207,62855,62855,"After I broke my leg, the doctor prescribed me physical therapy.",I realized that pain was just part of the healing process.,The physical therapy was not painful at all and was easy.,The physical therapy was very painful and difficult.,1
355,27840,27840,Christian wanted to learn to bake.,He put the cake in the oven to bake and it came out great.,Christian followed the directions for a cake mix.,Christian followed the directions for a cake mix but forgot eggs.,0
3151,144074,144074,Nancy always spoiled her dog.,She started feeding him less treats and a healthier diet.,Nancy's dog started to become skinnier.,But her dog started to gain alot of weight.,1
2763,44226,44226,Karen was at summer camp.,"Finally, a counselor helped her find it under the dresser.",Karen lost her car.,Karen lost her keys.,1
3543,115940,115940,I hated oatmeal when I was a child because it looked disgusting.,I wrote an oatmeal cookbook to share with the world what I've learned.,I ended up just eating a bunch of different fruits instead.,I ended up eating it with a bunch of different fruits.,1
4191,109595,109595,It was the last day of our vacation.,We want to revisit someday.,We had a flat tire and got stranded.,We had a wonderful time.,1
849,124240,124240,The best friends always take a girls trips.,They always have a great time catching up.,The best friends separated. from each other.,The best friends went on a trip together.,1
2894,9905,9905,Today was Tim's birthday party.,Tim was very happy to be remembered.,Tim didn't really enjoy being with his family and friends at home.,Tim enjoyed being with his family and friends at home.,1
1469,124627,124627,Ryan loved to customize his bike.,Ryan decided not to ride his bike anymore.,Ryan crashed his snowboard.,Ryan crashed his bike.,1
1177,16071,16071,There are lots of wine clubs.,That's what Tammy did and is enjoying it.,I will not start a wine club.,I'm thinking about starting my own wine club.,1
1360,40289,40289,Galen was a barber on a cruise ship.,"They left the ship, married and started a family in Jamaica.",Galen met a lovely Jamaican man at the restaurant.,Galen met a lovely Jamaican lady on the ship.,1
3286,66787,66787,I had lots of imaginary friends when I was little.,She thinks I have Dissociative Identity Disorder.,My therapist sat and listened to my mom.,My therapist asked me many more questions.,1
4891,161672,161672,The Smith children did not want the family to move to another town.,The kids and their new friends had a great time at Mom's pizza party.,"They did, and some new dogmoved in.","They did, and some new kids moved in.",1
871,63474,63474,My roommate's birthday was recently.,It was a great birthday.,We didn't have any fun.,We all had a lot of fun.,1
4186,16944,16944,Amy was in class with her crush Ray.,She decided he would call her tonight for sure.,Ray gave Amy his phone number.,Amy gave Ray her phone number.,1
200,49843,49843,Tim had a soccer match.,"However, they were happy they had fun.",tims team won the game.,Tim's team lost the game.,1
961,116484,116484,I needed a new car.,I was able to buy a car with the loan shark's help!,I had amazing credit and easily got a bank loan.,I had bad credit and couldn't get a bank loan.,1
1093,44222,44222,Karen was at summer camp.,"Finally, a counselor helped her find it under the dresser.",Karen stole and hid a bracelet.,Karen lost an object and told the counselor.,1
4101,23922,23922,I woke up in the middle of the night to rain pounding the roof.,The rain had gone and left a beautiful blue sky.,It keep me up until the next day.,It keep me up until the next year.,0
2955,158292,158292,The Don loved his country very much.,With the help of his friends the Don made his country great again.,"The Don wanted to improve the country, but couldn't do it on his own.","The Don had no care to improve the country, but tried to work on his own.",0
508,80289,80289,Barry loved to lift weights.,He still ended up having a great workout.,Barry overslept and woke up with no energy to work out.,Barry took a nap and woke up with enough energy to work out.,1
2927,106337,106337,Timmy was a toddler.,"Timmy was so scared, his mom decided to get rid of the cat.",Timmy's mom bought a cake as a surprise.,Timmy's mom bought a cat as a surprise.,1
3188,169014,169014,Ally and Jake were siblings.,Ally won every game they played.,They never play together.,They always play together.,1
3375,51167,51167,Gina's job was low paying.,She decided she would have to get a second job.,Gina had no need for money.,Gina needed more money.,1
4865,56001,56001,Yesterday there was a massive snowstorm.,Unfortunately I was a half hour late.,I wouldn't drive in the snow.,I tried to drive in snow.,1
1100,68107,68107,Three men rolled a giant ball up a steep hill.,All the men cheered and ran after the ball to do it again.,The three men pushed the ball down the hill.,Only one of the men pushed the ball down the hill.,0
357,82734,82734,My favorite superhero is Batman.,Now he calls me Batman instead of Dad.,My son found out I can't stand Batman.,My son found out I love Batman.,1
3229,157599,157599,Donald always had a problem with food.,He died in his early forties.,He eventually got rid of his ailments.,He could not swallow properly without vomiting.,1
2163,126015,126015,Ava was playing at the beach one day.,"There, she set it on her dresser as a memento of the beach.",Ava got a bee sting.,Ava got a shell.,1
2610,31824,31824,A man desired to learn how to build websites.,"Upon simply trying to build websites from scratch, he improved.",The man watched videos and did research on building websites.,The man was too lazy to learn and gave up.,0
3390,1923,1923,"After Mike was legally allowed to drink, he formed some bad habits.",Mike decided to stop drinking alcohol from then on.,Mike was getting tired of always being sober.,Mike was getting tired of doing bad things.,1
3165,169493,169493,"Since I was a child, I dreamed of being a pilot.","On my fortieth birthday, I decided to leave my job and become a pilot.",I didnt like airplanes.,I took pilot lessons for many years.,1
1297,149007,149007,Sarah loved to drink coffee.,Her teeth are now white.,Sarah used metal strips to fix her laptop.,Sarah used whitening strips to fix her yellow teeth.,1
2961,64752,64752,Steve was excited about learning how to drive.,"Before long, he was happy solo driver.",Steve practiced driving daily and passed a cop speeding.,Steve practiced driving daily and passed his driving exam.,1
423,93570,93570,Ed wanted to paint.,He decided to hang it in his house.,Ed didn't know how to paint.,Ed painted a picture.,1
4014,32383,32383,Fred and James both claimed they were the best basketball player.,"James learned that day to focus on the game, not on bragging.",Fred beat James  in the game.,James beat Fred in the game.,1
3573,78863,78863,Domingo was the dictator of a tropical island.,But neither negotiator was funny.,Negotiators from other countries tried to win favor by bringing gifts.,Negotiators from other countries tried to win favor by joking.,1
2659,87514,87514,I got a call from my friend Roger this afternoon.,Thankfully the only thing that burned was grass.,Roger's friend had been involved in a fire.,Roger had been involved in a fire.,1
2297,134877,134877,The first day of school I walked there with two of my closest friends.,We couldn't believe our luck.,We found a penny.,We found a 200 dollar bill.,1
2447,160867,160867,Maurice had never liked eating fruit.,"From that day forward, Maurice ate many bananas.",He tried orange pudding at a party.,He tried banana pudding at a party.,1
1818,95441,95441,Eli and his friends were watching an action movie.,He decided to go watch a love movie by himself.,Eli enjoyed being with friends while watching it.,"Eli didn't like the movie, but his friends did.",1
1602,6315,6315,Kim had been working extra hard for weeks.,She was happy to get the promotion.,So Kim's boss terminated her employment.,So Kim's boss promoted her.,1
4285,120726,120726,Ella went to study in England for a semester.,"At the end of the semester, Ella drank as much tea as any Brit!",She was introduced to beer by her new professor.,Ella was introduced to tea by her new professor.,1
4797,154327,154327,One day Matilda was extremely bored.,Matilda was told to not write to them anymore.,She spent the afternoon making up with some of her ex's.,She spent the afternoon stalking some of her ex's.,1
1223,18654,18654,Jose grew up in a house where soccer was king.,Jose ended as one of best players in the league.,Jose's family watched TV with her every day.,Jose family practice with her every day.,1
4098,154497,154497,I saw my friend Joe sitting in lobby today.,I left him in the lobby and told him I would see him soon.,I stopped and told Joe hello because he is my friend.,I stopped an said hello to my friend Joe.,1
1334,56598,56598,Billy liked Christmas songs.,So he decided that 12 drummers drumming was a better part of the song.,Billy listened to half of the 12 days of christmas song.,Billy listened to the 12 days of christmas song.,1
4448,156659,156659,Sarah had her first swimming lesson today.,Sarah is excited for her next swimming lesson.,Sarah had a lot of trouble learning to swim.,Sarah had a lot of fun learning to swim.,1
4718,150289,150289,Thomas had been feeling under the radar lately.,He was diagnosed with diabetes after gaining forty pounds.,Thomas ate a lot of healthy fruits and vegetables to feel better.,Thomas ate a lot of sugar to feel better.,1
4005,160160,160160,"John was tired after work, but he decided to go to the gym anyway.",John and the woman from the gym are now happily married.,John ended up meeting a woman that he really couldn't stand.,John ended up meeting a woman that he really hit it off with.,1
153,2073,2073,Miki's grandmother was getting very old.,Miki and her grandmother cherished the time they had together.,Miki hired an assassin to stop her grandmother's aging.,Miki spent more time with her grandmother.,1
3162,71256,71256,Eric had glasses his whole life.,He quickly realized he couldn't put them in because he couldn't see.,Eric decided to keep using glasses.,Eric decided to try using contacts.,1
1850,86920,86920,Every year the Sarver's celebrated Christmas at their winter lodge.,Everyone was still happy.,This year the Servers all quit for their holiday.,This year the Sarvers had terrible weather for their holiday.,1
697,104010,104010,Amy was in London for a week.,She ended up having to sit inside the bus.,Amy went to a bus continuation.,Amy went to a bus stop.,1
2394,100421,100421,Dana wanted to switch into the electrical engineering program.,Dana decided to pursue computer science instead.,Dana did some research on computer science.,Dana did some research on electrical engineering.,1
1249,40499,40499,A mother looked at the face of her newborn baby boy.,The boy had a very happy childhood.,She promised him she would always cause him pain.,She promised him she would always keep him safe.,1
2373,22298,22298,Mike is a cop who got shot in the leg.,And he decided that it was his calling to fight crime.,Mike's partner managed to capture the criminal and received a commendation.,Mike managed to capture the criminal and received a commendation.,1
4856,67712,67712,Tom was a policeman.,He was able to walk away from the scene unharmed.,One evening Tom was involved in a high speed chase that ended in nothing.,One evening Tom was involved in a high speed chase that ended in a crash.,1
556,73423,73423,Betsy was about to celebrate her sixteenth birthday.,Betsy felt really bad for the rest of the night.,Betsy invited all her friends into her birthday party.,Betsy snuck some alcohol into her birthday party.,1
1344,49534,49534,Kathy was taking a shower.,"Luckily, she and the baby were fine.",Kathy slipped and fell on the baby's head.,Kathy slipped and fell.,1
2356,129782,129782,Xavier founded a special school for very special children.,"Only after Xavier had died in prison, did the accusers recant.",Some of them witnessed him commit certain crimes.,Some of them accused him of certain crimes.,1
3340,87666,87666,Ike's kindergarten class was playing a game.,"By time Ike heard it, it was about flying in space!",They had to keep the stories the same.,They had to change the stories.,1
4881,59983,59983,Little Joey was walking in the neighborhood.,He took the lace off and told his mother it followed him.,Joey thought a bird followed him.,Joey thought a lace followed him.,1
991,144810,144810,Jared was very slow.,The name stuck and everyone calls him that.,His friends gave him the nickname speedy.,His friends gave him the nickname snail.,1
2307,38401,38401,I was getting ready for work one day.,"Finally, I had to just leave for the day is mismatched socks.",It was very peaceful.,it was very stressful and degrading.,1
2804,125121,125121,Tami needed her husband to fix the plumbing immediately.,"Faced with an ultimatum, Tami's husband got to work immediately.",Tammi will live with her mother if it's not done.,Tammi will tell her mother if it's not done.,0
895,107488,107488,Tom was a very healthy guy.,Soon thereafter Tom had to go to the restroom.,Tom eats lots of chicken nuggets and drinks plenty of oil.,Tom eats lots of vegetables and drinks plenty of water.,1
2751,137682,137682,Early every morning the hummingbirds visit my porch.,I shot the rat and tossed the body into the garbage.,I like hummingbirds.,The hummingbirds also drew a rat to my porch.,1
4061,6895,6895,Tory purchased the most perfect crystal earrings.,She was sure she wouldn't be disappointed again.,The crystals turned out to be poisonous.,The crystals turned out to be fake.,1
4730,153661,153661,"Needing money, Joan got a job as a waitress.",Joan decided it was time to start competing like the other girls.,"Joan saved her hair clippings, then realized she was falling behind.","Joan saved her tips, then realized she was falling behind.",1
464,108407,108407,The Smith family drove to the beach for a fun and relaxing day.,The family headed home after a fun filled day.,"They brought their dog, who misbehaved.",They brought their dog and threw the frizbee!.,1
3778,83344,83344,I hired a social media manager.,I decided to give my new social media manager a raise.,Opinion of our company rose 13%.,Opinion of our company went up 13%.,1
2338,94236,94236,Frank bought a vintage bicycle at a neighbor's yard sale.,"After a few days, Frank was finished and the bike was like new.",Frank didn't know what he was doing.,Frank figured he could refurbish the bike and resell it.,1
1433,64644,64644,Ricard thought space was cool.,On that morning he unwrapped one.,"Ricard asked for a spaceship, but was rejected a wrapped package.",Ricard asked for a spaceship and received a wrapped package.,1
2171,78967,78967,Paul loved tv dinners.,Paul felt sick later that night.,Paul decided to have carrots for dinner.,Paul decided to make an old tv dinner he saw in his freezer.,1
3923,38105,38105,Jerry was washing his clothes.,Jerry had to clean up the mess with a mop.,The washer vibrated on the floor.,The washer leaked on the floor.,1
4154,88850,88850,Cammie was out at the store.,It was pretty bad and she had to stay somewhere else that night.,Cammie's house was safe from flooding.,Cammie's house flooded while she was gone.,1
2508,131092,131092,Mary wanted to make plans for New Year's Eve.,It was the best New Year's Eve party ever.,Mary decided to crash someone's New Year's party.,Mary decided to throw a New Year's party.,1
4273,43676,43676,Amy and her friend Kim were supposed to become vegetarians.,"She decided she would rather lose a friend, than lose bacon.",Kim left Amy after catching Amy eating salad.,Kim left Amy after catching Amy eating bacon.,1
299,85081,85081,The Roberts took a family vacation every summer.,It was as much fun as any previous vacation.,"They decided to go to Florida, where they had always been.","they decided to go to Florida, where they had never been.",1
4062,10608,10608,Anna wanted a new dress for her Christmas party.,All Anna's friends loved and complimented her new dress!,So she bought one in non-blooming.,so she bought one in red.,1
3561,11637,11637,In the month of November the shoppers come out of hiding.,She was fighting with an old lady over the last pair of snow boots.,"One day, a woman wanted a deal so bad, she begged for it.","One day, a woman wanted a deal so bad, she became extremely violent.",1
368,156377,156377,I stroked the paintbrush across the canvas.,When I looked at my creation I was proud.,We finished our first colorful and group painting.,I finished my first colorful and solo painting.,1
4838,66540,66540,Ben went swimming in the quarry.,"When he finally calmed, he was able to yank the leech off.",A friend grabbed on to their arm.,A leech grabbed on to his private parts.,1
1341,94266,94266,I decided to take a long walk down the street.,I was so happy for the whole day because it was my lucky money day.,I found a penny.,I found a one hundred dollar bill.,1
1471,56416,56416,Timmy was watching the morning news.,His teacher showed the news segment in class afterwards.,Timmy told his mother about it.,Timmy told his teacher about it.,1
3783,128878,128878,Jared liked to fish with his dad every Saturday.,Jared discovered his dad's companionship was most important.,Jared avoided conversation with his dad.,Jared talked to his dad.,1
4536,76176,76176,Tom's first day at work was at hand as he boarded the bus.,The rest of his first day turned out equally as uneventful.,Tom found a hundred dollar bill on the ground.,Tom forgot everything he forgot his lunch an his money.,1
558,8578,8578,Mark was at work.,"After he yelled, he stormed out of the store and quit the job.",One of his coworkers made him happy.,One of his coworkers made him angry.,1
4778,40708,40708,One thing that Tina wanted to do in NYC was go to a hot dog stand.,She was sad about the hot dog.,Tina was happy she made it to the hot dog stand.,Tina never made it to the hot dog stand.,1
4261,115967,115967,Eddie was known as a violent man.,"After going to jail, Eddie was not allowed to return home.",Eddie abided by the law.,Eddie committed another crime.,1
2169,18084,18084,Every time it rains the yard gets muddy along the fence.,"After putting the stones down, I'm ready for the rain!",I put stones down around the fence to redirect the train.,I put stones down around the fence to redirect the rain.,1
1750,50569,50569,Addison likes ferryboats.,Addison has decided to take her car to work instead.,Addison takes a ferryboat to work.,Addison has the ability to take a ferryboat to work.,1
928,15133,15133,Johnny's only plan for a career was to be an athlete.,Johnny couldn't go pro and didn't have the drive to find a job.,johnny liked to play.,Johnny didn't have a backup plan.,1
984,34037,34037,Matthew lived in Canada.,"Luckily, he managed to avoid it.",There wasn't a snowstorm on his way home.,There was a huge snowstorm on his way home.,1
1939,15981,15981,I decided to go on a bike ride with my brother.,I felt very badly for my brother.,My brother crashed on soft grass and wasn't hurt.,My brother crashed and hurt his leg really bad.,1
1904,73057,73057,Jorie went with her family to visit Anne Frank's home in Amsterdam.,Jorie admitted it was a very emotional tour.,Jorie was really excited to explore Anne Frank's amsterdam.,Jorie was really excited to explore Anne Frank's home.,1
3028,102490,102490,"My cousin, Mitzi, always kept her shoes on when we were kids.","In the blink of an eye, seven of Mitzi's piggies said their goodbyes.",Mitzi got her feet stuck into her blanket.,Mitzi got her feet stuck in a lawnmower.,1
3245,3656,3656,Bob just arrived in Chicago.,He couldn't believe how breathtaking all the lights at night were!,Bob went exploring downtown Atlanta tonight.,Bob went exploring downtown Chicago tonight.,1
3277,89133,89133,Joe had really bad cleaning habits.,Joe tipped her really well for doing such an excellent job.,Joe decided to fire a cleaning maid.,Joe decided to hire a cleaning maid.,1
2275,106498,106498,Charles rented a studio apartment.,She said when she was young an apartment like this was twenty dollars.,Charles mom said she would not visit him.,Charles mom went to visit him.,1
980,162205,162205,Harry always joked with his wife about her easy yoga practices.,Harry never laughed about his wife's yoga classes again.,Harry tried yoga and found it easy.,Harry tried yoga and strained a muscle.,1
4780,69623,69623,I wanted to learn a blue collar trade.,I had to drop out of the apprenticeship.,"I took an auto class, and I aced my tests.","I took an auto class, but I failed my tests.",1
903,160839,160839,Pat takes a bus from New York to New Jersey every day for work.,Pat thinks about all the time he wasted commuting.,Pat spends an hour on the bus each way.,Pat spends an hour on the bus for each way.,1
3298,16143,16143,Karen invited friends and family over for easter.,Karen considered the party a great success.,None of Karen's family showed up.,All of Karen's showed up.,1
3170,132978,132978,Tina drove her car to work.,Tina wisely decided to go work on a different road.,Tina ran into a stop sign but navigated out of it.,Tina ran into traffic but navigated out of it.,1
1274,109068,109068,"Jim was tired with work, so he dropped out and went on an adventure.","Luckily, Jim found a town and was able to make it home safe.",it was a quarter.,Jim got lost on his nature walk.,1
633,21999,21999,Everyone knew Sam was forgetful.,"When the play began the next day, nobody could find Sam.",Sam was given the lead role in the play.,Sam was given a small role in the play.,1
3148,75603,75603,Kay wanted her family to eat more healthfully.,"Soon she and her family were eating fresh, healthy homegrown produce!",Kay started buying more junk food at the stores.,Kay started a garden.,1
1708,48209,48209,Timmy hates carrots.,Timmy is very happy.,Timmy got carrot cake instead.,Timmy got green beans instead.,1
1501,145195,145195,Fred had recently taken up running.,His first day wearing them he even was able to run an extra mile.,Fred finally bought some new books.,Fred finally bought some new running shoes.,1
4364,169220,169220,Danny got down on one knee.,"To be kind, she told him she needed some time to think.",Danny proposed to his girlfriend's jacket.,Danny proposed to his girlfriend.,1
1231,20326,20326,I once went to a concert where Dan Bern was performing.,I got his autograph while waiting in line for the bathroom.,I really wanted Dan Bern's skin.,I really wanted Dan Bern's autograph.,1
