,Unnamed: 0,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
758,758,['neutral'],4444452893.jpg#1,neutral,4444452893.jpg#1r1n,Children's soccer game being played while the sun sets in the background.,( ( ( Children 's ) ( soccer ( game being ) ) ) ( ( played ( while ( ( the sun ) ( sets ( in ( the background ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (NNP Children) (POS 's)) (NN soccer) (NN game) (NN being)) (VP (VBD played) (SBAR (IN while) (S (NP (DT the) (NN sun)) (VP (VBZ sets) (PP (IN in) (NP (DT the) (NN background))))))) (. .))),Girls playing soccer while the sun sets.,( ( Girls ( ( playing soccer ) ( while ( ( the sun ) sets ) ) ) ) . ),(ROOT (NP (NP (NNS Girls)) (VP (VBG playing) (NP (NN soccer)) (SBAR (IN while) (S (NP (DT the) (NN sun)) (VP (VBZ sets))))) (. .)))
3338,3338,['neutral'],2473737724.jpg#2,neutral,2473737724.jpg#2r1n,Two children perform a karate move on a red mat.,( ( Two children ) ( ( perform ( ( a ( karate move ) ) ( on ( a ( red mat ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS children)) (VP (VBP perform) (NP (NP (DT a) (JJ karate) (NN move)) (PP (IN on) (NP (DT a) (JJ red) (NN mat))))) (. .))),Two children are arguing and fighting each other.,( ( Two children ) ( ( are ( ( ( arguing and ) fighting ) ( each other ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS children)) (VP (VBP are) (VP (VBG arguing) (CC and) (VBG fighting) (NP (DT each) (JJ other)))) (. .)))
3247,3247,['neutral'],2745487323.jpg#4,neutral,2745487323.jpg#4r1n,A formal band performing their works.,( ( ( A ( formal band ) ) ( performing ( their works ) ) ) . ),(ROOT (NP (NP (DT A) (JJ formal) (NN band)) (VP (VBG performing) (NP (PRP$ their) (NNS works))) (. .))),The band is playing music for an audience.,( ( The band ) ( ( is ( playing ( music ( for ( an audience ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN band)) (VP (VBZ is) (VP (VBG playing) (NP (NP (NN music)) (PP (IN for) (NP (DT an) (NN audience)))))) (. .)))
2152,2152,['entailment'],1321651400.jpg#0,entailment,1321651400.jpg#0r2e,A blond woman in a white dress sits in a flowering tree while holding a white bird.,( ( ( A ( blond woman ) ) ( in ( a ( white dress ) ) ) ) ( ( ( sits ( in ( a ( flowering tree ) ) ) ) ( while ( holding ( a ( white bird ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ blond) (NN woman)) (PP (IN in) (NP (DT a) (JJ white) (NN dress)))) (VP (VBZ sits) (PP (IN in) (NP (DT a) (NN flowering) (NN tree))) (SBAR (IN while) (S (VP (VBG holding) (NP (DT a) (JJ white) (NN bird)))))) (. .))),The woman is older than 15 years old.,( ( The woman ) ( ( is ( older ( than ( ( 15 years ) old ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (ADJP (ADJP (JJR older)) (PP (IN than) (ADJP (NP (CD 15) (NNS years)) (JJ old))))) (. .)))
4568,4568,['neutral'],4822562213.jpg#0,neutral,4822562213.jpg#0r1n,Three parked taxis with two parked police cars behind them.,( ( ( Three ( parked taxis ) ) ( with two ) ) ( ( ( parked ( police cars ) ) ( behind them ) ) . ) ),(ROOT (S (NP (NP (CD Three) (VBN parked) (NNS taxis)) (PP (IN with) (NP (CD two)))) (VP (VBD parked) (NP (NN police) (NNS cars)) (PP (IN behind) (NP (PRP them)))) (. .))),The taxis are yellow.,( ( The taxis ) ( ( are yellow ) . ) ),(ROOT (S (NP (DT The) (NNS taxis)) (VP (VBP are) (ADJP (JJ yellow))) (. .)))
1168,1168,['entailment'],6160193920.jpg#3,entailment,6160193920.jpg#3r1e,A lady wearing a blue print shirt and green head cover smiles for the camera.,( ( ( A lady ) ( wearing ( a ( blue ( print ( shirt ( and ( green ( head cover ) ) ) ) ) ) ) ) ) ( ( smiles ( for ( the camera ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN lady)) (VP (VBG wearing) (NP (DT a) (JJ blue) (NN print) (NN shirt) (CC and) (JJ green) (NN head) (NN cover)))) (VP (VBZ smiles) (PP (IN for) (NP (DT the) (NN camera)))) (. .))),A lady wearing a blue shirt.,( ( ( A lady ) ( wearing ( a ( blue shirt ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN lady)) (VP (VBG wearing) (NP (DT a) (JJ blue) (NN shirt))) (. .)))
3093,3093,['neutral'],3284695268.jpg#2,neutral,3284695268.jpg#2r1n,A baby in jeans and a winter jacket sits on top of a blue slide.,( ( ( A baby ) ( in ( ( jeans and ) ( a ( winter jacket ) ) ) ) ) ( ( sits ( on ( top ( of ( a ( blue slide ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN baby)) (PP (IN in) (NP (NP (NNS jeans)) (CC and) (NP (DT a) (NN winter) (NN jacket))))) (VP (VBZ sits) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (DT a) (JJ blue) (NN slide)))))) (. .))),A baby on a playground slide outside,( ( A baby ) ( on ( a ( playground ( slide outside ) ) ) ) ),(ROOT (NP (NP (DT A) (NN baby)) (PP (IN on) (NP (DT a) (NN playground) (NN slide) (NN outside)))))
849,849,['neutral'],1780384960.jpg#0,neutral,1780384960.jpg#0r1n,Cheerleaders are doing a cheer at a football field.,( Cheerleaders ( ( are ( ( doing ( a cheer ) ) ( at ( a ( football field ) ) ) ) ) . ) ),(ROOT (S (NP (NNS Cheerleaders)) (VP (VBP are) (VP (VBG doing) (NP (DT a) (NN cheer)) (PP (IN at) (NP (DT a) (NN football) (NN field))))) (. .))),The cheerleaders are wearing black and red uniforms.,( ( The cheerleaders ) ( ( are ( wearing ( black ( and ( red uniforms ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NNS cheerleaders)) (VP (VBP are) (VP (VBG wearing) (NP (JJ black) (CC and) (JJ red) (NNS uniforms)))) (. .)))
2074,2074,['neutral'],1873655403.jpg#1,neutral,1873655403.jpg#1r5n,"Three male construction workers are examining something in a field, two of them are holding shovels.","( ( ( Three ( male ( construction workers ) ) ) ( are ( ( examining something ) ( in ( a field ) ) ) ) ) ( , ( ( two ( of them ) ) ( ( are ( holding shovels ) ) . ) ) ) )","(ROOT (S (S (NP (CD Three) (JJ male) (NN construction) (NNS workers)) (VP (VBP are) (VP (VBG examining) (NP (NN something)) (PP (IN in) (NP (DT a) (NN field)))))) (, ,) (NP (NP (CD two)) (PP (IN of) (NP (PRP them)))) (VP (VBP are) (VP (VBG holding) (NP (NNS shovels)))) (. .)))",Three male construction workers hold shovels as they examine something in a field.,( ( Three ( male ( construction workers ) ) ) ( ( ( hold shovels ) ( as ( they ( examine ( something ( in ( a field ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Three) (JJ male) (NN construction) (NNS workers)) (VP (VBP hold) (NP (NNS shovels)) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP examine) (NP (NP (NN something)) (PP (IN in) (NP (DT a) (NN field)))))))) (. .)))
3787,3787,['neutral'],3655745504.jpg#0,neutral,3655745504.jpg#0r1n,"An African-American man wearing a purple shirt, white shoes and blue jeans is playing a saxophone while standing inside of a building which has many archways and a red and gray tiled floor.","( ( ( An ( African-American man ) ) ( wearing ( ( ( ( ( a ( purple shirt ) ) , ) ( white shoes ) ) and ) ( blue jeans ) ) ) ) ( ( is ( playing ( ( a ( saxophone ( while standing ) ) ) ( inside ( of ( ( a building ) ( which ( has ( ( ( many archways ) and ) ( a ( ( ( red and ) gray ) ( tiled floor ) ) ) ) ) ) ) ) ) ) ) ) . ) )","(ROOT (S (NP (NP (DT An) (JJ African-American) (NN man)) (VP (VBG wearing) (NP (NP (DT a) (JJ purple) (NN shirt)) (, ,) (NP (JJ white) (NNS shoes)) (CC and) (NP (JJ blue) (NNS jeans))))) (VP (VBZ is) (VP (VBG playing) (NP (NP (DT a) (NN saxophone) (NN while) (NN standing)) (PP (JJ inside) (IN of) (NP (NP (DT a) (NN building)) (SBAR (WHNP (WDT which)) (S (VP (VBZ has) (NP (NP (JJ many) (NNS archways)) (CC and) (NP (DT a) (ADJP (JJ red) (CC and) (JJ gray)) (JJ tiled) (NN floor))))))))))) (. .)))",A man is playing a saxophone in room,( ( A man ) ( is ( playing ( ( a saxophone ) ( in room ) ) ) ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG playing) (NP (NP (DT a) (NN saxophone)) (PP (IN in) (NP (NN room))))))))
4281,4281,['contradiction'],215876547.jpg#4,contradiction,215876547.jpg#4r1c,A man sitting in a rowboat,( A ( man ( sitting ( in ( a rowboat ) ) ) ) ),(ROOT (FRAG (NP (DT A) (NN man) (S (VP (VBG sitting) (PP (IN in) (NP (DT a) (NN rowboat)))))))),a man is standing in a boat,( ( a man ) ( is ( standing ( in ( a boat ) ) ) ) ),(ROOT (S (NP (DT a) (NN man)) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (DT a) (NN boat)))))))
4681,4681,['neutral'],2888408966.jpg#4,neutral,2888408966.jpg#4r1n,A boy does a trick on a skateboard.,( ( A boy ) ( ( does ( ( a trick ) ( on ( a skateboard ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ does) (NP (NP (DT a) (NN trick)) (PP (IN on) (NP (DT a) (NN skateboard))))) (. .))),The skateboard is red.,( ( The skateboard ) ( ( is red ) . ) ),(ROOT (S (NP (DT The) (NN skateboard)) (VP (VBZ is) (ADJP (JJ red))) (. .)))
3525,3525,['entailment'],216172386.jpg#3,entailment,216172386.jpg#3r1e,The motorcyclist has reached the summit.,( ( The motorcyclist ) ( ( has ( reached ( the summit ) ) ) . ) ),(ROOT (S (NP (DT The) (NN motorcyclist)) (VP (VBZ has) (VP (VBN reached) (NP (DT the) (NN summit)))) (. .))),A person rides a motorcycle.,( ( A person ) ( ( rides ( a motorcycle ) ) . ) ),(ROOT (S (NP (DT A) (NN person)) (VP (VBD rides) (NP (DT a) (NN motorcycle))) (. .)))
1906,1906,['neutral'],1145810912.jpg#2,neutral,1145810912.jpg#2r1n,Child in red and blue shirt painting a log.,( ( ( Child ( in ( ( ( red and ) blue ) shirt ) ) ) ( painting ( a log ) ) ) . ),(ROOT (NP (NP (NP (NN Child)) (PP (IN in) (NP (ADJP (JJ red) (CC and) (JJ blue)) (NN shirt)))) (VP (VBG painting) (NP (DT a) (NN log))) (. .))),A child with clothes on is painting somthing,( ( ( A child ) ( with ( clothes on ) ) ) ( is ( painting somthing ) ) ),(ROOT (S (NP (NP (DT A) (NN child)) (PP (IN with) (NP (NP (NNS clothes)) (PP (IN on))))) (VP (VBZ is) (VP (VBG painting) (S (VP (VBG somthing)))))))
1966,1966,['neutral'],3631986552.jpg#0,neutral,3631986552.jpg#0r1n,The surfer catches a big wave but stays on his board.,( ( The surfer ) ( ( ( ( catches ( a ( big wave ) ) ) but ) ( stays ( on ( his board ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN surfer)) (VP (VP (VBZ catches) (NP (DT a) (JJ big) (NN wave))) (CC but) (VP (VBZ stays) (PP (IN on) (NP (PRP$ his) (NN board))))) (. .))),The surfer is in the ocean.,( ( The surfer ) ( ( is ( in ( the ocean ) ) ) . ) ),(ROOT (S (NP (DT The) (NN surfer)) (VP (VBZ is) (PP (IN in) (NP (DT the) (NN ocean)))) (. .)))
156,156,"['neutral', 'neutral', 'neutral', 'neutral']",4473826637.jpg#2,neutral,4473826637.jpg#2r1n,A couple holding hands walks down a street.,( ( A ( couple ( holding hands ) ) ) ( ( ( walks down ) ( a street ) ) . ) ),(ROOT (S (NP (DT A) (NN couple) (NN holding) (NNS hands)) (VP (VBZ walks) (PRT (RP down)) (NP (DT a) (NN street))) (. .))),Two men hold hands while walking down the street.,( ( Two men ) ( ( ( hold hands ) ( while ( ( walking down ) ( the street ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS men)) (VP (VBP hold) (NP (NNS hands)) (PP (IN while) (S (VP (VBG walking) (PRT (RP down)) (NP (DT the) (NN street)))))) (. .)))
2721,2721,['entailment'],4315350257.jpg#2,entailment,4315350257.jpg#2r1e,A large woman in a blue jacket is looking irritated.,( ( ( A ( large woman ) ) ( in ( a ( blue jacket ) ) ) ) ( ( is ( looking irritated ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ large) (NN woman)) (PP (IN in) (NP (DT a) (JJ blue) (NN jacket)))) (VP (VBZ is) (VP (VBG looking) (S (ADJP (VBN irritated))))) (. .))),a heavy set woman wearing a jacket is not happy.,( ( ( a ( heavy ( set woman ) ) ) ( wearing ( a jacket ) ) ) ( ( ( is not ) happy ) . ) ),(ROOT (S (NP (NP (DT a) (JJ heavy) (NN set) (NN woman)) (VP (VBG wearing) (NP (DT a) (NN jacket)))) (VP (VBZ is) (RB not) (ADJP (JJ happy))) (. .)))
3589,3589,['neutral'],3593556797.jpg#4,neutral,3593556797.jpg#4r1n,A woman walking down the side of a highway.,( ( ( A woman ) ( ( walking down ) ( ( the side ) ( of ( a highway ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN woman)) (VP (VBG walking) (PRT (RP down)) (NP (NP (DT the) (NN side)) (PP (IN of) (NP (DT a) (NN highway))))) (. .))),The woman is wearing a blue dress.,( ( The woman ) ( ( is ( wearing ( a ( blue dress ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (VP (VBG wearing) (NP (DT a) (JJ blue) (NN dress)))) (. .)))
4330,4330,['neutral'],3335501468.jpg#0,neutral,3335501468.jpg#0r1n,A brown duck with a green head flaps its wings in the water.,( ( ( A ( brown duck ) ) ( with ( a ( green head ) ) ) ) ( ( ( flaps ( its wings ) ) ( in ( the water ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ brown) (NN duck)) (PP (IN with) (NP (DT a) (JJ green) (NN head)))) (VP (VBD flaps) (NP (PRP$ its) (NNS wings)) (PP (IN in) (NP (DT the) (NN water)))) (. .))),Someone was scaring a duck in the water.,( Someone ( ( was ( scaring ( ( a duck ) ( in ( the water ) ) ) ) ) . ) ),(ROOT (S (NP (NN Someone)) (VP (VBD was) (VP (VBG scaring) (NP (NP (DT a) (NN duck)) (PP (IN in) (NP (DT the) (NN water)))))) (. .)))
4309,4309,"['neutral', 'neutral', 'neutral', 'entailment', 'contradiction']",2045443590.jpg#1,neutral,2045443590.jpg#1r1n,Person in hooded sweatshirt that obscures their face sits next to a freshly cut log.,( ( Person ( in ( ( hooded sweatshirt ) ( that ( obscures ( their face ) ) ) ) ) ) ( ( sits ( next ( to ( a ( freshly ( cut log ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (NNP Person)) (PP (IN in) (NP (NP (JJ hooded) (NN sweatshirt)) (SBAR (WHNP (WDT that)) (S (VP (VBZ obscures) (NP (PRP$ their) (NN face)))))))) (VP (VBZ sits) (ADVP (JJ next) (PP (TO to) (NP (DT a) (RB freshly) (VBN cut) (NN log))))) (. .))),A man hiding his face sits next to the fallen tree.,( ( ( A man ) ( hiding ( his face ) ) ) ( ( sits ( next ( to ( the ( fallen tree ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG hiding) (NP (PRP$ his) (NN face)))) (VP (VBZ sits) (ADVP (JJ next) (PP (TO to) (NP (DT the) (VBN fallen) (NN tree))))) (. .)))
2193,2193,['contradiction'],3275527950.jpg#0,contradiction,3275527950.jpg#0r1c,Two people are planting small bushes near a grassy area.,( ( Two people ) ( ( are ( planting ( ( small bushes ) ( near ( a ( grassy area ) ) ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG planting) (NP (NP (JJ small) (NNS bushes)) (PP (IN near) (NP (DT a) (JJ grassy) (NN area)))))) (. .))),Two people are planting trees.,( ( Two people ) ( ( are ( planting trees ) ) . ) ),(ROOT (S (NP (CD Two) (NNS people)) (VP (VBP are) (VP (VBG planting) (NP (NNS trees)))) (. .)))
3871,3871,['neutral'],2978540629.jpg#1,neutral,2978540629.jpg#1r4n,Children ride a balloon ride in an amusement park.,( Children ( ( ride ( ( a ( balloon ride ) ) ( in ( an ( amusement park ) ) ) ) ) . ) ),(ROOT (S (NP (NNP Children)) (VP (VBP ride) (NP (NP (DT a) (NN balloon) (NN ride)) (PP (IN in) (NP (DT an) (NN amusement) (NN park))))) (. .))),10 people in a ride,( ( 10 people ) ( in ( a ride ) ) ),(ROOT (NP (NP (CD 10) (NNS people)) (PP (IN in) (NP (DT a) (NN ride)))))
488,488,['neutral'],411216802.jpg#0,neutral,411216802.jpg#0r1n,Three dogs in different shades of brown and white biting and licking each other.,( ( ( ( Three dogs ) ( in ( ( different shades ) ( of ( ( brown and ) white ) ) ) ) ) ( ( ( biting and ) licking ) ( each other ) ) ) . ),(ROOT (NP (NP (NP (CD Three) (NNS dogs)) (PP (IN in) (NP (NP (JJ different) (NNS shades)) (PP (IN of) (NP (JJ brown) (CC and) (JJ white)))))) (VP (VBG biting) (CC and) (VBG licking) (NP (DT each) (JJ other))) (. .))),the dog playing,( the ( dog playing ) ),(ROOT (NP (DT the) (NN dog) (NN playing)))
3534,3534,['neutral'],2766325714.jpg#4,neutral,2766325714.jpg#4r3n,Two girls lift a third girl.,( ( Two girls ) ( ( lift ( a ( third girl ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS girls)) (VP (VBP lift) (NP (DT a) (JJ third) (NN girl))) (. .))),Two blonde haired girls are lifting a brown haired girl,( ( Two ( blonde ( haired girls ) ) ) ( are ( lifting ( a ( brown ( haired girl ) ) ) ) ) ),(ROOT (S (NP (CD Two) (JJ blonde) (JJ haired) (NNS girls)) (VP (VBP are) (VP (VBG lifting) (NP (DT a) (JJ brown) (JJ haired) (NN girl))))))
4908,4908,['neutral'],3692892751.jpg#3,neutral,3692892751.jpg#3r1n,A skateboarder without a shirt grabs his board in the air.,( ( ( A skateboarder ) ( without ( a shirt ) ) ) ( ( ( grabs ( his board ) ) ( in ( the air ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN skateboarder)) (PP (IN without) (NP (DT a) (NN shirt)))) (VP (VBZ grabs) (NP (PRP$ his) (NN board)) (PP (IN in) (NP (DT the) (NN air)))) (. .))),The skateboarder wears red shorts.,( ( The skateboarder ) ( ( wears ( red shorts ) ) . ) ),(ROOT (S (NP (DT The) (NN skateboarder)) (VP (VBZ wears) (NP (JJ red) (NNS shorts))) (. .)))
2415,2415,['neutral'],430543100.jpg#3,neutral,430543100.jpg#3r1n,A nurse treating a child with cleft palate.,( ( ( A nurse ) ( ( treating ( a child ) ) ( with ( cleft palate ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN nurse)) (VP (VBG treating) (NP (DT a) (NN child)) (PP (IN with) (NP (JJ cleft) (NN palate)))) (. .))),child got hurt on bike,( child ( got ( hurt ( on bike ) ) ) ),(ROOT (S (NP (NN child)) (VP (VBD got) (VP (VBN hurt) (PP (IN on) (NP (NN bike)))))))
