,Unnamed: 0,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
4491,4491,3,When you hair grows too long and heavy you can cut it to make it more what?,hair,A. very thin,B. more manageable,C. smooth,D. lightweight,E. long or short
1123,1123,4,Where can you find someone's number written on paper?,number,A. math book,B. mathematics,C. office,D. lottery,E. phonebook
4772,4772,1,Joe works in an establishment that is filled with stacks of small cardboard boxes with removable lids.  Where does Joe work?,cardboard box,A. back alley,B. shoe store,C. storage area,D. storage,E. warehouse
1623,1623,4,What does a bus station have to be near?,bus station,A. eat cake,B. maps,C. enter bus,D. city centre,E. street
4693,4693,2,Where would you find a public amphitheatre in a city?,amphitheatre,A. greece,B. movie house,C. park,D. italy,E. outside
1260,1260,4,If you're going on vacation on a deserted island what are you hoping to achieve?,going on vacation,A. panic,B. having fun,C. relaxation,D. solitude,E. peace
3910,3910,4,"Sean was an honest person, but his married June, who wasn't honest at all. In fact, who was very what?",honest,A. untruthful,B. liar,C. untrustworthy,D. disloyal,E. deceitful
1250,1250,2,What will happen after answering questions incorrectly?,answering questions,A. children will learn,B. correct,C. embarassment,D. teaching,E. better grade
1756,1756,0,Why might someone decide to having a checkup for followup?,having checkup,A. uncertainty,B. anxiety,C. stress,D. anxious,E. pain
4272,4272,4,What would happen if you are sleeping well?,sleeping,A. sweat,B. nightmares,C. dreams,D. have fun,E. relaxation
1297,1297,4,"Danny was a human.  He needed to catch a flight, but stayed to long in an object made for humans to relax in.  Where might he have been?",human,A. bathroom,B. couch,C. airport,D. homes,E. bed
1004,1004,0,"A student puked in the cafeteria, the janitor retrieved his bucket of sawdust from the what?",bucket,A. utility closet,B. well,C. garden shed,D. pantry,E. cupboard
3108,3108,2,What happens if you eat hamburger that's very big?,eat hamburger,A. hungry,B. choking,C. get full,D. lose weight,E. getting fat
1535,1535,2,Where are you likely to find a corner shop selling hats?,corner shop,A. subway,B. street corner,C. england,D. town,E. minnesota
2761,2761,1,"The door to door salesman asked for the homeowner, but the man didn't what?",homeowner,A. cut grass,B. own home,C. telephone call,D. answer telephone call,E. receive mail
1365,1365,3,Where would you find a lot of beds?,bed,A. bedford,B. rest area,C. neighbor's house,D. hospital,E. loft
2305,2305,4,"Whenever I play chess, the other person seems to anticipate my moves, what can they do?",play chess,A. sneeze,B. winning,C. thinking,D. checking,E. think ahead
3312,3312,1,"Bill sits down on a whoopee cushion, what sound does he make when he sits?",sitting down,A. fall asleep,B. flatulence,C. sigh of relief,D. medium,E. comfort
4027,4027,1,"A detective tries to discover truth, some of the best results are from gathering witnesses and doing what?",discover truth,A. investigate,B. ask questions,C. search for,D. find facts,E. wonder
3349,3349,4,The lizard tried to warm itself by resting where?,lizard,A. porch,B. rocky areas,C. garden,D. shady spot,E. sunny place
1554,1554,1,What is needed when creating art that includes singing?,creating art,A. enlightenment,B. communication,C. voices,D. controversy,E. pride
4881,4881,4,Where are you likely to find more than one parking lot?,parking lot,A. shopping center,B. airport,C. circus,D. town,E. city
2826,2826,1,Where is a city hall building likely to be?,building,A. urban area,B. town,C. rooms,D. area,E. office
1311,1311,3,What happens to a person falling?,falling,A. make person sick,B. pain,C. broken bones,D. going down,E. getting hurt
1757,1757,0,What proof is required to purchase beer?,buying beer,A. i.d,B. coins,C. being over age 21,D. proper age,E. money
724,724,1,Deciding to watch tv or play with your cell phone might be a routine but they provide no help in being able to do what?,watch tv,A. have tv,B. fall asleep,C. learn,D. sitting,E. dancing
3669,3669,1,"She left the states and traveled across the pond, her next art gallery was in what city?",gallery,A. soho,B. london,C. art museum,D. new york city,E. on a mural
1010,1010,0,Who is not likely to have sex?,sex,A. children,B. orgasm,C. pregnancy,D. human,E. herpes
3807,3807,0,"If a person is trying to weasel out of punishment for a crime, where are they likely to be?",weasel,A. court room,B. cherry tree,C. chicken coop,D. natural history museum,E. jail
1550,1550,0,When their litter box is full where might a cat go to the bathroom?,cat,A. houseplant,B. bathtub,C. dumpsters,D. urban neighborhood,E. floor
3848,3848,2,"When not playing your mandolin, where would you store it?",mandolin,A. closet,B. musical instrument store,C. instrument case,D. music shop,E. music store
875,875,3,How often are secular parties held?,secular,A. short term,B. crowd,C. unpredictable,D. frequent,E. eternal
3970,3970,0,Where are leaving in order to go to a spa?,spa,A. house,B. hotel,C. country club,D. health centre,E. backyard
4799,4799,3,What happens at the first opening of a business if it's not succesful?,opening business,A. making money,B. grand opening,C. wealth,D. lose money,E. get rich
3754,3754,4,"The boy was popular, but because of the things he liked he was considered a bit of a what?",popular,A. disliked,B. weirdo,C. nerdy,D. unknown,E. geek
1715,1715,2,Where can I find a constitutional monarchy with a parliamentary democracy and federation?,government,A. church,B. democracy,C. canada,D. country,E. civilization
4819,4819,3,What type of eating do people want to achieve when they eat vegetables?,eat vegetables,A. healthy,B. prepare,C. nutrition,D. clean,E. open mouth
4443,4443,0,Where is pavement usually found?,pavement,A. ground,B. town,C. city block,D. a race track,E. driveway
1688,1688,3,Shopping all day is likely to lead to?,shopping,A. obesity,B. bankruptcy,C. debt,D. tiredness,E. calluses
4686,4686,2,What is a dangerous outdoor activity for children?,children,A. play games,B. wrong house,C. sun themselves,D. watch television,E. set table
848,848,2,Where does someone not happy to take their car?,car,A. down a river,B. city,C. repair shop,D. parking lot,E. neighbor's house
3156,3156,0,What would you experience if a friend robs you after cashing in chips at a casino?,cashing in,A. betrayal,B. resentment,C. depressed,D. leave,E. profit
1133,1133,2,Contemplating a concept can lead to what?,contemplating,A. revelations,B. action,C. understanding,D. discovery,E. wisdom
2355,2355,4,"They were surprised that he enjoy rap, but he explained that every genre has what?",rap,A. classical,B. country music,C. hip hop,D. rock,E. good music
1208,1208,2,"The story was interesting, the character grew to become a baby boy after starting out a what?",baby,A. old person,B. learn to speak,C. old man,D. adult,E. died
557,557,4,"John lives in Texas. If he takes the highway South and doesn't stop, where will he end up next?",highway,A. oklahoma,B. developed land,C. united states,D. desert,E. mexico
411,411,2,Where could you find a bookstore?,bookstore,A. town,B. carpeting,C. city,D. phone book,E. magazines
4806,4806,4,Why was the baby crying?,cry,A. too many moms,B. acting,C. got injured,D. distraught,E. hurt
3496,3496,2,"He needed to sign the papers, he got his good fountain pen from the sliding what?",fountain pen,A. calligrapher's hand,B. shirt pocket,C. desk drawer,D. portfolio,E. blotter
3248,3248,1,Where on the planet would you expect a bald eagle to live?,bald eagle,A. colorado,B. outside,C. protection,D. zoo exhibit,E. world
629,629,3,What preposition do you use if you want to combine two words?,preposition,A. article,B. adjective,C. interjection,D. conjunction,E. pronoun
1139,1139,2,"On a family vacation, where might I visit near the shore to look for crab?",crab,A. cooking pot,B. beach sand,C. tidepools,D. chesapeake bay,E. fish market
891,891,0,What will all the differences equal?,difference,A. sum,B. likeness,C. alike,D. sameness,E. similarity
1671,1671,0,Where would you bring a picnic basket filled with food?,picnic basket,A. country,B. supermarket,C. kitchen,D. deli,E. bringing to picnic
1009,1009,4,Sam didn't expect to see something like that underground.  He used his hand to shade his eyes from what?,shade,A. direct sunlight,B. brightness,C. moon,D. full sunlight,E. bright light
2810,2810,4,James worked at a Kosher Deli in a Jewish  neighborhood in the same city where his grandparents came over from Europe in the 40s. He could see the big green torch from his bedroom.  Where might he live?,kosher deli,A. jerusalem,B. miami,C. food court,D. town,E. new york city
4956,4956,3,To where do apple trees drop their fruit?,apple tree,A. the ground,B. outside,C. park,D. ground,E. uzbekistan
2074,2074,1,"If you ate some turkey, what could happen to you?",eating dinner,A. indigestion,B. sleepiness,C. thanksgiving,D. throwing up,E. heartburn
4259,4259,2,What do people call it when they are going for run?,going for run,A. trip,B. running in,C. working out,D. get tired,E. falling down
3768,3768,4,Johnny was looking for cookies that his mom had hid from him.  Where might he look for them?,cookie,A. dessert,B. evercookie,C. evercookie,D. store,E. jar
3997,3997,1,What is covered in plants?,plants,A. greenhouse,B. surface of earth,C. television,D. windowsill,E. garden
1135,1135,0,"The realtor had a hard time selling the houses, he always had to explain that the former tenant used to shoot what in them?",houses,A. pornography,B. park,C. very large,D. foundation,E. walls
1858,1858,0,Why would someone want to be eating?,eating,A. satisfaction,B. dyspepsia,C. indigestion,D. to gloat,E. gaining weight
3671,3671,1,Where might you find a large clock outside?,clock,A. forest,B. office building,C. desk,D. house,E. shelf
3587,3587,3,"James goes to church regularly.  He needs to move, but wants to move to a place with a church.  Where, in America, might one expect to find a church?",church,A. christian community,B. city,C. wedding,D. every town,E. preast
3819,3819,3,How might praying make someone feel as they wait for an outcome?,praying,A. relief,B. meditation,C. confusing god,D. being comforted,E. contemplation
4410,4410,1,Why would someone stop having food?,having food,A. getting fat,B. being full,C. weight gain,D. hungry,E. eating food
3075,3075,0,Where would you put a drink if you do not plan to use it soon?,drink,A. cabinet,B. camelback,C. cup,D. backpack,E. can
899,899,3,"The robot shockingly began to read book after book, it had apparently done what?",read book,A. choose one,B. get comfortable,C. bought a book,D. learn to read,E. open up
3664,3664,3,"Sarah didn't think of her condition as a disability. She could still do the work, though it robbed her of what?",disability,A. qualification,B. competency,C. money,D. potence,E. strength
2599,2599,4,How do birds leave the nest?,birds,A. sing songs,B. lay eggs,C. falling down,D. reproduce,E. spread wings
451,451,2,Where are you likely to find a paper program?,program,A. theater,B. computer,C. opera,D. television,E. concert
760,760,4,How can a person end up stopping standing in  puddle?,stopping standing in,A. move away from,B. laying in,C. sweating,D. movement,E. walking out of
1200,1200,1,Where in your shirt can you keep your plane ticket?,plane ticket,A. terrorists hands,B. pocket,C. airport,D. back pocket,E. briefcase
1007,1007,4,Math competitions are for those who enjoy the subject or find it what?,math,A. difficult for students,B. fun,C. class,D. class,E. interesting
2657,2657,0,"Buying a house was his lifelong dream, but the lazy man did not enjoy having to maintain a what?",house,A. yard,B. rooms,C. basement,D. kitchen,E. door knobs
1619,1619,0,Where is a good place to find a plate in the home?,plate,A. cabinet,B. table,C. dishwasher,D. fridge,E. restaurant
4097,4097,1,Cats are laying by the refrigerator why do they do that?,cats,A. lie down,B. like heat,C. eating fish,D. drink water,E. come to dinner
4683,4683,4,"I want to purchase both frozen food and party supplies in one stop, where would I go?",frozen foods,A. grocery store,B. refrigerator,C. freezer,D. fridge,E. supermarket
4605,4605,3,"Dinner was finished and the dishes cleared, the bust boy then wiped all the crumbs off the what?",crumbs,A. box of crackers,B. face,C. rug,D. table,E. floor
2336,2336,3,Where could you find a tennis game?,tennis game,A. field with tennis court,B. match,C. progress,D. park,E. highschool
2698,2698,3,"He used hair styling gel, he kept it where?",gel,A. tube,B. outside,C. store,D. bathroom,E. refrigerator
2267,2267,0,When a farmer is gaining more land what is the expected positive consequence?,gaining more land,A. making more money,B. disputes,C. more work,D. more responsibility,E. higher taxes
619,619,4,"The sun was out and the temperature changing rapidly, it was really beginning to what?",temperature,A. drop to zero,B. increase,C. cool down,D. dropping quickly,E. heat up
21,21,1,Which entrance would you use if you do not want to use the back entrance?,back,A. side,B. main,C. anterior,D. current,E. front
3124,3124,0,"The loquacious man needed to listen, what should he do?",listen,A. stop talking,B. pay attention,C. able to hear,D. shut up,E. concentrate
2607,2607,4,Where can you find bald eagles and cheese in the midwest?,bald eagle,A. colorado,B. currency,C. iowa,D. arctic,E. wisconsin
4425,4425,0,What were people's thoughts on the bad words being said in church?,words,A. hurtful,B. laugh,C. mean things,D. hurt people,E. mean many things
1664,1664,4,Sean put his groceries away and then went to his room to use his computer.  Where would he have put the teabags?,tea,A. mug,B. refrigerator,C. teapot,D. internet cafe,E. cupboard
2503,2503,3,How would you show someone that you are agreeing with them without getting close or speaking?,agreeing with,A. standing with them,B. handshake,C. nod and smile,D. nodding,E. shaking hand
1546,1546,3,Where do kids in elementary school keep grapes?,grape,A. kitchen,B. wine country,C. fridge,D. lunch box,E. food store
3646,3646,0,"The man was happy to be seeing his idea become a reality, and knew his father would be proud, what did he feel in himself?",seeing idea become reality,A. fulfilling,B. pain,C. excitement,D. inspiration,E. manual
743,743,3,"If something is obtuse, what couldn't it be?",obtuse,A. bright,B. pointed,C. correct,D. acute angled,E. clear
572,572,2,"Parents often yell in times of chaos, what are they trying to do?",parents,A. guide children,B. understand children,C. control children,D. care for children,E. vent anger
4351,4351,0,"When frozen it showed solidity, but as it thawed and melted it showed what?",solidity,A. fluidity,B. hollowness,C. openness,D. weakness,E. instability
631,631,2,"Some might say that if you want to do something that results in changing society then you need to start from within, to do this what would you be doing?",changing society,A. riots,B. vote,C. change yourself,D. social activism,E. change clothes
1806,1806,1,James was cooling off in the pool on a hot summer day.  Why might have he been doing that?,cooling off,A. sweating,B. relaxation,C. revenge,D. shivering,E. loss of heat
3270,3270,4,James was hit on the head and suffered a concussion.  He found himself losing consciousness at annoying times.  He also suffered from something else.  What was it?,losing consciousness,A. coma,B. falling down,C. pain,D. death,E. forgetfulness
1134,1134,3,What does playing guitar cause a person to do?,playing guitar,A. singing,B. listening to music,C. arthritis,D. making music,E. write a song
3958,3958,4,"When doing housework, what would be most useful to clean the patio?",doing housework,A. mop,B. mobility,C. vacuuming,D. toothbrush,E. broom
2529,2529,3,"As he was looking sharp, how did his wife speak to him when she saw him in his new clothes?",sharp,A. inaccurate,B. inelegant,C. loudly,D. complimentary,E. dull
2480,2480,1,"The lady was eating less sweets and snacks, this did what to her weight?",eating,A. defecating,B. reduced,C. will be fatty,D. becoming full,E. gaining weight
3166,3166,1,Where can you find a single musician that an audience is listening to?,musician,A. studio,B. stage,C. band,D. symphony,E. orchestra
4095,4095,3,If union workers go off strike it means management did what?,go off strike,A. company closed,B. more money,C. complaints had been addressed,D. demands were met,E. get back to work
3283,3283,4,"James wanted to build a new concert hall, but his land wasn't zoned for what?",concert hall,A. theater,B. orchestras,C. city,D. university building,E. commercial building
2334,2334,1,"James and Ruth were getting a divorce.  It was amicable, but it wasn't happy.  There was a lot of what emotion?",getting divorce,A. bitterness,B. sadness,C. depression,D. pain,E. anguish
3333,3333,0,What is not always found in a large volume?,volume,A. collection of books,B. set of books,C. library,D. set of encylopedia,E. costco
2045,2045,2,what color are rose flowers typically?,flowers,A. vase,B. pink,C. red,D. blue,E. fragrant
1226,1226,0,Where would the steakhouse include a view of a Great Lake?,steakhouse,A. michigan,B. florida,C. kansas city,D. maine,E. georgia
370,370,0,"The detective had to analyse all the clues, every little thing at the scene he had to what?",analyse,A. look at,B. write down,C. learn new,D. think about,E. discovery of new
3522,3522,0,What could happen to a car when you press one of its pedals?,car,A. gain speed,B. go forward,C. rush away,D. go fast,E. suffer damage
4901,4901,1,"The housemate was suffering boredom with what the others were doing, he just decided to do what early?",boredom,A. read book,B. sleep,C. travel,D. play games,E. go work
4750,4750,3,Where would someone keep a grandfather clock?,clock,A. desk,B. exhibition hall,C. own bedroom,D. house,E. office building
1822,1822,3,What could have a hot handle?,handle,A. carrying things,B. coffee cup,C. iron,D. frying pan,E. briefcase
4523,4523,4,"A sedentary lifestyle of always sitting down is nearly as unhealthy as a bad diet, but still people sit on the couch all day and what?",sitting down,A. talk,B. relaxing,C. pee,D. gardening,E. watch tv
4900,4900,4,John he dreaming that he's falling.  What could happen when he hits the ground in his dream?,dreaming,A. sleepwalking,B. die a terrible death,C. confusion,D. fear,E. might awaken
2635,2635,0,"The teacher got frustrated at the wrong answer, he told the thick headed student ""if you just listen..."" what?",listen,A. you'll learn,B. hear things,C. win the lottery,D. stop speaking,E. concentrate on sounds
862,862,0,"In war, your primary method is combat, but your goal is to do what?",war,A. conquer opponent,B. fight enemy,C. join army,D. kill,E. terrible
2569,2569,1,"The dilemma was simple, the chicken or the what?",chicken,A. beef,B. egg,C. being brave,D. bought at store,E. eaten
4436,4436,2,Billy was doing his homework at the last minute but he could barely think straight.   What might he have been suffering from?,doing housework,A. sneezing,B. cleanliness,C. exhaustion,D. seizure,E. allergies
3607,3607,4,What can happen to water at different temperatures?,water,A. melts,B. wet clothes,C. move mountains,D. thin blood,E. take several forms
3494,3494,1,"Where could you see a landmark surrounded by many miles of plants, other than in a park?",landmark,A. national park,B. countryside,C. desert,D. map,E. city
3417,3417,2,What in the building is very far from the ground floor?,ground,A. basement,B. air,C. ceiling,D. water,E. sky
4388,4388,1,What are you doing when you're climbing a mountain?,climbing,A. falling down,B. getting higher,C. vertigo,D. elevation,E. accomplishment
3040,3040,1,What happens when you play games?,play games,A. bored,B. have fun,C. win,D. challenge,E. bored
3405,3405,4,"You could call it jackson for short, but you'd be leaving out a hole when talking about a place where?",jackson,A. lousiana,B. tennessee,C. jack,D. mississippi,E. wyoming
