,Unnamed: 0,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
486,486,3,Sarah opened his chest and found a second heart.  Her patient might not be what?,chest,A. istanbul,B. animal,C. antique shop,D. human being,E. bedroom
2413,2413,1,Noise takes the form of static in a radio what?,noise,A. classroom,B. transmission,C. movie theatre,D. car,E. bowling alley
3244,3244,0,Why would you be doing housework?,doing housework,A. cleanliness,B. allergies,C. joy,D. exhaustion,E. boredom
4122,4122,4,Where can a person buy a snake?,snake,A. tropical forest,B. walmart,C. north america,D. feild,E. pet shops
4635,4635,0,"If you have a ticket and you are planning to eat popcorn, where would you go?",ticket,A. movie,B. train station,C. argument online,D. baseball stadium,E. person's hand
1306,1306,0,Where do you send mail over a counter?,counter,A. post office,B. candy store,C. butcher shop,D. animals,E. kitchen
3006,3006,0,"As in part of string theory, what particle makes up hadrons?",string,A. quark,B. guitar,C. bird's nest,D. kite,E. beads
2699,2699,3,Where do you buy a chess board?,chess board,A. house,B. retirement community,C. cabinet,D. toy store,E. restaurant
1964,1964,1,What place has many coasts and is a place where you could find a sloth?,sloth,A. commercial,B. costa rica,C. dictionary,D. civil service,E. paraguay
4576,4576,3,What is a body of water similar to a stream is called?,water,A. synagogue,B. pastry,C. ocean,D. brook,E. cup of coffee
2121,2121,3,"If you're a small dog owned by your father's mother, where would you live?",small dog,A. the enterprise,B. baby carriage,C. basket,D. grandma's house,E. barbeque
3758,3758,1,Where does the toilet fly outside the atmosphere and glides to a landing?,toilet,A. apartment,B. space shuttle,C. restaurant,D. jungle gym,E. stadium
3306,3306,4,Where would one catch a connection flight?,connection,A. wires,B. freeway,C. electrical circuit,D. wall,E. airport
857,857,2,What would you use if you wanted to make some columns of numbers?,column,A. roman architecture,B. whitehouse,C. spreadsheet,D. bridge,E. pantheon
1220,1220,0,What would a bee like as a gift?,bee,A. bouquet of flowers,B. trash can,C. pizza,D. sky,E. united states
241,241,3,"The man was cleaning clothes for his date, what was he looking to achieve?",cleaning clothes,A. ruined,B. clean clothes,C. sadness,D. attractive appearance,E. look better
1204,1204,3,In a company a chief oversees what people?,chief,A. aquarium,B. peon,C. indian,D. employee,E. follower
2841,2841,3,As everybody at the table began to twirl noodles she mentioned that wine was he secret ingredient in the what?,wine,A. liquor store,B. church,C. museum,D. spaghetti sauce,E. art show
449,449,0,A balloon or two is a staple at a what?,balloon,A. birthday party,B. child's hand,C. grocery store,D. sky,E. up in the
1411,1411,0,"He was a bit of an audiophile, he replaced the stylus almost as often as he switched albums to listen to on his what?",stylus,A. record player,B. palm pilot,C. hand,D. ink,E. fridge
2073,2073,0,James is an anthropologist.  He believes that creating art was one of the earliest forms of what?,creating art,A. communication,B. relax,C. penguins,D. pride,E. pleasure
2941,2941,4,As the fox ran into the forest it disappeared into the what?,fox,A. nantucket,B. barn,C. northern hemisphere,D. hen house,E. undergrowth
4960,4960,4,Where would you put a tote bag while you are getting some food?,tote bag,A. between two legs,B. house,C. store called target,D. school,E. shopping cart
1976,1976,2,"The farmer knew the potatoes wouldn't grow in the city, so where did he look for a plot?",potatoes,A. restaurant,B. julienne,C. countryside,D. plate,E. fried
3703,3703,0,"The conductor ordered the gong to sound, who was the gong player playing with?",gong,A. orchestra,B. tibet,C. music store,D. chinatown,E. band
2033,2033,1,What would someone tell a person they possessed if they sing well?,sing,A. annoy people around,B. had good voice,C. nice sound,D. enjoy,E. practice
436,436,0,"A person takes a seat to watch a movie, where is he?",seat,A. in cinema,B. at the park,C. martorell,D. jeep,E. airplane
570,570,3,"James is very interested in other planets.  He loved the idea of going to mars, and reads books about it all the time.   He dreams of being on what?",human,A. love,B. zoo,C. school,D. space shuttle,E. library
4539,4539,3,Where is a good place to buy a fishing rod?,rod,A. catch fish,B. fishing camp,C. dolphins,D. sporting goods store,E. engine
2070,2070,2,"A bald eagle flies over St. Paul, where is it?",bald eagle,A. texas,B. thermal,C. minnesota,D. canada,E. photograph
2505,2505,3,Where can you buy lettuce directly from the grower?,lettuce,A. supermarket,B. grocery store,C. salad,D. farmer's market,E. refrigerator
2145,2145,3,"Family is always the best for devotion, but it is also nice if a person has what?",person,A. good review,B. headache,C. with cat,D. loyal friends,E. shoes
3147,3147,1,"If the weather means you what, so do your animals?",animals,A. travel,B. get cold,C. feel pain,D. move,E. electrical circuit
4987,4987,2,What does a birthday do to someone?,person,A. regret,B. indoor plumbing,C. feel special,D. own house,E. electricity
2008,2008,3,"The dog was wild and didn't listen to its owner, the person had never given it what?",dog,A. a treat,B. guard house,C. fleas,D. punishment,E. abandoned
740,740,2,"If a person wants to buy a radio, where are they likely to go?",radio,A. station,B. every car and house,C. shop,D. bedroom,E. space shuttle
904,904,4,Where can you buy a binder?,binder,A. college dorm,B. back pack,C. class room,D. backpack,E. office supply store
2083,2083,0,"There is a cave near the capital of Charleston, where is the cave at?",cave,A. west virginia,B. rocky hills,C. kentucky,D. in a sea,E. desert
2937,2937,0,"The small dog had died and, the family treasured him a lot, where did they decide to place it?",small dog,A. coffin,B. denmark,C. bucket,D. basket,E. new hampshire
976,976,0,What past time are people engaged in when they are traveling along liquid?,people,A. sail boats,B. question authority,C. high fives,D. share things,E. learn from each other
3254,3254,0,Where might a student store a pencil when traveling,pencil,A. backpack,B. desktop,C. classroom,D. desk drawer,E. pocket
906,906,4,Where would you find isopropol alcohol and safety glasses?,alcohol,A. pub,B. restaurants,C. in a park,D. supermarket,E. chemistry lab
3418,3418,2,"If you saw a fish break the surface of the water and flap its fins in the air, you might think it is doing what?",fish,A. school together,B. pets,C. attempt to fly,D. find food,E. hatred
473,473,0,Where do people find bills with bread?,bill,A. restaurant,B. congress,C. envelope,D. mail box,E. cheese store
1073,1073,1,How does a person go to space?,person,A. building,B. space shuttle,C. car,D. fairy tale,E. street corner
4780,4780,1,"The patient was recovering well but still had a long recovery ahead, while chatting with friends he explained all the what?",chatting with friends,A. laughter,B. discomfort,C. glee,D. fun,E. inspiration
705,705,3,"Stopping being married to one another was a costly task, the lawyers and their what were astronomical?",stopping being married to,A. free time,B. pleasure,C. get divorced,D. legal fees,E. being lonely
3271,3271,0,Where will you find billions of grains of sand?,grain of sand,A. beach,B. eye,C. clam,D. dessert,E. bathing suit
3854,3854,1,"A quarter of it was twenty five pounds, so the whole was what?",quarter,A. school year,B. hundredweight,C. upper,D. century,E. hour
4211,4211,2,The fugu blowfish is found in what environment?,blowfish,A. atlantic ocean,B. fish market,C. sea of japan,D. water,E. rock band
2544,2544,4,"Ficus are in the family Moraceae, and is part of what much broader spectrum?",ficus,A. science class,B. garden,C. flowerpot,D. arboretum,E. plant kingdom
3584,3584,2,"She was pretending to be happy for others, she would always what?",pretending,A. religion,B. forget,C. smile,D. play,E. eat
2397,2397,0,What must someone purchase if they plan on going to a play?,going to play,A. tickets,B. having ticket,C. patience,D. time,E. a hat
4473,4473,2,"He drank coffee every morning on his commute, he said it gave him energy for what?",energy,A. play sports,B. obesity,C. work,D. wrestle,E. fatigue
2541,2541,4,Where is a marmot known to live?,marmot,A. yellow pages,B. jungle,C. woods,D. hiding place,E. high mountains
2595,2595,1,where do you buy a piano?,piano,A. music school,B. music store,C. concert hall,D. neighbor's house,E. symphony orchestra drawing room
4386,4386,3,"The support team landed in the disaster zone, they hoped to provide what?",support,A. family,B. let down,C. marriage,D. aid,E. neglect
133,133,3,"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?",apple tree,A. park,B. coloring book,C. garden center,D. math problem,E. gravity
4947,4947,0,"The sloth was very muscular, but he couldn't compete in the contest because it had a humans only rule.  What contest was the sloth trying to enter?",sloth,A. universe,B. dictionary,C. global,D. commercial,E. countryside
2790,2790,3,"Where could a human get an outfit, makeup, and eat lunch all at the same place?",human,A. good mood,B. greek tragedy,C. workplace,D. shopping mall,E. homes
3723,3723,3,Where in a house might someone ring a bell?,bell,A. church,B. school,C. mailbox,D. front door,E. reindeer coller
1293,1293,0,If someone were to gain a lot of fat their doctor will likely tell them to do what?,gain,A. lose weight,B. loosing,C. loosing,D. loss,E. reduce
1884,1884,2,Where can you learn about the anatomy of a blowfish in print?,blowfish,A. cuba,B. fish market,C. books,D. france,E. canada
1591,1591,2,What does a person do in a garden?,person,A. work,B. catch cold,C. plant flowers,D. gain respect,E. fish lake
4726,4726,3,Knitting can cause what kind of illness in the hand?,knitting,A. your,B. have fun,C. shredded hands,D. arthritis,E. relaxation
82,82,2,When you play around with your dog they will have?,dog,A. alive,B. health,C. fun,D. playing dead,E. black
4350,4350,0,What does killing people induce in a normal person?,killing people,A. feelings of guilt,B. prison sentence,C. going to jail,D. jailed,E. getting time
803,803,3,"They don't get grades or sit at desks, but crowds of fish do what?",fish,A. pets,B. fills the pond,C. attempt to fly,D. school together,E. breath in water
3585,3585,2,Where can you work on needlepoint near the entrance of you home?,needlepoint,A. sewing,B. frame,C. livingroom,D. sewing,E. artscraft store
1679,1679,1,"The previous hotel was bad, so what did the pleased visitor think of the hotel?",bad,A. badarse,B. adequate,C. propitious,D. first rate,E. manual
3446,3446,2,Where do people gather to see large men in pads play a game where they run and smash in to each other?,people,A. surface of earth,B. car show,C. football stadium,D. gym,E. opera
1868,1868,1,"They were going to play at the theater, part way through there was a what?",going to play,A. spending money,B. intermission,C. being entertained,D. sleepiness,E. man of la mancha
4342,4342,2,"The man immediately recognized his picture opposite the crossword section, what was he reading?",picture,A. table,B. art show,C. newspaper,D. desktop,E. biology book
733,733,3,"He was selling all his collector items even the rare plate, he had bought a lot at the what for the weekend?",plate,A. supermarket,B. kitchen cupboard,C. table,D. flea market,E. dishwasher
1513,1513,2,"The sloth of a man was convicted of the crime caused by his apathy, he would spend at least a hundred hours finally doing a what?",sloth,A. commercial,B. three toed,C. civil service,D. paraguay,E. costa rica
2450,2450,0,"James is a normal person, but sometimes he's under the weather.  Normal people feel what sometimes?",normal,A. ill,B. tangential,C. reverse,D. uncommon,E. unconventional
2768,2768,2,"There are many wage gaps being discussed, the most important of which is between the rich and what?",rich,A. plain,B. sleepy,C. poor,D. idle,E. needy
4006,4006,1,"The showroom had  variety of automobiles, where was this showroom located?",showroom,A. city,B. car dealership,C. bathroom,D. appliance store,E. vegas
3203,3203,2,He feels like just a cog in a machine or just a number in a cubicle when he is working where?,number,A. planner,B. math book,C. office,D. mathematics,E. phonebook
2106,2106,0,In a religious sense where would a lemur be found?,lemur,A. heaven,B. cage,C. russia,D. field,E. tree
2283,2283,4,People put sugar in what black beverage?,sugar,A. neighbor's house,B. every home,C. container,D. cupboard,E. coffee
1199,1199,3,They pulled off to the shoulder of the winding mountain what?,shoulder,A. torso,B. garment,C. cello,D. road,E. body
3786,3786,4,You can read about new bullet varieties in a what for weapons enthusiasts?,bullet,A. bible,B. casing,C. gun shop,D. box,E. magazine
795,795,3,What might a satisfied person do?,person,A. board ship,B. grocery shop,C. cross street,D. feel happy,E. shout at
4776,4776,4,What would call playing fetch with a small dog?,small dog,A. sun,B. chase,C. dog show,D. fair,E. game
3945,3945,3,If you tend to fiddle with your shoes they are likely what?,fiddle,A. you're bored,B. stolen from the store,C. like music,D. uncomfortable,E. were bored
327,327,2,"People want to explore space, so what should they use to do it?",people,A. public place,B. roadblock,C. space shuttle,D. hoverboard,E. supermarket
4026,4026,2,"If you wanted to grow an apple tree, you'd probably start where?",apple tree,A. washington state,B. math problem,C. garden center,D. coloring book,E. at the core
46,46,2,"A fox was thirsty searching for water during the drought, where was he?",fox,A. painting,B. hen house,C. california,D. virginia,E. movie hall
737,737,2,Food must be freeze dried before it is taken on what vehicle?,food,A. fairgrounds,B. friend's house,C. space shuttle,D. oven,E. microwave
313,313,0,Where is a paper notice likely to be left on a house?,paper,A. front door,B. conference,C. classroom,D. refrigerator,E. suitcase
1494,1494,0,What professional space is likely to have an air conditioner?,air conditioner,A. office building,B. texas,C. house,D. humid,E. warm climates
291,291,4,Where is a note likely to indicate a melody?,note,A. fridge,B. a classroom,C. envelope,D. medical chart,E. sheet music
1471,1471,4,What are you likely to see on Independence Day?,explosive,A. groundhog,B. construction site,C. landmine,D. army,E. fireworks display
2848,2848,0,"Billy was cogitating the situation, but soon he would have to come to what?",cogitating,A. decision,B. enlightenment,C. new thoughts,D. headaches,E. annurism
4250,4250,3,What is the responsibility of many an adult?,adult,A. drink beer,B. drive train,C. sweeping the floor,D. work,E. marry
268,268,1,John just made first violin.  This is  is a position on what?,first violin,A. violin case,B. symphony orchestra,C. class,D. learning to play violin,E. music store
148,148,4,If you tell you boss your suffering from boredom they'll likely tell you to get back to what?,boredom,A. dream,B. fiddle,C. watch film,D. see new,E. work
4060,4060,4,What type of location would you find fish for sale?,fish,A. refrigerator,B. ocean,C. pay debts,D. stream,E. market
1657,1657,3,"The carpet needed to be calm and and productive, where was it being installed?",carpet,A. building,B. floor,C. bowling alley,D. office,E. church
1391,1391,2,What does a person want to get at a restaurant?,person,A. self esteem,B. compliments,C. delicious food,D. easy life,E. fulfillment
2868,2868,0,"The news held a forum on who people would choose, they had a group that was what?",choose,A. undecided,B. reject,C. predetermination,D. force,E. blank
2583,2583,4,You can use a notepad to keep track of agenda items during a what?,notepad,A. holdup,B. back pocket,C. drug store,D. school,E. meeting
2647,2647,0,Where can you borrow magazines?,magazines,A. library,B. bookstore,C. friends,D. table,E. doctor
1544,1544,4,The work was pure math.  It couldn't be what to practical applications?,pure,A. contaminated,B. dirty,C. smoothed,D. corrupt,E. applied
1763,1763,3,Sarah had trouble beginning work.  She was not doing what?,beginning work,A. computer,B. momentum,C. panic,D. accomplishing,E. excitement
1355,1355,4,Where is the sky fake?,sky,A. shed,B. atmosphere,C. photo,D. outdoors,E. planetarium
944,944,4,What is a place that someone can go buy a teddy bear?,teddy bear,A. thrift store,B. bed,C. shelf,D. home,E. toy store
360,360,4,"Whether it's popped, grilled, or canned people like to what?",people,A. expect to die,B. believe in god,C. stay in,D. watch movies,E. eat corn
2753,2753,4,"The baby came unexpectedly, what did it do?",baby,A. died,B. boy or girl,C. learn to walk,D. talk nonsense,E. arrive early
4249,4249,2,Where would you buy wearable gold?,gold,A. church,B. treasure chest,C. jewelry store,D. zoo,E. fort knox
1185,1185,1,In what region is a centavo uses?,centavo,A. colon,B. austral,C. cordoba,D. indian,E. mexican peso
2071,2071,4,Someone with a disability caused by a stroke looses what in the left side?,disability,A. competence,B. obesity,C. qualification,D. potential,E. strength
3468,3468,3,"Rita liked the taste anemone, so she got one from what kind of place?",anemone,A. flower pot,B. neighbor's house,C. tide pool,D. seafood restaurant,E. flower shop
2912,2912,0,"Helium, magnesium, and sulfur are likely to be found where in a school?",helium,A. chemistry lab,B. atmosphere,C. air,D. supply closet,E. laboratory
682,682,0,What part of the body are lips on?,lip,A. mouth,B. jars and all faces,C. kentucky fried chicken,D. hand,E. human
503,503,2,Where is a system of electronic devices likely to be used in school?,system,A. nature,B. toilet,C. computer science,D. computer store,E. human body
3707,3707,4,What happens to a person on stairs after getting drunk?,getting drunk,A. death,B. lower standards,C. trip,D. violence,E. falling down
501,501,2,"The movie had many a song and dance, it was a what?",song,A. bollywood,B. record,C. musical,D. jukebox,E. napster
3035,3035,4,Where can you see people enjoying antique transportation?,people,A. synagogue,B. montana,C. carnival,D. supermarket,E. car show
4646,4646,0,Where are you likely to see stars out the window?,window,A. space shuttle,B. building,C. on the lawn,D. friend's house,E. wall
3309,3309,0,"If a person has one of every kind of a thing, what do they have?",person,A. complete collection,B. have to hold,C. hobby,D. procrastinate,E. acknowledgment
4199,4199,2,Reaching tentative agreement is the first result when two side make what to come closer together?,reaching tentative agreement,A. uncertainty,B. hug,C. compromises,D. fucking,E. calmness
3237,3237,0,If someone rents a room where would the passageway to it be located?,passageway,A. hotel,B. cave,C. jungle,D. maze,E. freeway
2115,2115,2,What country in North American can grow beans for a cup of coffee?,cup of coffee,A. desk,B. office,C. mexico,D. coffee shop,E. kitchen office
3940,3940,0,"The child remarked that despite the name the famous bridge was red, this site was just one of the many highlights of the family vacation where?",bridge,A. california,B. river valley,C. over water,D. dentist,E. neverland
2046,2046,3,After a long day of teaching and an afternoon of grading homework the teacher was hungry so she began to what?,teacher,A. evaluate progress,B. include examples,C. time test,D. prepare dinner,E. eat children
4036,4036,0,The stabbing to death of a person is likely to create what on the ground?,stabbing to death,A. pool of blood,B. being arrested,C. garden,D. imprisonment,E. gruesome
2216,2216,2,Many examples of the stone arch have found that date back to what civilization?,arch,A. foot,B. cathedral,C. ancient rome,D. building,E. my bathroom
2180,2180,3,What type of dwelling would a small dog like to live in?,small dog,A. bathroom,B. animal shelter,C. georgia,D. big house,E. basket
3099,3099,4,Where would you use a computer while gaining knowledge?,computer,A. apartment,B. house,C. table,D. house,E. school
4268,4268,3,"When I go to Spain, what should I try to practice first?",person,A. stand upright,B. courtesy,C. further education,D. speak spanish,E. cross street
4469,4469,4,"Mice live many places, but what is their native habitat?",mice,A. attic,B. laboratory,C. loft,D. town,E. countryside
3015,3015,3,Where would you find people who work with a round brush?,round brush,A. art supplies,B. ladies bathroom,C. shower,D. hair salon,E. make person sick
2934,2934,1,The toilet were somewhat built into the suits of the zero gravity travelers on the what?,toilet,A. aircraft,B. space shuttle,C. stadium,D. restaurant,E. bathroom
1267,1267,4,What does a couple do at the end of the sleighing ride?,sleighing ride,A. decline,B. going down hill,C. nausea,D. death,E. kissing
1020,1020,0,What can an apple tree make?,apple tree,A. flowers,B. ohio,C. inuit,D. fields,E. canada
4642,4642,0,Where would a human make a public call be made?,human,A. phone booth,B. clothing store,C. workplace,D. swimming pool,E. phone mount
3670,3670,0,Where could a star be walking?,star,A. press conference,B. globular cluster,C. on the milky way,D. heavens,E. night sky
2839,2839,1,"If someone was in much pain they may need medicine, they would probably go where?",medicine,A. pharmacy or medicine cabinet,B. hospital,C. bathroom,D. jar,E. mug
3879,3879,2,"There is a hard substance that must take on different forms, what are these forms?",ice,A. ice cream ,B. chipped,C. formed into cubes,D. antarctica,E. found in artic
3077,3077,0,"A monkey is out in the wild, where are they likely to be?",monkey,A. tropical areas,B. school,C. research laboratory,D. pet store,E. story book
3033,3033,2,Ballet dancing is a form of artistic what?,dancing,A. swan lake,B. intercourse,C. expression,D. become tired,E. fatigue
718,718,3,Utensils are used during what evening activity?,utensils,A. backpack,B. closet,C. drawer,D. dinner,E. cupboard
3020,3020,4,"The detective had a lot of corporeal evidence to sort through, unfortunately the bulk of it would prove to be what?",corporeal,A. intangible,B. spiritual,C. transparent,D. ethereal,E. insubstantial
4107,4107,3,"The child asked what a mammoth was, so his grandpa got a volume of the what out to show the child?",mammoth,A. ancient times,B. excavations,C. south dakota,D. encyclopedia,E. backyard
2382,2382,1,Where would you buy an icebox built a hundred years ago?,icebox,A. kitchen,B. antique store,C. junk yard,D. walmart,E. homes
4735,4735,3,Where can a person use pencils to keep score?,pencils,A. restaurant,B. cabinet,C. backpack,D. bowling alley,E. classroom
2778,2778,2,"He decided to plant tomatoes in a row, where would this row be?",row,A. auditorium,B. toothrow,C. vegetable garden,D. the porch,E. farmer's field
2313,2313,4,What writing device uses an electric motor and has a keyboard?,electric motor,A. electric fan,B. drum sander,C. electric refrigerator,D. electric locomotive,E. electric typewriter
4343,4343,0,What could a ticket be used to watch?,ticket,A. movie,B. baseball stadium,C. person's hand,D. train station,E. shoe
2378,2378,3,What is a heat source that can be obtained for free?,heat source,A. bedroom,B. fire,C. car,D. solar energy,E. gasoline
4517,4517,3,"Dogs are active pets, especially on hot days it's important to keep their bowl full because they what?",dogs,A. do many things,B. trained,C. withstand dehydration,D. require water,E. get lost
428,428,0,What are you hoping to do when listening to an expert speak?,listening,A. learning,B. fatigue,C. mercy,D. empathy,E. anxiety
1760,1760,3,What can a vehicle do to groceries?,vehicle,A. eat,B. feel impact of accident,C. slow down,D. carry,E. travel
22,22,3,You can share files with someone if you have a connection to a what?,connection,A. freeway,B. radio,C. wires,D. computer network,E. electrical circuit
4734,4734,3,Where is one likely to find a wild fox?,fox,A. hen house,B. painting,C. chicken coop,D. wooded areas,E. electrical circuit
1247,1247,2,"The person was bad, but everything he said was what?",bad,A. just,B. sufficient,C. true,D. badarse,E. prime
218,218,2,Where would you sit in a chair to watch four-legged animals complete?,chairs,A. bookstore,B. house,C. race track,D. friend's house,E. building
3192,3192,3,What's black and white and contains many a story?,story,A. past,B. book or magazine,C. novel,D. newspaper,E. story book
4759,4759,1,If a person can only eat certain things their diet is said to be what?,person,A. schizophrenia,B. restricted,C. headache,D. have no home,E. shameful
1038,1038,3,What does one watch garbage reality shows on?,garbage,A. trashcan,B. floor,C. toronto,D. television,E. microwave
4005,4005,3,"When one sees an apple tree, where does one tend to be?",apple tree,A. canada,B. spring,C. active,D. outside,E. washington state
4820,4820,3,"He had a hard time getting his father's attention, he hoped that the winning baseball game would finally get him some what?",winning baseball game,A. confirmation,B. celebrating,C. pride,D. recognition,E. happiness
457,457,0,"The color yellow is associated with the opposite of the characteristic, what is it?",yellow,A. fearless,B. english carrier,C. courageous,D. brave,E. achromatic
1523,1523,4,Zeus was one of many men that were this in mythology?,men,A. boys,B. females,C. feminist,D. lady,E. gods
652,652,2,What sport is the audience the loudest at?,audience,A. show,B. theatre,C. hockey game,D. movies,E. event
1504,1504,1,Where might people gather while they are waiting for a ride across town?,people,A. wedding,B. bus stop,C. convention,D. pool,E. apartment
841,841,2,What animal produces milk?,milk,A. supermarket,B. pig,C. cow,D. refrigerator,E. store
1377,1377,1,"The always greeted each other with a kiss, it was a simple way to do what?",kiss,A. manipulate,B. show affection,C. companion,D. seperate,E. electrical circuit
2457,2457,3,"If the captain of a crew was going to an arena, what type of crew would he be in?",captain,A. battleship,B. airplane cabin,C. military,D. basketball team,E. solider
4678,4678,3,The jellyfish was pushed along by the water.  It was caught in what?,jellyfish,A. store,B. book,C. park,D. current,E. lake
2130,2130,2,James sat in a chair and listened to the speaker.  Where might James be?,chair,A. synagogue,B. grocery store,C. auditorium,D. confession,E. office
837,837,1,Where can you find pamphlets regarding diseases and ailments?,pamphlets,A. theaters,B. health department,C. library,D. drawer,E. mail box
769,769,0,Where can you buy a hairbrush along with bandages?,hairbrush,A. drugstore,B. hospital,C. bedroom,D. car,E. house
4919,4919,4,"People enjoy many things, using television is the most common way people are what?",using television,A. eye strain,B. visual,C. laziness,D. distracted,E. entertained
3464,3464,3,"It was my turn to stand watch, so where did I go for my shift?",watch,A. department store,B. bathroom cabinet,C. bedroom drawer,D. guard tower,E. jewellers
1447,1447,1,Where is a flute likely to be in a pit?,flute,A. party,B. orchestra,C. musical instrument store,D. marching band,E. symphony
2692,2692,2,What is likely to happen to someone involved in a driving accident?,driving,A. traffic jams,B. rainbow,C. injuries,D. boredom,E. fatigue
70,70,2,Who was the head of the branch yelling at?,head,A. owner,B. foot,C. subordinate,D. base,E. point
2737,2737,4,The time of day when networks air their most popular bad shows is called what time?,bad,A. true,B. just,C. badarse,D. trashy,E. prime
672,672,1,Where can you purchase food and eat it at tables?,tables,A. house,B. fast food restaurant,C. library,D. conference,E. paper
3279,3279,3,"These days, what is the one place you are guaranteed to find a telephone?",telephone,A. television,B. party,C. friend's house,D. office,E. desktop
1000,1000,2,Humans do what when they are motivated and need money?,humans,A. live forever,B. get sick,C. work hard,D. fall in love,E. feel comfortable
598,598,4,"He found the blowfish off the coast of the Carolina's, it was where?",blowfish,A. rock band,B. sea of japan,C. sushi restaurant,D. fish market,E. atlantic ocean
4746,4746,4,What do you hold the handle of after going to Starbucks?,handle,A. gripping,B. briefcase,C. carry object,D. frying pan,E. coffee cup
2481,2481,0,"The committee represent the rest of the members, they met every Sunday right after what?",committee,A. church,B. park,C. business,D. government,E. city hall
1166,1166,1,"When there are group projects, how do people normally work on them?",people,A. believe in god,B. work in teams,C. kiss each other,D. receive gifts,E. argue
3668,3668,2,What is likely heard by those going to a party?,going to party,A. smoking pot,B. happiness,C. laughter,D. babies,E. meet new people
185,185,1,How might a person address someone who is leaving?,person,A. further cause,B. wave goodbye,C. attempt suicide,D. insulting them,E. thank god
432,432,0,"The snake was a cottonmouth.  It was an American, from where?",snake,A. georgia,B. tree,C. nature,D. under the rocks,E. france
