,Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
344,43512,lsmdc3018_CINDERELLA_MAN-7692,12361,Someone gets out a leather - handled box. Someone,Someone gets out a leather - handled box.,Someone,gold,passes the long torn road.,puts on his polished sneakers.,returns to his chair facing someone and takes a rag from the box.,"sits at the edge of the bed, listening, patting her elbows, then takes the guitar from the archive clip.",2
870,36975,anetv_tRgK4fFA8sE,11517,A woman looks into a camera and smiles while talking before the scene cuts away to a pair of hands working on a bike chain. A pair of hands,A woman looks into a camera and smiles while talking before the scene cuts away to a pair of hands working on a bike chain.,A pair of hands,gold,closes in a sink while still speaking to the camera and showing off a ski gear.,are shown seen on the machine while three others help to work out.,work on a bike chain with tools and bolts.,is bending down in front of a stone wall.,2
758,37463,lsmdc0030_The_Hustler-65076,1800,"Someone shoves through the gawking crowd. Someone tries to take her in his arms, but she",Someone shoves through the gawking crowd.,"Someone tries to take her in his arms, but she",gen,heads back to stony feet.,does n't seem to be getting at him.,yanks him up with his arm and turns him toward the office.,punches him in the face.,3
974,53027,lsmdc3062_SORCERERS_APPRENTICE-30712,4303,Someone watches from the curio shop window and sees someone wearing someone's ring. Two nypd cruisers,Someone watches from the curio shop window and sees someone wearing someone's ring.,Two nypd cruisers,gold,arrive in a common room.,arrive and walked through traffic.,arrive at someone's house there unmoving later.,arrive on the scene.,3
931,47889,lsmdc3013_BURLESQUE-4520,6640,One - by - one the dancers face the audience. The mesmerized blonde watches as varying dancers,One - by - one the dancers face the audience.,The mesmerized blonde watches as varying dancers,gold,plump as students plunge up to find him chatting sex in a cramped space.,hold their seats above their heads.,raise their instrument away to dance.,respond to their names.,3
489,34153,lsmdc3063_SOUL_SURFER-31366,9638,"On the still water, someone watches soberly. From the beach, someone","On the still water, someone watches soberly.","From the beach, someone",gen,watches on a monitor.,watches his stock softened gaze.,takes a seat behind her and rests her chin on his shoulder.,runs behind him and helps him into a rock.,1
654,12730,anetv_f0On10HA3HQ,6103,The jet ski takes off onto the water. It,The jet ski takes off onto the water.,It,gold,gently thumbs it up.,looks down as a plane flies up.,speeds across the lake.,is at the back of the house.,2
162,38839,anetv_fvslbZDJ3C8,7574,We see the man's back flip two more times in slow motion. The video,We see the man's back flip two more times in slow motion.,The video,gold,eventually stops and he speeds again.,continues with different video.,ends with the closing credit screen describing someone saying to a woman.,returns to normal speed.,3
276,47389,lsmdc1026_Legion-5423,11479,The car rolls over in flames. The bursts of rapid fire,The car rolls over in flames.,The bursts of rapid fire,gen,explode and hit up from side to side.,are loud with the couple.,"ripped at the frightened men as he rounds a corner, several bullets attack him.",swirls in the lobby.,2
623,40069,anetv_qRmaZNDyDhA,15337,The woman lowers the car wheel off of the jack. A man,The woman lowers the car wheel off of the jack.,A man,gold,points to the different tools in a tool box.,talks to two men off an airplane.,brings pegs to the side tire and the man puts the flower into the spare tire.,is seen of cards over a table and shreds off a sandwich together.,0
810,14408,anetv_-n0F3QTuxug,9916,He touches his face several times and smiles. He then,He touches his face several times and smiles.,He then,gold,shows how to iron the iron wearing a t - shirt.,flips several times and then inspects the doing.,pierces out of the hair and smiles at the camera.,laughs and puts his hands back into the water.,3
650,26124,lsmdc3037_IRON_MAN2-16401,3870,"He takes out his finger, leans against the sink counter with his head lowered. Later wearing a blue car - racing uniform, someone","He takes out his finger, leans against the sink counter with his head lowered.","Later wearing a blue car - racing uniform, someone",gold,sits on the toilets outside.,descends through a york hydraulic until holding the stop.,walks through a crowd of smiling people.,leans on the roof of the car and looks off in the distance.,2
12,524,anetv_CArYinl5tFo,4937,A box containing a bike is removed by a man in front of a garage. He,A box containing a bike is removed by a man in front of a garage.,He,gold,shows items that you need to get in such detailed.,removed paper from down a table.,"takes out all the parts, and shows how to assemble the bike.",a cat sits on a field and begins cleaning the camera.,2
452,3312,lsmdc3077_THE_VOW-35768,16229,"At the studio, someone joins someone as she works a recording session. Teens","At the studio, someone joins someone as she works a recording session.",Teens,gold,watches someone through the porthole window.,"bang, someone opens the door for her and throws someone to the floor.",play on the other side of the glass.,pulls her pass between two rows of ajar areas in front of her.,2
509,68046,lsmdc3005_ABRAHAM_LINCOLN_VAMPIRE_HUNTER-2233,17340,"They stand on the deck of their humble vessel as it approaches a fleet of steam - powered riverboats crowding a bustling harbor. Now, Spanish moss",They stand on the deck of their humble vessel as it approaches a fleet of steam - powered riverboats crowding a bustling harbor.,"Now, Spanish moss",gold,map pieces keep watch as giant doctors pass through and get into their tent.,hangs low from the branches of surrounding trees.,heaped from the beached lodge sketching hmong covers spread grass.,scamper by a large open bed filled with golden trees.,1
640,6774,anetv_wtQQ5I0QRuw,3458,She is very thorough in her work making sure not to miss anything. She then,She is very thorough in her work making sure not to miss anything.,She then,gen,presses it to the camera and shutting the door behind her.,"types more items, also giving instructions on how to drop the ingredients.",lays another tissue on a box for tape to feed a little bit.,makes a proper step and quickly leaves the hall.,1
949,58784,anetv_r1x3hjFWGYM,3732,The man smiles and we see his face. We,The man smiles and we see his face.,We,gold,are then shown how to remove the contact lens with instructions.,see the ending title screen.,see the tire welding on the ground.,are then standing in the high opening screen.,0
729,25056,anetv_EwjDShmfFHM,12958,A person extends their hands out towards the faucet. They,A person extends their hands out towards the faucet.,They,gold,turn on the faucet and wet their hands.,pan their hands and point it between them and back.,begin dancing around a big rope.,then puts some mouthwash on and lays it down and starts moving it on some white towels.,0
804,52689,anetv_mOVPZhGyUrs,9028,There is a mattress leaning against the basement wall. The players,There is a mattress leaning against the basement wall.,The players,gen,share a fur hat.,"dawns - belts, snapping the white.","pulls the paper into place, picks up the guests and tosses it to the men, relaxing on the couch.",are gearing up and engaged in the game holding it.,3
864,1234,anetv_uTc2-oAxgbc,958,We see a girl sitting in a piercing parlor with a lady standing near her. The lady,We see a girl sitting in a piercing parlor with a lady standing near her.,The lady,gold,brushes fake hair and puts lipstick on her teeth.,puts a clip on the girls lip and sticks a large needle through her lip.,rows one drawer sweeping the cat.,shows her puppy leg tattoo with her finger as she decorates the design.,1
544,21135,anetv_qS7TStZg_5c,11671,A man is showing playing guitar with a title screen shown on the left. The man,A man is showing playing guitar with a title screen shown on the left.,The man,gold,"in a suit walks closer to the boy, hugging the song, and begins running to play for his guitar.","next is playing and that he smokes in his left, sitting on a stool and holding his hand out.",strums over and over again while gradually banging his head to the beat.,is playing the piano in front of him holding a string and begin to play the drums.,2
834,56344,anetv_y7tActqdm9A,5210,Two wildebeests lock horns in a fight for dominance. The fight,Two wildebeests lock horns in a fight for dominance.,The fight,gold,continues with the rest of the wildebeest herd looking on.,splits up for staff.,is replayed by an older man fighting.,makes them crumble.,0
830,65360,lsmdc3020_DEAR_JOHN-10149,18333,Someone taps his fork against his plate and sets it down. Someone,Someone taps his fork against his plate and sets it down.,Someone,gold,"stares with doe - like eyes, then lowers her dark lashes.",comes by bumps his deputies.,drops his foot to the stove's.,rounds the corner trying to find.,0
859,17591,anetv_U7vH9pEfGVw,1562,A man in a suit is talking. A woman in a yellow dress,A man in a suit is talking.,A woman in a yellow dress,gold,hurries her on his arms.,is working out on an elliptical machine.,starts dealing cards onto the table.,is quickly floating in the water.,2
724,6130,lsmdc0050_Indiana_Jones_and_the_last_crusade-70029,9362,Someone pours champagne into several fluted glasses as someone reads. Suddenly someone,Someone pours champagne into several fluted glasses as someone reads.,Suddenly someone,gen,sits on the bar.,"appears frozen in shot, her eye on her hands, framed by the shadow of the possessed.",drops into the kneeling position to face the wall at the end of the room where someone lies on someone's open bed.,stops and looks about.,3
95,29294,anetv_Lr0Vm9zBXKE,3185,Snowy mountain range is shown and people are doing snowboarding. helicopter,Snowy mountain range is shown and people are doing snowboarding.,helicopter,gold,is atop a dark gym.,is flying into the ocean and is running on it.,is in the air landing in a mountain leaving people in the top of the mountain.,"falls over several other people, going for a few seconds.",2
100,42022,lsmdc1034_Super_8-8078,11057,"He nearly leaps out of his skin as a dumpster flies past him. In the shop, someone",He nearly leaps out of his skin as a dumpster flies past him.,"In the shop, someone",gold,talks to a passenger - filled field of people.,is oblivious as his walkman drowns out all the sound.,is spotting a van in the corner farther out.,shows him a test blade.,1
581,10460,anetv_4MKbQ816r9A,13453,A tall thin male is standing in a bar surrounded by liquor. The male,A tall thin male is standing in a bar surrounded by liquor.,The male,gold,completes the rubiks cube.,is buffing which hands with which he squeezed.,has a cup of ice in front of him that he pours into a regular glass that he then adds liquor into.,started to jump and look doing the bar.,2
28,45176,lsmdc3024_EASY_A-11631,17311,"Someone smiles, and shifts in her seat. Someone","Someone smiles, and shifts in her seat.",Someone,gen,"returns to the table, but he is empty.",enters the reception room and steps into the art office.,"gives him a steady sidelong expression, then backs away as someone stalks off.","gives her a long, eager kiss.",3
7,5804,lsmdc3009_BATTLE_LOS_ANGELES-605,12457,"Racing up the remains of the building's only surviving stairwell, he takes out his radio. He","Racing up the remains of the building's only surviving stairwell, he takes out his radio.",He,gold,checks out the assembled network computer monitors.,places someone's i name in his ear.,glances at someone and blocks it below.,walks back to the car to open it.,2
552,10994,anetv_g-KEU43sCt4,6375,A girl flips and takes her turn then flips out of the center. A teen,A girl flips and takes her turn then flips out of the center.,A teen,gen,performs multiple flips before a gymnastic routine with a hoola hoop.,performs an intricate track routine at a bar.,performs a routine on the bar next to a mat while the other players hug her.,performs a flip on a white mat.,3
492,73391,anetv_zOcXA1S_VPI,15010,A man wearing a black hat is talking. A man,A man wearing a black hat is talking.,A man,gen,raises his glass and begins playing the bagpipe.,is squatting on a brown chair.,talks to the camera.,is smoking a cigarette and looking into his mouth.,2
359,4297,anetv_ZYPKueJon34,218,A group of people are seen standing on a bridge. One,A group of people are seen standing on a bridge.,One,gen,woman then speaks to the camera.,leads into a man holding a handle with a pole.,", people are seen on horses as people speaking to the camera.",continues speaking to the camera and leads into her dipping an lens.,0
958,5570,anetv_1lu7Sbu3a6o,6033,The lady and a man push people down the hill. The people,The lady and a man push people down the hill.,The people,gold,slide in rafts down the hill.,wait in a round one talking.,come in and recover the fight.,walk away from their horses.,0
829,71350,lsmdc3082_TITANIC1-38805,9651,As dawn breaks over the ocean. Someone,As dawn breaks over the ocean.,Someone,gen,loses his balance and turns back to the water.,positions himself on the boat.,"watches helplessly, stoned on his tail as someone watches someone join them.","through the front window, the boats soar over a huge green ocean with tips perched on a studded rock.",1
595,41908,anetv_GjHanmMGvuw,18836,She continues moving along the floor while along girl practices behind her. She,She continues moving along the floor while along girl practices behind her.,She,gold,continues dancing with her brow down as well as holding herself looking and laughing.,students all look to the camera.,continues swinging back and fourth in front of the man and continue moving down the demonstrating the movements.,finishes her routine and stands in front of the judges and hears her results.,3
33,21292,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-34373,11244,Someone returns with a utility knife. Someone,Someone returns with a utility knife.,Someone,gen,hauls himself to sit over it.,turns to find the mother on the others.,"stares at the back of it, drawing the bloody knife on someone's brow.",hands the knife on the table.,3
614,51466,anetv_gzs6VcYc0OI,12490,The coach explains some more. A few more boys,The coach explains some more.,A few more boys,gen,are shown on the team.,are in a gym together with the instructor wearing a white shirt and black sweater with cuts in the sides.,are shown sitting with soccer players.,stand up and walk.,2
347,39922,lsmdc0049_Hannah_and_her_sisters-69449,3020,"She then picks up her lit cigarette and continues to smoke. People, almost in dark silhouette,",She then picks up her lit cigarette and continues to smoke.,"People, almost in dark silhouette,",gold,"are running over rising, waiting to be thrown ahead.","is beginning to notice someone, inside.","are walking at a fast clip along the sidewalk, arguing.",stands in the shadows and watches with a goofy scowl.,2
524,18825,anetv_kwaCAq-9LnM,13605,A woman is seen speaking to the camera with a bowl of lemons beside her. She,A woman is seen speaking to the camera with a bowl of lemons beside her.,She,gen,holds the pieces up and begins mixing the ingredients together to create the same dough.,"sit together with a mixer in their hand, then adds a lemon and the mix in a bowl.",is then seen cutting up noodles and putting it on a paper.,mixes ingredients into a bowl and add them to her soda.,1
514,47101,lsmdc3084_TOOTH_FAIRY-39946,5938,"Two fairy assistant go to grab the dog. His wing freed, someone",Two fairy assistant go to grab the dog.,"His wing freed, someone",gen,has seen the fangs there.,"fights his way out at first, opens it, grips it and dangles.",kisses the top of the quaffle and squats a few yards in front of him.,throws the flimsy back against someone.,1
233,40204,lsmdc0012_Get_Shorty-53181,5706,As someone knocks on the door three times. He,As someone knocks on the door three times.,He,gold,"races off to find someone standing at the entrance, waiting for her.","waits, pulls the right - hand glove on tight, so that when someone opens the door, someone nails him one punch.",taps someone's cheek.,flips open a door.,1
746,37880,lsmdc1033_Sherlock_Holmes_A_Game_of_Shadows-85140,6024,Little Hansel is a heavy - caliber artillery piece. A massive shell,Little Hansel is a heavy - caliber artillery piece.,A massive shell,gold,is loaded into the breach.,glows over the smoke.,is shattered around the island.,is dropped on the fence.,0
387,22243,anetv_iPHZeElXYXU,13054,We see a white opening screen. We,We see a white opening screen.,We,gold,see a person paddling the camera in the water.,see people skiing and pushing in a truck.,then see other players one another then scores.,see a lady ironing a shirt on an ironing board and talking to the camera.,3
378,42847,lsmdc0001_American_Beauty-45587,12684,"Someone is suddenly alone in the stands, spellbound. Someone","Someone is suddenly alone in the stands, spellbound.",Someone,gen,looks up at someone with astonishment.,is pushed back by the flow.,is raining down as his mother hops over him.,hops from his grip.,0
297,12068,lsmdc0014_Ist_das_Leben_nicht_schoen-55172,19064,Someone and the crowd come into the living room. A table,Someone and the crowd come into the living room.,A table,gen,slows down as someone shoots him.,lies with a sheet of paper covers.,sits on a wooden table.,has been mixed explosives.,1
695,56714,anetv_juIOpLYnW64,15475,A woman and a doctor are seen talking to one another and leads into the person putting dots on her eyebrow. He,A woman and a doctor are seen talking to one another and leads into the person putting dots on her eyebrow.,He,gold,continues carving the nails while speaking to the camera while laying down in front.,shows off the ridges as well as others using the hair and putting sunscreen on.,shows her in the mirror and then pierces the girl's eyebrow and puts a gem through.,"bends and holding the other as she pets the dog, she speaking to her and pets the cat.",2
445,17479,lsmdc3074_THE_ROOMMATE-4018,19007,"Someone turns away from the stall, her hands still clutching its curtain. Doffing her towel, she","Someone turns away from the stall, her hands still clutching its curtain.","Doffing her towel, she",gold,pushes herself along the side of the wide tub.,steps back into her shower.,brightens her face.,runs lifeless to the sink.,1
494,7620,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-33560,14347,Someone reaches the staircase and someone steps back inside. Someone's hunched figure,Someone reaches the staircase and someone steps back inside.,Someone's hunched figure,gold,throws her robe down and reaches to gesture a dark - skinned woman.,shuffles up a brick walkway illuminated with street lamps.,holds out a chart of roses.,holds his hand held aloft by his holding father.,1
583,10686,anetv_dHzX9NqyBZw,852,Two men are standing on top of trampolines and make a Synchronized jump into the pool. man,Two men are standing on top of trampolines and make a Synchronized jump into the pool.,man,gold,gets to the finish line and begin doing a routine of tumbling.,is going up the stairs to the trampoline.,is doing a somersault in the gym.,is throwing a dart in joy.,1
635,34842,lsmdc3083_TITANIC2-39375,9140,"He closes his sketchbook and hands it to someone. Later, someone",He closes his sketchbook and hands it to someone.,"Later, someone",gold,reaches her cheek against her arm and runs her hands through her hair.,lies on the veranda with a dark - haired man wearing a baseball cap.,writes on a sheet of paper.,sits on the couch.,2
322,22653,anetv_eXMF6Skt2To,7338,We see fireworks going off in the air. We,We see fireworks going off in the air.,We,gen,see a sign of rum.,see scenes of the jumps and it all tricks.,see a man looking to the camera as he plays.,go back in the water over the edge.,2
937,72479,lsmdc1026_Legion-5789,7223,Someone drops his gun and feels his bloody chest. Someone,Someone drops his gun and feels his bloody chest.,Someone,gen,"reaches up, hide his knife.","cleans his jaw, sweating by the ground below his lips, mouth agape.",points the wand at his right hand.,faces the doors closed.,1
525,52669,anetv_lCX7y_KAihU,15197,Photos of him are shown from all sides. Kevin raised ps85,Photos of him are shown from all sides.,Kevin raised ps85,gold,arranges the exact field on their left hands.,falls and the man clicks a disc again.,do all the workout.,is shown on a black screen.,3
82,10879,anetv_yc9Bc8G7Y_Q,19427,A camera shows a forest off in the distance. A person,A camera shows a forest off in the distance.,A person,gen,is carrying a broom in front of a bonfire.,shoots a arrow at the roundabout.,puts oil onto a floor followed by a person kicking and another vacuum cleaner.,is seen brushing the dog.,0
558,66535,lsmdc1031_Quantum_of_Solace-84489,12976,"He slams a man in a car door, runs to the stairs and takes down someone's driver. Someone","He slams a man in a car door, runs to the stairs and takes down someone's driver.",Someone,gen,drives someone in the car then hurries back to the police suit where dozens of men stare fearfully at the stag.,quickly climbs up the steps.,comes out through to the open car window and looks across the street at someone.,points to his coin.,2
721,56854,anetv_A1SuSeqDTEI,6266,We see a mountain near the river. The kayak,We see a mountain near the river.,The kayak,gen,is flattened and choppy.,is now made of snow.,is tilted with a fine harness under the commercial.,moves smoothly along the surface.,3
380,36866,anetv_dUzqM38vwPI,718,He continues going fast on the snowboard behind the car till he comes to a stop. He then,He continues going fast on the snowboard behind the car till he comes to a stop.,He then,gold,goes towards the water.,goes back and forth over the very soldiers how to do his moves and returns to congratulating him.,proceeds to paint the windshield of the car and shows how to install something.,gets off of his snowboard and gives a high five to the driver of the black car.,3
948,12561,lsmdc3071_THE_DESCENDANTS-5447,4431,"Later, inside, someone gently leads a silver - haired woman by the hand. Creasing his lips, he","Later, inside, someone gently leads a silver - haired woman by the hand.","Creasing his lips, he",gen,gestures at a stack of bills.,turns his gaze away.,glances at one teen.,gazes across the room onto the balcony.,1
653,44173,anetv_ZkkTMR21XLc,18378,A man and woman biker are standing outside an event. They,A man and woman biker are standing outside an event.,They,gold,is seen how to make the robotic exercise.,is shown canoeing down a long - and looking down the sidewalk.,roll off of the rope at the last time.,get into a raft and push it into a river.,3
69,54074,lsmdc1023_Horrible_Bosses-81830,3737,"He is short with a goatee, a high forehead and wispy, thin comb - over. He","He is short with a goatee, a high forehead and wispy, thin comb - over.",He,gold,eyes only faintly light.,is a sign that attracts no script to his passing.,scoots back into the office.,holds up a syringe.,2
939,16541,anetv_v5patZyuYys,15205,Players and coaches are seen wandering around a field speaking to one another. More players,Players and coaches are seen wandering around a field speaking to one another.,More players,gold,are seen running around the teams as well as enjoying the pool mates.,are seen playing lacrosse and playing a game with one another.,are shown walking around followed by one hitting a ball and others celebrating.,are shown throwing a ball across the walls.,2
944,49933,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-33658,16368,"Someone topples falling face first on the floor. At the cottage, someone",Someone topples falling face first on the floor.,"At the cottage, someone",gen,lashes the gangster's seat.,"leans back against the trap door, eyes open.",holds onto to the deck and reaches for the surf.,reapers in agony as the people in their windows pierce a tiny suv.,1
