,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,sent1,sent2,ending0,ending1,ending2,label
1058,1058,1058,1058,Lee and his mother saw a murder occur but was too afraid to talk. Lee and his mother kept their lips sealed.,What does Lee need to do before?,tell the police,witness a murder,find out about it,1
515,515,515,515,Jordan made their rounds in the mail room at work.,What does Jordan need to do before this?,relax,want some food,be at work,2
2931,2931,2931,2931,"Robin, Sasha's boyfriend of several years, had fallen in love with another woman, and was breaking up.",How would Robin feel afterwards?,sad,romantic toward Sasha,a heart breaker,2
4396,4396,4396,4396,Jordan found Jan's slick back to be revolting in the extreme.,Why did Jordan do this?,Watch Jan,liked the look of it,found it to be too pale,0
3497,3497,3497,3497,"Many people were afraid to challenge the powerful business person, but Robin brought the accusation to trial.",How would Others feel as a result?,afraid of Robin,frustrated with Robin,impressed by Robin,2
533,533,533,533,Addison sailed the boat but had to call for help when the motor stalled.,Why did Addison do this?,sailed the boat,go back to the shore,go swimming on the lake,1
830,830,830,830,Lee put some cream on the scrape because it was hurting a lot and could get infected.,What will Lee want to do next?,did this to heal properly,get ice to stop any swelling,rub the cream off to clear the scrape,1
4110,4110,4110,4110,Bailey was at the toilet then returned to their classroom.,What does Bailey need to do before this?,leave the classroom,stay away from the toilets,had to go to the bathroom,0
4487,4487,4487,4487,Alex made Carson's inspection for them.,How would you describe Alex?,made Carson's inspection for them,thankful to Alex,happy it happened,2
2835,2835,2835,2835,Cameron waited to get home before telling the family that she lost her job.,What does Cameron need to do before this?,gain her job,break the news easily,drive home,2
1471,1471,1471,1471,"Quinn gave a speak to a large audience. Afterward, Quinn shakes hands with all the people and kisses babies for pictures.",How would you describe Quinn?,a politician,like he was popular,wanted,0
2841,2841,2841,2841,Skylar taught Cameron everything they could about the world and prepared them for adulthood.,What will Cameron want to do next?,watch Cameron grow up,make sure they could survive,teach them about the world,1
262,262,262,262,Austin was walking along the beach with their daughter. They carried Casey along the way.,What will Casey want to do next?,walk on their own,pick up Casey,get to the beach,0
1651,1651,1651,1651,Tracy rode the skateboard home from school.,What does Tracy need to do before this?,likes to be alone,needed to tell her parents she'd be home,put the skateboard away,1
1871,1871,1871,1871,Lee wanted to go shopping with Sasha but didn't want to ask. Sasha asked Lee's mom for him.,What will Sasha want to do next?,get to know each other better,plan which stores to visit,go have fun,1
83,83,83,83,Carson wanted to go straight away but their car had low air in the tires.,What will Carson want to do next?,they need to get more air in the car,put air in the tires,make sure the tires are at the wrong pressure,1
120,120,120,120,"Cameron put their way of navigating home into practice, so they can have a great place to live.",What will happen to Cameron?,loved,detached,learn along with Cameron,0
3522,3522,3522,3522,"Lee had a bad back and couldn't reach down, so Riley tied Lee's shoes for him.",How would Riley feel afterwards?,annoyed,helpful,good with the elderly,1
4325,4325,4325,4325,skylar was furious so she wanted to kill jan and get away with it.,What will Skylar want to do next?,take out her enemy,change her mind about killing jan,rethink killing jan,0
3113,3113,3113,3113,"Tracy's mom wasn't able to clean her house, so Tracy helped her mom out.",What will Tracy want to do next?,clean the car,find their mother,clean the bathroom,2
1179,1179,1179,1179,"Kai was supposed to leave first thing in the morning, but he and Addison were having so much fun together, Kai asked Addison´s parents for one more day.",What will happen to Kai?,be punished,have even more fun with his friend,be allowed to stay,2
4632,4632,4632,4632,Kendall was hurt too badly from Kent rejecting her proposal that she cried all night.,How would Kendall feel afterwards?,cry,in love,as depressed,2
160,160,160,160,Austin got full at dinner and was unable to finish the rack of ribs and all of the side dishes he ordered.,What does Austin need to do before this?,go to a restaurant before this,wrap the rest up,go home before this,0
1188,1188,1188,1188,"Addison was looking for a new car. SHe saw an ad for a car that she really wanted, but it was too expensive.",How would you describe Addison?,disappointed about the price,in need of a car,too uptight,0
2726,2726,2726,2726,Sydney peered down her nose and underneath her glasses.,How would you describe Sydney?,strong now,kind,snobby,2
327,327,327,327,carson was a abusive person so he grabbed quinn's wrist.,What will Quinn want to do next?,love carson,slap carson,control others,1
955,955,955,955,Sydney could not make up her mind if she liked Austin or Bob as her boyfriend.,What does Austin need to do before this?,wait around forever,decide the next step,date both boys,0
635,635,635,635,Sasha was happy to see that upon arriving home to find her front door locked as it had been when she had left the house early that morning.,How would you describe Sasha?,good,still locked,normal,2
420,420,420,420,Robin had an experiment in class and Alex designed it for Robin.,Why did Alex do this?,do all the work,help out Robin,get credit for it,1
316,316,316,316,Sydney had a few too many drinks and let slip about the surprise party.,What will happen to Sydney?,get mad at others for letting her drink,they will know something,bad that she ruined the surprise,2
4230,4230,4230,4230,Tracy protected Austin's skin from the sun by applying generous amount of sunscreen and placing a hat on his head.,What will Austin want to do next?,play outside in the park,take off his shoes,play inside with the game,0
2298,2298,2298,2298,Riley needed to get online to research its value.,What does Riley need to do before this?,was trying to renew the auto insurance policy,wasn't using the item and wanted it to go to a good home,was preparing to sell the car,1
399,399,399,399,Austin shared their cookie with their friend. Their friend loved to eat cookies.,What will Austin want to do next?,make them happy,refuse to make cookies,make more cookies,2
4294,4294,4294,4294,Kendall didn't have a phone number to give to the cute guy. Kendall used Alex's number instead.,How would you describe Kendall?,a bit nervous,a caring person,a greedy person,0
3253,3253,3253,3253,Riley got third place in the contest.  They were slightly disappointed because they wanted to be first place.,What will Riley want to do next?,help Riley,practice more,console Riley,1
3784,3784,3784,3784,Sydney was treated like dirt by her new friends.,What will Sydney want to do next?,hug them,be liked,make new friends,2
145,145,145,145,Taylor played beer pong with their friends at the party.,What will Taylor want to do next?,win a championship,win the medal,get drunk,2
201,201,201,201,Skyler lie at Quinn's feet after Quinn punched Skyler hard in the face.,What will happen to Quinn?,get taken to the jail,she will be scared,give Skylar a kiss,0
2974,2974,2974,2974,Kendall opened all Quinn's presents on the christmas holiday.,What will Quinn want to do next?,see what they are,take them back,wrap them,1
3967,3967,3967,3967,Casey keep to themselves and so remained to be seen outside of school.,What will Casey want to do next?,talk with themselves,stay to themselves,find a good home,1
2736,2736,2736,2736,"Jordan was sleeping but suddenly heard the voice calling, it took them a while to realise it was mum shouting to get up for school.",How would Jordan feel afterwards?,ready for some food,not ready for any food,a person who likes to sleep,0
4932,4932,4932,4932,Remy talked his parent into letting him go to the party.,What will Remy want to do next?,needed to get an offer to join the party,get ready,thank his parents for letting him go to the party,2
3146,3146,3146,3146,Austin carried out their threat against their rival and injured them so they couldn't be in the competition.,What will Austin want to do before that?,have a plan on how to injure them,figure out where to hurt their rival,enter the competition,0
1601,1601,1601,1601,"Casey soaked the bread around Carson's saucer of high quality olive oil, drizzled with balsamic.",Why did Casey do this?,throw away the bread,try the oil,eat the bread,2
3236,3236,3236,3236,Lee opened the floodgates in the conversation and everyone was very offended.,How would Lee feel afterwards?,bad,offensive,proud,0
1496,1496,1496,1496,Alex was frustrated and laughing shouted into the air about it.,What does Alex need to do before this?,drink water,catch his breath,be frustrated,2
3029,3029,3029,3029,Skylar was about to walk off the edge when Kendall grabbed Skylar's arms.,What will Kendall want to do next?,hold Skylar back from the edge,push Skylar,notice Kendall,0
353,353,353,353,Jan didn't like vegetables but her mom said she couldn't have dessert unless she ate them. Jan ate the vegetables.,How would Jan feel afterwards?,upset,angry,content,2
3535,3535,3535,3535,Jordan wanted to paint a picture but didn't have any paint. Carson let Jordan use his array of paints for his painting.,What does Jordan need to do before this?,get their paints back,ask for the paint,ask for the brush,1
2653,2653,2653,2653,Bailey pointed her finger at the one that had committed the crime.,How would Bailey feel afterwards?,surprised to learn who commited the crime,helpful afterwards,ashamed afterwards,1
1736,1736,1736,1736,Alex always walked home from school and enjoyed getting fresh air.,How would Alex feel afterwards?,Like they need to walk home,Good they get to get fresh air,someone who loves the outdoors,1
1445,1445,1445,1445,"Because Riley cared for them and wanted to show it, Riley stared into Taylor's eyes.",What will Riley want to do next?,hurt them,wanted a kiss,hug them,1
4244,4244,4244,4244,"Lee was looking forward to the last day of school, so that they could have fun all summer.",How would you describe Lee?,carefree,depressed,hopeless,0
3372,3372,3372,3372,Aubrey opened Casey's eyes because she thought that she was pretending to sleep.,What will happen to Aubrey next?,get food for Casey,be yelled at,fall asleep,1
2022,2022,2022,2022,Skylar gave their son a video game which made all the other kids want it too.,What will happen to the other kids?,want the game,share the video game,enjoy the video game,0
1020,1020,1020,1020,riley helped aubrey out of the water because aubrey was not a good swimmer.,What will riley want to do next?,alright,be a good swimmer,go in the water,1
2182,2182,2182,2182,Addison supported Cameron's families decision about getting a new and brown dog that day.,What will Addison want to do next?,loved,know Cameron's family thoughts,talk to Cameron's family,1
3151,3151,3151,3151,We bought concert tickets for Remy's birthday to see the NSYNC reunion on stage.,Why did Lee do this?,meet the band,'s caring,likes NSYNC,2
1103,1103,1103,1103,jordan was trying to start a new life so he ate haelthy food.,What does Jordan need to do before this?,buy unhealthy food,be lazy,be passionate,2
3772,3772,3772,3772,bailey did everything in their power to make it work so nobody would have to be laid off.,What will Others want to do next?,show their disdain,set a budget,thank bailey,2
3257,3257,3257,3257,Lee really needed some sleep after staying up two days straight to study for finals.,What will Lee want to do next?,go to the gym,pass the test,take a nap,2
1901,1901,1901,1901,"Kendall gave each of her friends wonderful gifts for Christmas that year, paid for by the bonus.",What will the friends want to do next?,thank Kendall,get some presents,pay Kendall,0
2081,2081,2081,2081,Bailey rented and managed properties for a hefty fee and didn't give refunds.,What will Others want to do next?,praise Bailey's methods,give bad reviews,Start giving refunds,1
1208,1208,1208,1208,"Kai was doing research into the reproductive systems of mice, and as part of his ongoing experiments, Kai induced labor in mice.",What does Kai need to do before this?,impregnate rabbits,wanted to study mice giving birth,do research,0
2319,2319,2319,2319,Sydney had two different exams the next day. Sydney felt overwhelmed.,How would Sydney feel after the exams?,relieved,very anxious,stressed out,0
3502,3502,3502,3502,Addison returned the book that evening before borrowing another one she had been wanting to read.,How would Addison feel afterwards?,Intelligent,angry afterwards,excited afterwards,0
1205,1205,1205,1205,Addison gave Alex their assurance that they were completing the tasks correctly.,How would Addison feel afterwards?,very helpful,like a good daughter,ready to do the rest of the work,0
3853,3853,3853,3853,Carson didn't want to go on the trip but was forced to.,How would you describe Carson?,a ungrateful person for not wanting to go,a strong person who likes stating his opinions,annoyed,2
1781,1781,1781,1781,"Taylor is applying to college, and they have always wanted to be a scientist.",What will Taylor want to do next?,complete the essay,apply for an english major,apply for a biology major,2
3361,3361,3361,3361,Skylar gave the motorist a speeding ticket to meet his quota for the day.,How would you describe Skylar?,a pig,a toll booth manager,relieved to avoid it,0
2854,2854,2854,2854,Tracy went to the field that had corn in it and sat and looked around.,What will Tracy want to do next?,leave the field,needed to drive the tractor to the field,yell at her mother,0
35,35,35,35,Carson was very passionate about this topic so he drove home his point.,How would Others feel as a result?,inspired by Carson,angry with Carson,relax and relieved,0
4262,4262,4262,4262,Taylor put the ingredients in and made a batch of cookies to eat for dinner.,How would Taylor feel afterwards?,gluttonous,a person who enjoys baking,healthy,1
2808,2808,2808,2808,"Remy's kids were lonely playing by themselves, so Remy wanted Carson's kids to come play too.",What does Remy need to do before this?,busy,call up to reach Carson's kids,invited over the Carson's kids,2
3312,3312,3312,3312,Kai ate his dinner and ended up making a mess in the bed.,Why did Kai do this?,eat his meal in his room,sweep the crumbs out of the bed,remember not to next time,0
3061,3061,3061,3061,Kai laid by Casey's side when it was time to sleep.,What will Casey want to do next?,go to sleep,sleep and rest with Casey,hold Casey as they go to sleep,0
4045,4045,4045,4045,Lee went to a party last weekend and he knew everyone that was there.,What will happen to Others?,look away,say hi,he will have fun,1
237,237,237,237,Sasha downloaded the app for the website they really liked.,What does Sasha need to do before this?,test the new app,enjoy the website,want the websites app,2
2379,2379,2379,2379,Robin baked all day to have enough cookies to send to her kids' classrooms.,What will Robin want to do next?,eat the cookies,take a nap,throw out the cookies,1
1470,1470,1470,1470,Sasha left her paycheck on the counter. Riley cashed Sasha's check behind Sasha's back.,What will happen to Riley?,be rewarded for her deeds,become closer to Sasha,go to jail for fraud and theft,2
2884,2884,2884,2884,Taylor wanted to show Sasha how much he cared so first he pushed Sasha's hair back.,What will Taylor want to do next?,give Sasha a hug,wanted to kiss Sasha,run away from Sasha,1
4582,4582,4582,4582,Lee arrived on time.  They were able to eat dinner with their family.,What will Lee want to do next?,cook the food,talk about the day,fix his hunger pain,1
1875,1875,1875,1875,Alex felt the pinch when the doctor gave him a tetanus shot.,How would Alex feel afterwards?,sore,embarrassed,angry,0
241,241,241,241,Cameron is a good painter.  They used watercolors to make a painting.,What will Cameron want to do next?,sell the painting to others,decorate their house,make something beautiful,0
4568,4568,4568,4568,Remy went to school early to study. Remy had a long day at school.,How would you describe Remy?,felt tired,felt happy to be home,studious,2
404,404,404,404,Aubrey insulted Sasha for no reason.  Sasha gave Audrey a bad look.,How would you describe Sasha?,angry,upset,someone who can defend herself,1
3071,3071,3071,3071,Taylor has some bad news to deliver to her family and is afraid how they will react.,How would Taylor feel afterwards?,sad,relief,angry,1
402,402,402,402,Cameron played games on Skylar's phone till he got bored.,What does Cameron need to do before this?,had nothing else to do,really liked the games on Skylar's phone,find a new game,0
69,69,69,69,"At the bar after work while they were having a drink, Carson got angry at Taylor.",How would you describe Carson?,inspired but challenging to get to know,like Carson was mean,short-tempered and difficult to get along with,2
1333,1333,1333,1333,Kai imposed upon Tracy her opinion and made her mad.,How would Tracy feel as a result?,apologize,let Tracy have her own opinion,would be mad,2
4147,4147,4147,4147,Alex was right behind Riley when Riley suddenly stopped walking and stared at something.,What will happen to Riley?,not notice Riley stopped,walk right into Riley,leave Riley without knowing,1
3705,3705,3705,3705,Bailey developed Quinn's interest in sports from a young age to ensure their future performance as a star athlete.,How would you describe Bailey?,a controlling parent,thankful that Bailey helped them develop as an athlete,they should perform well to make Bailey proud,0
3330,3330,3330,3330,Lee came to pick Quinn up but found out that Quinn had gotten another ride home.,What will Lee want to do next?,drive home,wait for Quinn,apologize to Lee,0
3980,3980,3980,3980,Alex would eventually pass the class despite spending all his time playing video games.,How would you describe Alex?,a diligent student,very studious,a video game enthusiast,2
3482,3482,3482,3482,ash saw the new job meant she had to clean the sewers and she quit the next day.,What will Others want to do next?,search for another job,find another job,berate ash,0
3878,3878,3878,3878,Ash opened up quickly when questioned by the police.,Why did Ash do this?,was guilty,help the police,was nervous,1
1813,1813,1813,1813,Sydney lost Robin the opportunity for a new job because he was late.,What will Robin want to do next?,teach Robin a lesson,be unemployed,apply elsewhere,2
4788,4788,4788,4788,Jan decided to put her thoughts into words by writing a letter to her friend that she was upset with.,What does Jan need to do before this?,contact their friend about the letter,be happy,be upset with her friend,2
1261,1261,1261,1261,Remy minded the store dutifully for their parents who were on vacation.,How would Remy feel afterwards?,like a helpful son,like a useless son,glad to help their parents,0
4837,4837,4837,4837,Tracy took some medicine that the doctor gave her and felt a lot better.,How would you describe Tracy?,rude to others,sick,mean,1
654,654,654,654,Kendall told Aubrey many tales. Few of them were true.,What will Aubrey want to do next?,pay attention to them,not listen to them anymore,be more interesting,1
3834,3834,3834,3834,Jan meant to bring Riley's keys but had left them behind on accident.,What will Riley want to do next?,find their keys,get mad at Jan,send Jan back,2
1699,1699,1699,1699,Remy held open the door for the elderly woman carrying grocery bags.,Why did Remy do this?,help someone,say hello to the elderly woman,help the woman with her bags,0
1475,1475,1475,1475,"Sydney's unwanted advances made no difference to Remy, despite her greatest efforts to win him.",How would you describe Sydney?,easily defeated,determined to get her way,uncaring about the outcome,1
1947,1947,1947,1947,Kai grabbed Quinn's chin and opened Quinn's mouth.,What will Kai want to do next?,shut Quinn's mouth,check Quinn's pulse,feed Quinn the dinner,2
2512,2512,2512,2512,Sasha brought the kitten home with her after she found it in a gutter.,How would you describe Sasha?,a sadistic person,a kind person,worried about the kitten,1
3317,3317,3317,3317,Taylor always slept and one day missed an important exam due to sleeping.,How would Taylor feel afterwards?,like a failure,missing an important exam due to sleeping,sleeping always,0
3608,3608,3608,3608,"Many months after the accident, Austin finally left the hospital today.",How would Austin feel afterwards?,Sad,Happy,Regretful,1
4556,4556,4556,4556,Ash bought some modern furniture for his new condo he recently got.,What does Ash need to do before this?,wanted to make the place look nicer,wanted to decorate the apartment,needed to shop for furniture,2
2619,2619,2619,2619,Tracy didn't know much about math so they decided to get a tutor.,How would you describe Tracy?,like she needs the help,do their best,like she can learn,0
4749,4749,4749,4749,Quinn let his car outside so it could play in the yard.,What does Quinn need to do before this?,keep his car in good condition,trust the cat to be safe,find the cat that was outside,1
1756,1756,1756,1756,Alex took Quinn away to get a break from work.,What will Quinn want to do next?,go back home,cheer Quinn up,never go back,1
2077,2077,2077,2077,"Sasha was an incredible long distance runner, and Sasha threatened every record.",Why did Sasha do this?,threaten people,listen to the records,prove themselves,2
2842,2842,2842,2842,"After Aubrey lost her purse at the mall, Bailey helped Aubrey find it.",What will Aubrey want to do next?,accuse Bailey of stealing,give Aubrey back her purse,offer a reward to Bailey,2
2065,2065,2065,2065,Riley is Remy's baby and is just learning how to talk.,How would you describe Riley?,excited,autistic,very bright,2
3016,3016,3016,3016,Jesse was left to Kai's devices after it was determined that they were too difficult to deal with.,What will Kai want to do next?,learn how to use Kai's devices,learn how to work with Kai,lead Jesse,2
1615,1615,1615,1615,Sydney told Remy what had happened and Remy felt bad for Sydney and offered to help.,What will happen to Sydney?,refuse help from Remy,ask Remy to give them space,kind,0
1814,1814,1814,1814,"After a whirlwind and exciting concert before fans, Lee made their name.",How would Lee feel afterwards?,famous now,unloved,that they made it,0
4528,4528,4528,4528,"After working hard for months at the game, Carson eventually made it to the next level.",What will Others want to do after?,reach the next level,laugh at Carson,watch Carson play,2
3243,3243,3243,3243,Ash returned to their hometown for a visit and made it to the local football game soon after it started.,What will Ash want to do next?,cheer for the guest team,root for the home team,plan a trip to their hometown,1
4848,4848,4848,4848,Sydney did not like the glasses Aubrey was wearing and made fun of her.,What will happen to Aubrey?,become better off,develop a disorder,get in trouble,1
854,854,854,854,Alex watched football instead of studying for his test the next day.,What will Alex want to do next?,have a test,turn off football,practice with his friends,0
2459,2459,2459,2459,Skylar is Quinn's lover but is very jealous.,What will happen to Quinn?,be lonely,marry Skylar,get a restraining order,1
1518,1518,1518,1518,Addison basically told Tracy that Tracy's boyfriend had been cheating on her with their roommate.,What will Tracy want to do next?,assault their boyfriend,make Tracy break up with her boyfriend,kiss their boyfriend,0
2739,2739,2739,2739,"Aubrey went to breakfast with Kendall's friend, even after Kendall said she didn't want them to.",How would Kendall feel about them going to breakfast?,would not be pleased,would be happy they got to know each other,an annoyance,0
3838,3838,3838,3838,"Casey met her death yesterday, just before her 90th birthday.",What will Casey want to do next?,play basketball,Grieve,live on as a spirit,2
1753,1753,1753,1753,Remy looked angrily at Aubrey when suddenly they grabbed Aubrey's hair and jerked Aubrey's head back.,What will happen to Remy?,be taken to jail,get angry,fight back,0
2587,2587,2587,2587,Alex gave it to their mother so the others would have donuts when they woke up.,What will happen to Others?,The others will eat donuts,The others will make dinner,The others will take a nap,0
3222,3222,3222,3222,Addison wasn't paying much attention and didn't see the car coming.,How would you describe Addison?,unaware,scared,would be hurt,0
516,516,516,516,"Even though Alex had a long day at work, there was more to do at home because Quinn required Alex's effort to cook dinner.",What will Alex want to do next?,clean the house,relax and watch television,go grocery shopping,2
2085,2085,2085,2085,Addison put their friend in the trunk of the car and then drove away very quickly.,Why did Addison do this?,hide from the police,flee from the police,play a joke,1
378,378,378,378,Alex got out of the cage that a person had put them in forcefully.,How would Alex feel afterwards?,regretful,free,skilled,1
394,394,394,394,Robin forced himself upon Casey and Casey decided to call the police about it.,What will happen to Robin?,need counseling,get into trouble,go to the hospital,1
4615,4615,4615,4615,"Jan drove into a group of pedestrians, and Jan struck everyone.",Why did Jan do this?,crashed because Jan was a good driver,crashed because Jan was talking on her cell phone,go to the hospital,1
2364,2364,2364,2364,Bailey brought food outside to the animals that were in the barn.,What does Bailey need to do before this?,bring water,Buy food,go inside,1
1457,1457,1457,1457,Jan prevented weight from gaining.,What does Jan need to do before this?,prevented weight from gaining,jan too wait,jan are a fatty,2
2219,2219,2219,2219,Sasha was known to cheat and copy people's homework. Alex kept their homework away from Sasha.,What will Sasha want to do next?,try and copy it,check on sasha,cover their homework,0
3324,3324,3324,3324,"Aubrey was never very kind to Lee, she went out of her way to prevent him from reaching his goals.",Why did Aubrey do this?,apologize to Lee,has never been fond of Lee,help someone else achieve Lee's goals,1
791,791,791,791,Skylar came in to work for Jesse. Skylar attended to Jesse's duties.,What will Jesse want to do next?,go on a date,put in work,work hard,0
2781,2781,2781,2781,"Sasha had to deliver a lot of toys and get some food first, but he finally was able to spend a lot of time studying.",What did Sasha need to do before studying?,prepare for the test,had to get some food,keep studying,1
4697,4697,4697,4697,Jesse took his first steps and getting a good Job.,What will Jesse want to do next?,do his work well,talk good about work,make good money,0
1048,1048,1048,1048,Casey got another drink at the bar and then walked home for the night.,Why did Casey do this?,bored,Crawl into bed,loved,1
3885,3885,3885,3885,Jan was tired of putting up with all the drama at work.,How would Jan feel afterwards?,annoyed,depressed,happy,0
1451,1451,1451,1451,Lee met with a friend they hadn't seen in a long time and Lee laughed together with a friend while catching up over dinner.,How would you describe Lee?,friends with a lot of people,a good friend,far away from many of their friends,1
2239,2239,2239,2239,Quinn was involved in a debate about the political crisis going on in the country.,What does Quinn need to do before this?,support the president,get in a debate,give their opinion,1
4992,4992,4992,4992,Aubrey pulled Remy apart from the other girl before a fight started over a boy.,What will Remy want to do next?,stop senseless violence,dance fight,push Aubrey away,2
3654,3654,3654,3654,"Lee, the best android maker in the world, made Quinn. When they were putting Quinn together they would roll the androids eye's around the table before popping them in the sockets.",How would Lee feel afterwards?,like they knew eyeball sockets,upset that they would roll the android's eyes around,sad that they were playing with their body parts,1
2030,2030,2030,2030,Tracy tried to pick it up.,Why did Tracy do this?,try harder,tried to pick it up,tracy tried to lift a bag,2
921,921,921,921,Jesse was driving to school and the car broke down. Jesse walked to go and get gas.,What will happen to Jesse?,fill Jesse's gas can,be late to school,sell Jesse some gas,1
3398,3398,3398,3398,"Jan bought a very expensive dress but decided to bring it back as they couldnt afford it but Casey borrowed it, wore it and ripped it without asking Jan.",How would Jan feel as a result?,pleased,angry,happy,1
1534,1534,1534,1534,Kai caught Remy in the act when they walked into the room.,What will happen to Remy?,ashamed,act innocent,stare back,0
4315,4315,4315,4315,Bailey needed every cent to pay taxes and didn't cut the tenants any breaks.,How would Others feel as a result?,are shrewd and tactful with her money and tenants,put out,are strict and miserly towards the tenants,0
4982,4982,4982,4982,Taylor ate right because she wanted to fit into a new bikini.,Why did Taylor do this?,satisfy her hunger,lose some weight,eat delicious food,1
3007,3007,3007,3007,Sasha stole Lee's money that he saved up for a new game system.,What will happen to Lee?,get arrested for stealing,not get a new game system,get more money,1
856,856,856,856,Robin produced Jan's number when Jim bugged her for it.,What will happen to Robin?,no longer be trusted by Jan with her personal information,secretly believe she did Jan right regardless of manners,want revenge after Jan pulls away from her in friendship,0
1634,1634,1634,1634,Casey was invited by Carson for dinner at their house. Casey saw Carson's aunt.,What will Carson want to do next?,aunt to introduce themselves,Get to know Carson's Aunt,sit Casey next to their aunt at the table,0
2723,2723,2723,2723,"Casey got Jan's trash to throw away, after being warned they'd be grounded if they didn't do their chores.",What will Casey want to do next?,put a new bag in the bin,would need to grab an extra trash bag to replace the old one,take the trash into the tub,1
3443,3443,3443,3443,Ash finally saved up enough money for the bike and went and got it.,How would you describe Ash?,proud,happy,very thrifty,1
1519,1519,1519,1519,Jesse told Lee a story and Lee believed him even thogh it wasn't true.,How would Jesse feel afterwards?,like a failure,succesfull,a liar,1
4314,4314,4314,4314,Lee ran into Quinn and apologized to them for the accident.,What will Lee want to do next?,get where they are going,save face,talk about what they did,2
3518,3518,3518,3518,Cameron waited until Ash left the room and then Cameron took away Ash's money.,How would you describe Cameron?,a generous person,a sly person,sneaky now,1
3174,3174,3174,3174,Robin kept their stuff together in the garage at her house.,How would Others feel as a result?,happy,upset,bad,0
4127,4127,4127,4127,Kendall closed the door after Sydney and they sat down for lunch.,What will happen to Sydney?,open the door,chat with Kendall,order breakfast,1
1122,1122,1122,1122,"All the neighbors hated hearing my dog bark, so Jordan took my dog.",What will Others want to do next?,fess up to the situation,lead the dog away,hurt the dog,1
2741,2741,2741,2741,Jan made Riley's object out of clay and it took a few hours.,What will Jan want to do next?,decide that they would make a gift for Riley,loved,decide they wanted to spend their time on claymaking,2
2731,2731,2731,2731,Robin has to use her vacation days before they expire and is deciding on whether to take a vacation in England or Japan.,What advice can Kai offer?,chose the best location to go on vacation,tell Robin about the time he went to England,go on vacation before it was too late,1
737,737,737,737,aubrey had memorized the song so he decided to sing it.,What will Aubrey want to do next?,stop singing the song,pick a song,annoying anyone,0
906,906,906,906,Cameron wanted to take away ashes work because he was not working enough hours.,What does Cameron need to do before this?,improve their work performance to stay employed,Reassign ash to different department,ask for some tips on ways to work more effectively,1
3460,3460,3460,3460,Lee brought Jesse a spare key to the house in case he was not there.,What will Jesse want to do next?,find the key,lose the key,go into the house,2
1619,1619,1619,1619,Cameron gave Austin some time to think about if he wants to continue with their relationship.,What will Austin want to do next?,stay alone and think,make Austin muse over their option,spend more time with Cameron,0
3163,3163,3163,3163,"Jesse has a best friend which his family knows about. Today, he brought the friend home.",Why did Jesse do this?,showcase his wealth,introduce the friend,be willing to bring the friend home,1
2712,2712,2712,2712,Carson pulled the baby away from the road when a car was about to hit the baby.,How would you describe Carson?,The others felt Carson was helpful,had felt angry,The others felt Carson was a hero,2
2340,2340,2340,2340,Taylor wanted to stay at the party. Aubrey persuaded Taylor to leave.,What will Aubrey want to do next?,get some sleep,go back home,have a blast,1
3854,3854,3854,3854,Skylar is crying and very upset. Syndey is busy but takes time to sit down and talk to Skylar.,Why did Sydney do this?,bad,better,watch Skylar cry,1
1536,1536,1536,1536,Casey desperately wanted to say something but couldn't because she was a bit nervous.,How would Casey feel afterwards?,scared,detached,apprehensive,0
3987,3987,3987,3987,Aubrey made Sydney give an explanation of their science project to class.,How would Sydney feel as a result?,Like they need to do their science project,a good teacher,Like they had to give an explanation,2
1418,1418,1418,1418,Sydney wrote out their ticket and told them to enjoy the show.,What will Sydney want to do next?,get a job at the theater,get payment from the customers,let others into the show next,2
3823,3823,3823,3823,Aubrey had the day off of work and decided to have quality time.,What will happen to Others?,dismissive of Aubrey,jealous and upset,impressed by it,1
1332,1332,1332,1332,Remy finished Addison's work when he went home from work early.,How would Addison feel as a result?,a good friend,would be thankful,thank Remy,1
4043,4043,4043,4043,riley wanted to be cruel so he pushed casey's fingers in the door jam.,Why did Riley do this?,Apologize to Casey,be harsh,be nice,1
3699,3699,3699,3699,Lee walked home from school after they spent a lot of time there studying.,What will Lee want to do next?,stay home,travel by foot from school back to his house,travel by foot from school going to his house,0
3325,3325,3325,3325,Addison put Kendall's work on kicking out the homeless into action across town.,How would you describe Addison?,someone who has a disdain for the homeless,someone who values Kendall's work,glad that someone was taking action,0
1119,1119,1119,1119,Jordan told Tracy to get a job because Tracy has not helped with bills for the past few months.,Why did Jordan do this?,are fed up with Tracy,hope for the best,wait for a response,0
2043,2043,2043,2043,Lee learnt to knit as a hobby and wanted to sell their goods.,What will happen to Lee?,sell their knitting,knit more things,get ideas,0
3599,3599,3599,3599,"Kai broke up with Sydney months ago, but Sydney stilled loved Kai.",What will happen to Sydney?,bad about dumping Sydney,be depressed,be impressed,1
4,4,4,4,Kai found one for sale online but it was too much money for her.,What does Kai need to do before this?,cheaper,Open up her laptop,save money,1
1584,1584,1584,1584,"Jordan explain another reason why they were late, but their boss wasn't buying it.",How would Jordan feel afterwards?,pleased at always being late,guilty at always being late,sneaky,1
4379,4379,4379,4379,Riley drove to the nearest store because they were out of groceries.,What will Riley want to do next?,check the pantry to see what they had,buy bread,write a list of what was needed,1
391,391,391,391,Casey ran the cases of soda back to the yard when she arrived home for the party.,How would Casey feel afterwards?,like leaving town,a community contributor,glad she was on time,1
