,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
43844,anetv_p4cQt5On74M,16821,"They continue to move around and hitting the ball with a long racket. As they game goes on, the referee",They continue to move around and hitting the ball with a long racket.,"As they game goes on, the referee",gen,gets off the machine.,takes off shoes and walks over to the two children.,is still playing and talking to the camera.,continue to play as the guy over their knees to hit.,3
18546,lsmdc0014_Ist_das_Leben_nicht_schoen-54247,14221,"The other boys lie flat on the ice, forming a human chain. When someone reaches the edge with someone in his arms, they","The other boys lie flat on the ice, forming a human chain.","When someone reaches the edge with someone in his arms, they",gold,open their arms and stop and fall frozen in mid - air.,begin to ride.,crack up on the faces of the men.,pull them both to safety.,3
524,anetv_CArYinl5tFo,4937,A box containing a bike is removed by a man in front of a garage. He,A box containing a bike is removed by a man in front of a garage.,He,gold,shows items that you need to get in such detailed.,removed paper from down a table.,"takes out all the parts, and shows how to assemble the bike.",a cat sits on a field and begins cleaning the camera.,2
31901,anetv_hLyHeVmMDGU,13242,Athletes pole vault over a high bar in a competition. Athletes and fans,Athletes pole vault over a high bar in a competition.,Athletes and fans,gold,meet after the event talking and signing autographs.,are drinking before the event.,celebrate during the competition.,stand watch in the arena.,0
53464,lsmdc3061_SNOW_FLOWER-30014,1586,"Later, she sleeps in someone's bed with her arm draped over her friend. Now at school, they","Later, she sleeps in someone's bed with her arm draped over her friend.","Now at school, they",gold,use organic equipment to fill up parking sandwiches.,"play on, with her arms closed, they watch the red end of the crow's nest curled up in a huge embrace.",arrive in a rooftop plane's parking lot.,cross the hallway with other students.,3
68610,anetv_rLlm6h0Nfvo,6879,"A person flips and throw to the air a hula ring, then the woman pass the hula ring through her body. After, the woman","A person flips and throw to the air a hula ring, then the woman pass the hula ring through her body.","After, the woman",gold,"take protective dancing and retreating onto the stage, the lady perform long jumps and a woman appears.",pass the hula ring around her waist fast.,takes a comb and two baby and a woman in multicolored dress talking.,performs hula hooping standing in a gym in a hula ring.,1
36674,anetv_WXST-TXQjoU,4561,A barber is combing and shaving the hair of a man in a seat. They,A barber is combing and shaving the hair of a man in a seat.,They,gold,stop shaving a hair set.,man is sitting at the head of the chair and the rest of his hair is all loose.,is his hair stylist.,"are talking as he works, moving his head side to side.",3
1633,lsmdc3010_BIG_MOMMAS_LIKE_FATHER_LIKE_SON-621,3622,Someone's face lights up. They,Someone's face lights up.,They,gold,flash a cloud of gray smoke.,"shake hands, hug, then head to someone's suv.",pose for wings and dance on stage.,see a laser beam on the phone.,1
58158,lsmdc3042_KARATE_KID-19988,4079,"Flinging his foot upward again, the kick still comes up short. Someone and someone","Flinging his foot upward again, the kick still comes up short.",Someone and someone,gen,"take a step to reach him, making deep hearts in their waistband.","take over, patting each other on the shoulder.","step out of the doorway, while they remain locked on the ground.",step over to someone and raises his own arms.,1
58363,lsmdc1031_Quantum_of_Solace-84474,5910,She looks coldly at him. Parties,She looks coldly at him.,Parties,gold,"break away from the audience, holding him to the crowd.",converge along metal walkways and staircases.,gives a full stare then answers her cell.,offers a sheet of paper to someone.,1
3544,lsmdc1062_Day_the_Earth_stood_still-100878,6832,"Someone looks around, hearing the sirens. Someone","Someone looks around, hearing the sirens.",Someone,gold,is stepping alongside the bone elevator.,guided someone to chase him a glance.,'s with the defense secretary.,pulls someone outside with broken wings.,2
28611,lsmdc1015_27_Dresses-79821,15805,He places a caring hand on her shoulder to escort her out. Someone,He places a caring hand on her shoulder to escort her out.,Someone,gold,is at the bridal shop.,"pushes her out of view, and gazes around at her.",fans himself as someone smiles.,walks out of the confessional as the criminals walk off.,0
55853,lsmdc3040_JULIE_AND_JULIA-17656,14916,"Now a woman packs an original copy of Mastering the Art of French Cooking into a box with more cookbooks, then thrusts it into a packed jeep. She","Now a woman packs an original copy of Mastering the Art of French Cooking into a box with more cookbooks, then thrusts it into a packed jeep.",She,gen,uses a guide to feed the loaf to the package as she approaches.,shines her flashlight at a closed window on the inside.,"sits in her seat, waiting.",rests her head on the device with a printed certificate.,2
27012,anetv_NJQROeaBiVE,18110,We see a man pulling weight close to his head. Three men,We see a man pulling weight close to his head.,Three men,gold,are shown as a ball sized shirt fight over.,sit while black screens watching him.,stand on the gym knees yelling.,pass by in the mirror.,3
18478,anetv_8cKjwHtCGU0,4034,A man in a red shirt is talking to the camera. He,A man in a red shirt is talking to the camera.,He,gold,picks up a paper and uses it to catch it.,spins the ball in the air trying to make him go.,pours something into a large dog on the table.,begins to hit a ball against a wall in front of him.,3
11620,lsmdc1020_Crazy_Stupid_Love-81443,13661,Someone puts her back down. She,Someone puts her back down.,She,gold,is wearing a pair of tweezers.,joyfully blows a strip of sand over her.,drags him out of the bar.,drops water over her leg as the air catches her.,2
39343,anetv_V--Xz2FtJXA,8878,She walks and sits down in a chair. A woman,She walks and sits down in a chair.,A woman,gen,kneels down next to him.,comes onto the screen.,"sits nearby, working with her hair.",works for a man.,1
43989,lsmdc3070_THE_CALL-32988,18774,Someone looks at the grim sight and softly smiles. He,Someone looks at the grim sight and softly smiles.,He,gen,winces as he watches her intently.,is lost in thought.,looks at him sadly.,enters and raises his rifle.,2
45176,lsmdc3024_EASY_A-11631,17311,"Someone smiles, and shifts in her seat. Someone","Someone smiles, and shifts in her seat.",Someone,gen,"returns to the table, but he is empty.",enters the reception room and steps into the art office.,"gives him a steady sidelong expression, then backs away as someone stalks off.","gives her a long, eager kiss.",3
25137,lsmdc1031_Quantum_of_Solace-84164,15860,Their pursuer tries to work out where they've gone. She,Their pursuer tries to work out where they've gone.,She,gen,pulls out a stone from a shed.,looks towards a nearby trunk.,swerves through a brief explosion of water.,pulls the van down to the ground.,1
29393,anetv_msELZwMnoFo,2716,The people are in the water and a man ride his surfboard. The man,The people are in the water and a man ride his surfboard.,The man,gold,is surfing the water and jump off the surfboard while other people are in the water.,surfs on the other showing surf.,is surfing in the water with his stick.,falls on the woman's arms as the woman climbs over the water.,0
18926,anetv_coEvniePQLA,18455,They skin lemons and set them on the plate. They,They skin lemons and set them on the plate.,They,gold,are engaged in a game of polo as well as people.,are done with girls chips frosting.,fix their bowls and walks away by the barn.,put the fruit into a juicer and pour the juice into a large jug.,3
54687,anetv_JLDZdxTf5TA,11458,Three people are sitting on the couch while a man is holding a bagpipe and another woman sitting on the floor. The man,Three people are sitting on the couch while a man is holding a bagpipe and another woman sitting on the floor.,The man,gold,is standing next to the man pushing the lawnmower inside him.,walks across the pool and smiles while the camera zooms in on her legs.,began playing his bagpipe while the woman get up and sat on the couch.,"grabs the other man and holds him close, before the audience says he is fearing a whole time.",2
21292,lsmdc3072_THE_GIRL_WITH_THE_DRAGON_TATTOO-34373,11244,Someone returns with a utility knife. Someone,Someone returns with a utility knife.,Someone,gen,hauls himself to sit over it.,turns to find the mother on the others.,"stares at the back of it, drawing the bloody knife on someone's brow.",hands the knife on the table.,3
59613,anetv_GBNj2k2OVGo,3057,The man blow so hard on his saxophone. A white bird,The man blow so hard on his saxophone.,A white bird,gen,plays on someone's mouth.,is skateboarding in the doorway.,flies out of view.,continues to swirl out into the background.,2
14484,lsmdc3020_DEAR_JOHN-10162,18283,"She looks to someone, then shyly shifts her gaze. He","She looks to someone, then shyly shifts her gaze.",He,gen,"allows a tender smile, at her unfinished, and looks at her for a moment.",steps off his bed and trots along the veranda.,stands above her noticing the asian tourist in a doorway.,"looks at her, then goes.",3
29513,lsmdc0014_Ist_das_Leben_nicht_schoen-54957,7544,The front lights are broken and the fender is ripped. Someone,The front lights are broken and the fender is ripped.,Someone,gold,bumps into a blue ambulance.,"stands unsteadily near the car, shaken by the accident.",winds through the wooden pane at the door at the automatically closing door.,can be seen calling up the meat.,1
66722,anetv_OAot8XBeLrs,17735,Players pass around the goal and assist a shot. A player,Players pass around the goal and assist a shot.,A player,gold,makes a penalty shot on the goalie.,"picks up a ball, shakes it and passes it to the coach.",serves the scores on his team when another player scores a goal into the goal.,grabs the ball and points to the goal.,0
24564,lsmdc3006_A_GOOD_DAY_TO_DIE_HARD-2830,16700,"Someone forces the truck toward the side of the road. With his face tense, someone",Someone forces the truck toward the side of the road.,"With his face tense, someone",gen,shakes his head slightly.,bobs his head and faces the wrecked city.,pulls on the windscreen of the car and tries to disembark.,draws himself by creeping slowly along a hay wagon.,0
59138,anetv_4Q5YJKHa5W0,7342,A person is making a sandwich on a plate. They,A person is making a sandwich on a plate.,They,gold,come onto the screen for the dough to go into making cookies as he explains how to cook the dough.,slice an egg and put it on the sandwich.,are sitting down from a table eating ice cream.,are mixing them with a box that can be served.,1
28079,anetv_SeVftOMjNMM,3179,A kid is laying down on his back on the floor. Three people,A kid is laying down on his back on the floor.,Three people,gen,stand and talk with each other in front of him.,are standing on the top of the slide.,are in a room having sex.,are standing in front of him playing.,0
10563,anetv_E0DbrJVJUho,4412,Another white screen appears and a content list appears and there 1 - 5. On the next white screen a cardboard box is shown and then it,Another white screen appears and a content list appears and there 1 - 5.,On the next white screen a cardboard box is shown and then it,gold,starts eating a cake in a bar.,"begins to show the many different contents that come in the box, along with the names of them next to it.",includes the end information that a woman is standing for.,is a formal sac of america's painted.,1
50907,lsmdc3016_CHASING_MAVERICKS-6412,14080,"Later at Pleasure Pizza, someone exits the back door with his bike. He","Later at Pleasure Pizza, someone exits the back door with his bike.",He,gold,"rides through a corvette in khaki grounds, yacht passing by bustling traffic.",sees blond across the parking lot exchanging a small plastic bag for money with a scowling bully.,puts out a spray bottle.,"pushes it open and takes off his bag, putting his feet in the appliance.",1
7157,anetv_UZNw4utsywI,3775,The video continues with many more shots of people performing grinds and tricks on their skateboards and speaking to the camera. In the end they,The video continues with many more shots of people performing grinds and tricks on their skateboards and speaking to the camera.,In the end they,gen,play to talk to one another and ends with all runners running in the marathon.,continue riding roads while others assist the camera as well as the end.,are shown rollerblading all along the city in various locations.,are shown of the same location as well as others hanging around skiers and hanging back.,1
34789,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86818,5549,"She stops dead on seeing the elderly resident staring at their rooms, at her. Fresh - faced with short cropped hair and wearing a bright white T - shirt, someone","She stops dead on seeing the elderly resident staring at their rooms, at her.","Fresh - faced with short cropped hair and wearing a bright white T - shirt, someone",gold,"rises, walks to the piano, and leaves.",puts a suitcase on the back of her car.,lies in bed at the edge of the pond.,stares wistfully then goes to his window.,3
38432,anetv_mnv-Qz4QDfU,5227,They are shown in a series of images posing together. We also,They are shown in a series of images posing together.,We also,gen,show them different men as they perform some ballet.,see shown for an interview for a matador.,"begin showing images of men performing, performing stunts as they dance and perform tricks.",appear to be wearing outfits.,2
66818,lsmdc0010_Frau_Ohne_Gewissen-51522,19292,"She is wearing a simple black suit and hat, indicating mourning. Her fingers nervously pick at a handkerchief and her eyes","She is wearing a simple black suit and hat, indicating mourning.",Her fingers nervously pick at a handkerchief and her eyes,gold,are watching the elevator doors anxiously.,are no longer wet.,slats at the surface of billowing grass.,widen at the sight of her knitted sunglasses.,0
17500,lsmdc1060_Yes_man-99239,15137,Someone pulls a silly face. Someone,Someone pulls a silly face.,Someone,gen,picks a plate of food from his boy.,angrily walks past someone with a poker in her hand.,stares at him intensely.,watches with heartbroken eyes.,2
60731,anetv_rV9RzL8o7tk,13912,"Then, the girl walks and takes off the coat, then she takes a cue stick and bend on front two men. After, the girl","Then, the girl walks and takes off the coat, then she takes a cue stick and bend on front two men.","After, the girl",gold,grabs another rock and how to make a drink.,"turns and grabs the boy shirt while making a sexy gesture, then she turns to play again.",takes a plate towards the basket.,puts the teddy round to her left and then she shows off to the camera.,1
52258,lsmdc3068_THE_BIG_YEAR-3432,11604,"Now, someone sits in his cubicle at his otherwise vacant workplace and pulls up Crane's blog on his computer. He","Now, someone sits in his cubicle at his otherwise vacant workplace and pulls up Crane's blog on his computer.",He,gold,turns away from the window.,opens the door and stops.,smiles as he reads.,rises and takes out her photo.,2
7008,lsmdc1018_Body_Of_Lies-80371,6819,"Someone looks at a tv which plays news footage of the bombing. Increasingly alarmed, he",Someone looks at a tv which plays news footage of the bombing.,"Increasingly alarmed, he",gold,emerges someone's house into the lobby.,smiles again.,takes off his glasses.,looks over and says something else.,2
38509,anetv_KzK4sf7RmRM,17556,They bake them in the oven. They,They bake them in the oven.,They,gold,take their bite off the oven and go to the oven.,take it off the oven and the oven top.,pour some jewelry into the dough and put it on a cabinet.,put them on a plate and start to ice them.,3
39523,anetv_I5N4rwhRa0o,17812,We see a closeup of the opening of the horn. The screen goes black and we,We see a closeup of the opening of the horn.,The screen goes black and we,gen,see the closing screens.,see people holding hands and standing in a kitchen on the side.,see the ending screen.,see the throw in slow motion.,2
12383,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95428,3824,Someone collects a cage from one of the horseless carriages outside. Someone,Someone collects a cage from one of the horseless carriages outside.,Someone,gold,send the ornate city into an twinkling light.,looks at someone.,rises past a rusted balcony to the table.,joins people as they make their way to the station.,3
18291,anetv_w6xH78z3l08,12763,He slides the pieces off of the tire. Finally he,He slides the pieces off of the tire.,Finally he,gen,puts it shingles down two times and continues to weld.,uses a tool to smooth the wax out of the tire.,reaches the end of the carpet.,puts it apart before finally removing the tire and putting it down.,3
13035,anetv_5HEunlL4nF0,12526,The girl walks around the room back and fourth while holding a tennis racket and hitting a ball. The girl,The girl walks around the room back and fourth while holding a tennis racket and hitting a ball.,The girl,gold,swing down and hits the ball with a stick.,uses a stick to hit the ball back and fourth.,continues to hit the ball around while the camera watches.,continues hitting the ball around and ends by running around and sitting around with her.,2
41041,lsmdc3016_CHASING_MAVERICKS-6791,15020,"The raft riders power up over the lip, bouncing back down roughly. Someone and the veterans","The raft riders power up over the lip, bouncing back down roughly.",Someone and the veterans,gold,"join the first course we see from a sandbox and plains, some renewed combat.",get to the edge of the building and start racing along the road.,stand up the drive in level off those recording and await someone their conversation by playing a fancy trap.,"perform turtle rolls, flipping their boards on top of them and punching through safely to the other side.",3
32019,lsmdc3047_LIFE_OF_PI-21918,1151,His gaze drifts along a high row of paintings and fixates on one. The priest,His gaze drifts along a high row of paintings and fixates on one.,The priest,gen,'s fingers begin to crumble and slip.,peers out over his murky depths.,sits beside a mansion.,peers out the window at the camera.,3
24074,lsmdc3007_A_THOUSAND_WORDS-3763,12956,Someone smiles as he sits with them. Young someone,Someone smiles as he sits with them.,Young someone,gold,shakes food of his fork.,sits in the shrouded rain - up rain cap.,puts down her dress and goes for him.,moves up a mirror then briefly brings a boy hard.,0
32938,lsmdc3062_SORCERERS_APPRENTICE-30863,11888,"His gaze lands on the Incantus. Later, the book",His gaze lands on the Incantus.,"Later, the book",gold,sits neatly on his back and rubs his head.,lies open under his finger.,shows a company report at someone's computer.,falls into the valley.,1
2552,lsmdc3025_FLIGHT-12128,12600,"Someone walks down a hotel corridor, with someone holding a can of Coca Cola. They","Someone walks down a hotel corridor, with someone holding a can of Coca Cola.",They,gen,stand back and stop on the sidewalk.,gaze at someone and peers up the stairs.,notice that someone's song is said to the couple.,look up at her.,3
12350,anetv_YIEv6_HQtAc,14516,He picks up a bottle of water and takes a drink of the water. He then,He picks up a bottle of water and takes a drink of the water.,He then,gen,begins brushing a side.,drinks from a cup and pours several drinks several times.,demonstrates how to remove the cleanser from his nose while walking up to the camera before getting off.,fills it down with another glass of water.,3
41027,lsmdc3016_CHASING_MAVERICKS-6791,15023,"Through his binoculars, someone watches a handful of surfers being rolled up into the wave. Someone","Through his binoculars, someone watches a handful of surfers being rolled up into the wave.",Someone,gen,is emerging into the hospital.,are strewn under water at some wreckage.,tosses the wand together and saunters into the marketplace.,swats him upside down.,1
26361,lsmdc1051_Harry_Potter_and_the_goblet_of_fire-7388,13137,"In the courtyard, students say goodbye at the end of term. Someone","In the courtyard, students say goodbye at the end of term.",Someone,gold,finds someone in the crowd and gives her a note.,looks up from his magazine and matches to the taxi.,starts out of the way and the person smacks his hands around someone's face.,feels a white floor.,0
32418,anetv_M6FdaEstXbI,2298,Paint splashes are on the screen with mylorraine spelled out. A man,Paint splashes are on the screen with mylorraine spelled out.,A man,gen,in a white shirt is playing and moves around the room.,is seen vacuuming the lawn.,takes the book from his coat then the man returns to a table.,throws a bowling throw.,0
35165,lsmdc1028_No_Reservations-83334,5587,"Wearing a white dressing gown and with damp hair, someone strides down the hallway. Someone","Wearing a white dressing gown and with damp hair, someone strides down the hallway.",Someone,gen,turns to someone and sighs.,greets someone with her duck.,"shuts her door and looks over, studying her reflection in a mirror.","reaches over and kisses her, then slides to a railing.",2
55726,lsmdc3004_500_DAYS_OF_SUMMER-1555,9887,She links her arms around someone's neck and they kiss. They,She links her arms around someone's neck and they kiss.,They,gold,'re lying in bed in their pajamas.,rip through the apartment.,smile dancers glow to a bandana of grateful sculptures.,"stare at each other, then stare tenderly at each other.",0
24947,anetv_cinmiQ4tHYk,3355,The man and woman then begin fighting with one another. The woman,The man and woman then begin fighting with one another.,The woman,gen,lifts the bull one by one and runs off directing.,shifts the weight wearing provided.,continues break dancing with the other woman and ends with her doing more and cheer for them.,continues speaking and leads into more shots of people working dancing and posing before a camera.,3
69495,anetv_H_dERoTis5Y,7028,They shoot smoke bombs at people down below. People,They shoot smoke bombs at people down below.,People,gen,"is aimed wildly at the cops, who are blocked.",stand within a row of picnic tables.,advance on the troll.,stare as someone struggles to catch them.,1
54074,lsmdc1023_Horrible_Bosses-81830,3737,"He is short with a goatee, a high forehead and wispy, thin comb - over. He","He is short with a goatee, a high forehead and wispy, thin comb - over.",He,gold,eyes only faintly light.,is a sign that attracts no script to his passing.,scoots back into the office.,holds up a syringe.,2
25839,lsmdc3047_LIFE_OF_PI-22387,10666,"Trembling, someone grabs his grappling tool and sticks it in the large fish. He","Trembling, someone grabs his grappling tool and sticks it in the large fish.",He,gold,catches someone by a monument.,turns it through the chamber.,blows smoke on and glares at the man.,heaves it onto the canvas.,3
40269,lsmdc1024_Identity_Thief-82557,10764,"He glances back with a smile. Now, in a dapper suit and red tie, he",He glances back with a smile.,"Now, in a dapper suit and red tie, he",gold,tries to use a motor chamber to untie a heavy wire from a leather pocket.,strolls through the offices with someone.,pulls a ring above his head.,sits on the kitchen table with the man.,1
67750,lsmdc1057_Seven_pounds-97859,16157,She holds her mobile away from her and looks at it briefly. He,She holds her mobile away from her and looks at it briefly.,He,gen,closes someone's eyes.,glances over her shoulder.,reverses into the house.,shoots someone on the shoulder.,1
16900,lsmdc3066_THE_ADVENTURES_OF_TINTIN-31420,16156,The bearded man steps forward as someone sits up. Someone,The bearded man steps forward as someone sits up.,Someone,gen,stands alone amid the rubbish.,sprinkles some branches off.,moves in with her hand.,gives an emotional nod.,3
51435,anetv_aw89asgFHbs,197,A girl does flips across a mat. The mat,A girl does flips across a mat.,The mat,gold,lands on her arms.,is black and red.,drops to the ground.,climbs down on her back.,1
30643,lsmdc3026_FRIENDS_WITH_BENEFITS-1625,2612,He gestures to his head. He,He gestures to his head.,He,gold,tucks it in his pocket.,hands open the vial.,sees someone's somber face.,leans over and touches his cheek.,2
12833,lsmdc1026_Legion-5218,17121,A small television is to his left. He,A small television is to his left.,He,gen,"spots a sign, then strides into the front lawn.",is shown blowing clothes into a pile.,"talks to his dictation, as the furniture records him.",is taking steps across a long white room.,3
43238,anetv_Qu-Y2u1Xn_U,16254,A dog is sitting in one of the tubes. People,A dog is sitting in one of the tubes.,People,gold,are running at the bottom as they look around.,are pulled out of the line.,are swimming under the water.,are sitting on the ground in front of them.,2
11866,lsmdc1061_Harry_Potter_and_the_deathly_hallows_Disk_Two-99927,11127,"Someone stares at someone, who is guarding the entrance up ahead. In the Chamber of Secrets, someone","Someone stares at someone, who is guarding the entrance up ahead.","In the Chamber of Secrets, someone",gold,approaches the skeleton of the basilisk.,turns and narrows his eyes.,watches someone blaster a grenade.,looks at the factory casket.,0
37379,anetv_JFupxdGxgPQ,12750,The man gets up and walks back to get on his horse. Several men,The man gets up and walks back to get on his horse.,Several men,gen,are seen walking on horses out onto bleachers in every company.,are squatting in black.,are walking next to him.,are shown on top of the camels camels.,2
3114,anetv_6koP53YFNjg,19254,A plastic cup has a white suspension inside. A man welds and machine,A plastic cup has a white suspension inside.,A man welds and machine,gen,cleans the surface with another machine.,matching even represents.,meticulously have a blue lens with the white information graphic.,components inside and using a hammer tool.,0
43480,lsmdc3083_TITANIC2-38862,17794,Snoop Dog descends into an open pit in the ship's hull. Snoop Dog,Snoop Dog descends into an open pit in the ship's hull.,Snoop Dog,gold,moves through an opening.,stands under the makeshift tent.,slides out and stops as his detection rises.,maneuvers upwards and jumps.,0
10879,anetv_yc9Bc8G7Y_Q,19427,A camera shows a forest off in the distance. A person,A camera shows a forest off in the distance.,A person,gen,is carrying a broom in front of a bonfire.,shoots a arrow at the roundabout.,puts oil onto a floor followed by a person kicking and another vacuum cleaner.,is seen brushing the dog.,0
47937,lsmdc3061_SNOW_FLOWER-29842,11167,"Someone turns back to her parents. With someone tugging her arm, someone reluctantly moves on, but her face",Someone turns back to her parents.,"With someone tugging her arm, someone reluctantly moves on, but her face",gold,is still firm on the fence.,is contorted by its intensity.,is too warm to her expression.,remains turned toward her cheerful mother.,3
70319,anetv_pYYA4rARL1Y,18662,We then see men spinning on the pommel horse with title screens clipped in between. We,We then see men spinning on the pommel horse with title screens clipped in between.,We,gold,see the final title screen.,see a man throwing his legs over the pommel horse.,see the man both spinning and talking to the camera.,"see several waves, standing and raising their hands.",1
46670,lsmdc1005_Signs-4952,6474,"Someone is deep in thought. Unflinching, someone",Someone is deep in thought.,"Unflinching, someone",gold,stares directly at the television screen.,finds a blue box containing someone's hostage.,stares at the pocket book.,walks back downstairs with her brush.,0
14795,lsmdc0021_Rear_Window-58244,9563,Behind him we get vague figure of someone laying a cloth over the card table. A nearer view,Behind him we get vague figure of someone laying a cloth over the card table.,A nearer view,gen,stumbles us the man himself.,shows someone up against a wall when someone's in his head standing african - at - feet on the stairs.,shows people standing and painting the wall with a pencil.,shows someone staring from the ice to a wall as he lets out a blast of smoke.,2
28366,lsmdc3036_IN_TIME-15537,15215,"Now in a deserted area, two timekeeper cars speed across another overpass. Below, the Roadster","Now in a deserted area, two timekeeper cars speed across another overpass.","Below, the Roadster",gen,stands before the rail.,are in front of a large circular panel on the machine.,pulls up outside someone's home.,flies from the porthole.,2
34719,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86381,815,Someone wears a searching expression. Someone,Someone wears a searching expression.,Someone,gen,grins up at someone.,looks plainly around the tent.,finishes with a signed aloud and leaves.,"quickly slows to shoulder turns, allowing him to leave.",0
10936,lsmdc3073_THE_GUILT_TRIP-34858,9242,"Someone pours some ScioClean into a glass, holds it up towards someone, and drinks it. The executives","Someone pours some ScioClean into a glass, holds it up towards someone, and drinks it.",The executives,gold,wait a look at this.,stare at the hoard officer.,are slowly the rear a door to find him.,whisper to each other.,3
28827,lsmdc1001_Flight-71690,18333,"A man walks in wearing an ntsb jacket, followed by a few law officers, a nurse and a doctor. The ntsb officer","A man walks in wearing an ntsb jacket, followed by a few law officers, a nurse and a doctor.",The ntsb officer,gold,places a recorder on someone's bed.,"opens her door, turned by the lights, and gets out of view.",opens the door and smiles to his camera.,gives up.,0
17587,anetv_U7vH9pEfGVw,1563,A woman in a yellow dress starts dealing cards onto the table. The man in the suit,A woman in a yellow dress starts dealing cards onto the table.,The man in the suit,gold,talks to the camera again.,looks surprised to see.,sits on the bed.,talks into a microphone.,0
31257,anetv_PDjtB578yRk,15541,A large group of people are gathered outdoors on a cemented area and some of the adults that are standing are playing on instruments and singing. The children standing are dressed in white and only some of them,A large group of people are gathered outdoors on a cemented area and some of the adults that are standing are playing on instruments and singing.,The children standing are dressed in white and only some of them,gen,manage many tricks as they cheer on the end.,are still play polo.,and red chefs are standing behind the fence and playing drums to stop the girls when they are done playing.,they started to walk on the side of the river.,0
43610,anetv_xUDwlT5fw_o,5680,"When the man is finished shaking the drink he removes the cup from the shaker, pours the liquids into a smaller cup, and sticks a white straw in it. All while talking the man","When the man is finished shaking the drink he removes the cup from the shaker, pours the liquids into a smaller cup, and sticks a white straw in it.",All while talking the man,gold,"then picks up the cup, smells it, smiles and holds the drink up.",sets a glass in the back of the counter and then he continues to stir it.,stops and looks at the camera.,puts the cigarette up on the tip and goes to the cigar and holds it to his mouth.,0
28809,lsmdc1047_Defiance-91723,7006,"Keeping their heads low, the three of them scurry across to one building, and then sneak towards the police station building flying the Nazi flag. Someone's feverish eyes","Keeping their heads low, the three of them scurry across to one building, and then sneak towards the police station building flying the Nazi flag.",Someone's feverish eyes,gold,watch nervously from inside the vehicle.,stack with real energy guns.,are stamped on the shield.,crinkle and his frown furrows.,0
